",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,800197_SHILLINGFORD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800197_SHILLINGFORD\FY1\800197 - SHILLINGFORD - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800197_SHILLINGFORD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.9933,80019700000069"
" ,800198_CUDDINGTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800198_CUDDINGTON\FY1\800198_Cuddington_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\800198_CUDDINGTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,32.5358,80019800000040"
" ,800504_WAVENDON_AND_WOBURN,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800504_WAVENDON_AND_WOBURN\FY1\800504 - Wavendon.Woburn - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800504_WAVENDON_AND_WOBURN_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6223,80050400000881"
" ,800600_LITTLE_GREAT_BRICKHILL,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800600_LITTLE_GREAT_BRICKHILL\FY1\800600 - LITTLE GREAT BRICKHILL - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800600_LITTLE_GREAT_BRICKHILL_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.9492,80060000000031"
" ,800601_TIDDINGTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800601_TIDDINGTON\FY1\800601_TIDDINGTON_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\800601_TIDDINGTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.4158,80060100000024"
" ,800602_CHALGROVE_AND_WATLINGTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800602_CHALGROVE_AND_WATLINGTON\FY1\800602 - Chalgrove Watlington - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800602_CHALGROVE_AND_WATLINGTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.9278,80060200000151"
" ,800604_LONGWICK,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800604_LONGWICK\FY1\800604_LONGWICK_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800604_LONGWICK_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.8137,80060400000034"
" ,800607_ASTON_ABBOTT,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800607_ASTON_ABBOTT\FY1\800607_ASTON ABBOTTS_ FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800607_ASTON_ABBOTT_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.1144,80060700000014"
" ,800608_IVINGHOE_PITSTONE,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800608_IVINGHOE_PITSTONE\FY1\800608_IVINGHOE PITSTONE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800608_IVINGHOE_PITSTONE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,34.6008,80060800000086"
" ,800610_CHEDDINGTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800610_CHEDDINGTON\FY1\800610_Cheddington_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800610_CHEDDINGTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,39.7559,80061000000077"
" ,800611_STONESFIELD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800611_STONESFIELD\FY1\800611_STONESFIELD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800611_STONESFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,27.6276,80061100000094"
" ,800613_CHIPPING_WARDEN,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800613_CHIPPING_WARDEN\FY1\800613_CHIPPING WARDEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800613_CHIPPING_WARDEN_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.093,80061300007001"
" ,800615_EVENLEY_CROUGHTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800615_EVENLEY_CROUGHTON\FY1\800615_EVENLEY CROUGHTON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800615_EVENLEY_CROUGHTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.0859,80061500000072"
" ,800616_WADDESDON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800616_WADDESDON\FY1\800616_WADDESDON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800616_WADDESDON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.5811,80061600000063"
