",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,643077 Creetown LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643077 Creetown LP\FY1\643077 - CREETOWN - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643077 Creetown LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,48.8183,64307700000044"
" ,643078 Ringford LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643078 Ringford LP\FY-1\643078RINGFORD_-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643078 Ringford LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,37.6482,64307800000013"
" ,643079 Bilston LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643079 Bilston LP\FY-1\643079 - Bilston - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643079 Bilston LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,48.8856,64307900000048"
" ,643080 Kirknewton LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643080 Kirknewton LP\FY-1\643080 - Kirknewton - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643080 Kirknewton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,46.3006,64308000000092"
" ,643081 Torphichen LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643081 Torphichen LP\FY-1\643081_TORPHICHEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643081 Torphichen LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,52.0589,64308110000049"
" ,643082 Gatehouse Of Fleet LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643082 Gatehouse Of Fleet LP\FY-1\643082 - Gatehouse of Fleet - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643082 Gatehouse Of Fleet LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,43.0379,64308200000034"
" ,643083 Bridgend LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643083 Bridgend LP\FY1\643083 - BRIDGEND- FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643083 Bridgend LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,29.4758,64308300000019"
" ,643084 Ecclesmachan LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643084 Ecclesmachan LP\FY-1\643084 - Ecclesmachan - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643084 Ecclesmachan LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.9988,64308401462468"
" ,643100 Philpstoun LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643100 Philpstoun LP\FY1\643100 - PHILPSTOUN - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643100 Philpstoun LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.1771,64310000000019"
" ,643101 Gavinton LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643101 Gavinton LP\FY-1\643101 - Gavinton - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643101 Gavinton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,62.4084,64310100000013"
