"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60604500000072","Nodes","72","21.000000","43.393495","DDS demands","Known Flow","413348.870632","842479.126456","","0.000000","","-5.619999","","-6.550000","","","","-10.882632","-12.170000","","","","C3 PROFILE","","D1 PROFILE","","",""
"60604500000037","Nodes","37","21.000000","46.290340","DDS demands","Known Flow","413309.100180","842494.731327","","0.000000","","","","-7.489999","","","","-6.697691","-7.489999","","","","","","D1 PROFILE","","",""
"60604500000041","Nodes","41","21.000000","45.963229","DDS demands","Known Flow","413317.991623","842415.455438","","0.000000","","","","-8.669999","","","","-7.752868","-8.669999","","","","","","D1 PROFILE","","",""
"60604500000006","Nodes","6","21.000000","50.557095","DDS demands","Known Flow","413107.668566","842493.351460","","0.000000","","0.000000","","-7.309999","","","","-6.536732","-7.309999","","","","C3 PROFILE","","D1 PROFILE","","",""
"60604500000010","Nodes","10","21.000000","50.101242","DDS demands","Known Flow","413151.600578","842436.768444","","0.000000","","","","-18.750000","","","","-16.766585","-18.750000","","","","","","D1 PROFILE","","",""
"60604500000005","Nodes","5","21.000000","51.117348","DDS demands","Known Flow","413061.642584","842455.659671","","0.000000","","","","-5.530000","","","","-4.945025","-5.530000","","","","","","D1 PROFILE","","",""
"60604500000011","Nodes","11","21.000000","49.968802","DDS demands","Known Flow","413174.752585","842406.098436","","0.000000","","","","-6.939999","","","","-6.205872","-6.939999","","","","","","D1 PROFILE","","",""
"60604500000042","Nodes","42","21.000000","44.969862","DDS demands","Known Flow","413234.805601","842396.439433","","0.000000","","","","-2.009999","","","","-1.797377","-2.009999","","","","","","D1 PROFILE","","",""
"60604500000062","Nodes","62","21.000000","44.965333","DDS demands","Known Flow","413226.075598","842423.292441","","0.000000","","","","-1.529999","","","","-1.368153","-1.529999","","","","","","D1 PROFILE","","",""
"60604500000059","Nodes","59","21.000000","42.833455","DDS demands","Known Flow","413249.020605","842427.352442","","0.000000","","","","-6.300000","","","","-5.633573","-6.300000","","","","","","D1 PROFILE","","",""
"60604500000064","Nodes","64","21.000000","50.787109","DDS demands","Known Flow","413095.569342","842332.267033","","0.000000","","","","-5.760000","","","","-5.150695","-5.760000","","","","","","D1 PROFILE","","",""
"60604500000004","Nodes","4","21.000000","51.269933","DDS demands","Known Flow","413045.029509","842443.838883","","0.000000","","","","-1.820000","","","","-1.627476","-1.820000","","","","","","D1 PROFILE","","",""
