"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60206300002355","Nodes","-1462528","21.000000","26.796901","Default Known Flow Node","Known Flow","313505.556553","717668.409322","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002366","Nodes","-1462554","21.000000","26.831576","Default Known Flow Node","Known Flow","313494.687460","717623.680481","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000184","Nodes","184","21.000000","23.703921","DDS demands","Known Flow","313510.396566","717988.387398","","0.000000","","","","","","","-6.789999","","","-6.071739","-6.789999","","","","","","","","","D1 PROFILE","",""
"60206300000185","Nodes","P10124915, Clayton Road, -94.89","22.999998","23.260319","CSEP DDS Matched","Known Flow","313575.997483","717961.322573","","0.000000","","","","","","","-1.240000","-94.889996","","-85.961160","-96.129995","","","","","","","","","D1 PROFILE","DC PROFILE",""
"60206300000057","Nodes","57","21.000000","27.780286","DDS demands","Known Flow","313419.973440","718022.727590","","0.000000","","","","","","","-5.119999","","","-4.578395","-5.119999","","","","","","","","","D1 PROFILE","",""
"60206300000138","Nodes","138","21.000000","23.986764","DDS demands","Known Flow","313167.413373","718008.699774","","0.000000","","","","","","","-10.560000","","","-9.442941","-10.560000","","","","","","","","","D1 PROFILE","",""
"60206300000062","Nodes","62","21.000000","25.569825","DDS demands","Known Flow","312945.121311","718284.789661","","0.000000","","","","","","","-18.389999","","","-16.444666","-18.389999","","","","","","","","","D1 PROFILE","",""
"60206300002339","Nodes","-1462476","21.000000","25.308412","Default Known Flow Node","Known Flow","313088.691350","718316.526670","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000174","Nodes","174","21.000000","27.435966","Default Known Flow Node","Known Flow","313484.588458","718239.612649","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000120","Nodes","120","21.000000","27.435966","DDS demands","Known Flow","313428.415442","718226.033645","","0.000000","","","","","","","-13.560000","","","-12.125594","-13.560000","","","","","","","","","D1 PROFILE","",""
"60206300002356","Nodes","-1462531","21.000000","30.819497","Default Known Flow Node","Known Flow","313067.434344","718413.430696","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000121","Nodes","121","21.000000","30.026515","DDS demands","Known Flow","313063.235780","718418.800170","","0.000000","","-51.139998","","","","","-11.709999","","","-56.201593","-62.849998","","","","C2 PROFILE","","","","","D1 PROFILE","",""
