"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60600700004139","Nodes","","21.000000","23.331277","Default Known Flow Node","Known Flow","321688.190690","862946.229025","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004143","Nodes","","21.000000","23.185310","Default Known Flow Node","Known Flow","321619.310671","862839.039996","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004163","Nodes","","21.000000","23.332750","Default Known Flow Node","Known Flow","321628.378317","863149.009017","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004164","Nodes","","21.000000","23.332750","Default Known Flow Node","Known Flow","321629.558674","863149.318080","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004181","Nodes","","21.000000","22.604201","Default Known Flow Node","Known Flow","321475.414632","862955.123027","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004182","Nodes","","21.000000","22.560397","Default Known Flow Node","Known Flow","321519.435644","862997.771039","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004183","Nodes","","21.000000","23.295704","Default Known Flow Node","Known Flow","321604.213211","863241.390201","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004184","Nodes","","21.000000","23.295704","Default Known Flow Node","Known Flow","321596.476665","863239.365105","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004189","Nodes","","21.000000","23.312188","Default Known Flow Node","Known Flow","321778.764715","862955.434028","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004191","Nodes","","21.000000","22.437072","Default Known Flow Node","Known Flow","321483.483634","863026.823047","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004192","Nodes","","21.000000","22.437072","Default Known Flow Node","Known Flow","321484.598635","863025.843047","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
