"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60601500000181","Nodes","181","21.000000","31.775830","DDS demands","Known Flow","370381.480940","864206.427368","","0.000000","","","","","","-5.130000","","","","","-4.587338","-5.130000","","","","","","","","D1 PROFILE","","","",""
"60601500000008","Nodes","8","21.000000","31.839876","Default Known Flow Node","Known Flow","370459.808961","864227.845374","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000045","Nodes","45","21.000000","33.421397","Default Known Flow Node","Known Flow","370667.535018","864126.471346","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000172","Nodes","172","21.000000","33.291334","DDS demands","Known Flow","370590.031997","864178.343360","","0.000000","","","","","","-12.870000","","","","","-11.508585","-12.870000","","","","","","","","D1 PROFILE","","","",""
"60601500000180","Nodes","180","21.000000","32.176419","DDS demands","Known Flow","370517.660977","864142.231350","","0.000000","","","","","","-14.069999","","","","","-12.581645","-14.069999","","","","","","","","D1 PROFILE","","","",""
"60601500000179","Nodes","179","21.000000","32.328107","DDS demands","Known Flow","370542.693984","864117.236344","","0.000000","","","","","","-14.409999","","","","","-12.885679","-14.409999","","","","","","","","D1 PROFILE","","","",""
"60601500000182","Nodes","182","21.000000","32.294786","DDS demands","Known Flow","370506.796974","864060.046328","","0.000000","","","","","","-13.020000","","","","","-11.642717","-13.020000","","","","","","","","D1 PROFILE","","","",""
"60601500000183","Nodes","183","21.000000","32.130647","DDS demands","Known Flow","370541.580984","864034.503321","","0.000000","","","","","","-6.429999","","","","","-5.749820","-6.429999","","","","","","","","D1 PROFILE","","","",""
"60601500000171","Nodes","171","21.000000","33.371198","DDS demands","Known Flow","370545.638985","864208.824369","","0.000000","","","","","","-9.659999","","","","","-8.638144","-9.659999","","","","","","","","D1 PROFILE","","","",""
"60601500000050","Nodes","50","21.000000","33.284529","Default Known Flow Node","Known Flow","370484.140968","864246.801379","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000178","Nodes","178","21.000000","33.387612","DDS demands","Known Flow","370554.625987","864223.100372","","0.000000","","","","","","-8.050000","","","","","-7.198454","-8.050000","","","","","","","","D1 PROFILE","","","",""
"60601500000046","Nodes","46","21.000000","32.822396","Default Known Flow Node","Known Flow","370586.409996","864185.321362","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000184","Nodes","184","21.000000","32.186247","DDS demands","Known Flow","370598.689999","863992.934310","","0.000000","","","","","","-7.920000","","","","","-7.082205","-7.920000","","","","","","","","D1 PROFILE","","","",""
"60601500000082","Nodes","82","21.000000","36.768691","DDS demands","Known Flow","370929.097089","864005.015313","","0.000000","-3.999999","","","-6.000000","","-11.109999","","","","","-18.876939","-21.110000","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","",""
"60601500000270","Nodes","270","21.000000","36.303612","DDS demands","Known Flow","370896.850080","864006.276313","","0.000000","","","","","","-14.009999","","","","","-12.527992","-14.009999","","","","","","","","D1 PROFILE","","","",""
"60601500000073","Nodes","73","21.000000","36.621461","DDS demands","Known Flow","370824.047060","864291.479391","","0.000000","","","","","","-16.209998","","","","","-14.495270","-16.209998","","","","","","","","D1 PROFILE","","","",""
"60601500000175","Nodes","175","21.000000","36.591650","DDS demands","Known Flow","370763.043044","864210.085369","","0.000000","","","","","","-18.660000","","","","","-16.686106","-18.660000","","","","","","","","D1 PROFILE","","","",""
"60601500000072","Nodes","72","21.000000","36.764068","Default Known Flow Node","Known Flow","370705.483028","864139.828350","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000174","Nodes","174","21.000000","36.261024","DDS demands","Known Flow","370699.138026","864242.524378","","0.000000","","","","","","-20.020000","","","","","-17.902242","-20.020000","","","","","","","","D1 PROFILE","","","",""
"60601500000051","Nodes","51","21.000000","36.390349","Default Known Flow Node","Known Flow","370644.972012","864175.635360","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000173","Nodes","173","21.000000","36.180312","DDS demands","Known Flow","370659.250016","864303.972394","","0.000000","","","","","","-21.959999","","","","","-19.637025","-21.959999","","","","","","","","D1 PROFILE","","","",""
"60601500000052","Nodes","52","21.000000","36.352677","Default Known Flow Node","Known Flow","370604.426001","864235.323376","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000069","Nodes","69","21.000000","36.349738","DDS demands","Known Flow","370771.195046","864334.260403","","0.000000","","","","","","-29.499999","","","","","-26.379426","-29.499999","","","","","","","","D1 PROFILE","","","",""
"60601500000078","Nodes","78","21.000000","36.351916","Default Known Flow Node","Known Flow","370772.893722","864332.885411","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000056","Nodes","56","21.000000","34.971195","Default Known Flow Node","Known Flow","370620.648783","864335.793410","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000059","Nodes","59","21.000000","35.057509","Default Known Flow Node","Known Flow","370648.560013","864320.502399","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000055","Nodes","55","21.000000","35.039217","DDS demands","Known Flow","370622.990006","864339.767404","","0.000000","","","","","","-2.509999","","","","","-2.244486","-2.509999","","","","","","","","D1 PROFILE","","","",""
"60601500000053","Nodes","53","21.000000","35.039217","Default Known Flow Node","Known Flow","370590.503997","864360.556410","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000063","Nodes","63","21.000000","36.408189","Default Known Flow Node","Known Flow","370724.524033","864272.671386","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000071","Nodes","71","21.000000","36.365100","Default Known Flow Node","Known Flow","370764.401044","864249.923380","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000061","Nodes","61","21.000000","36.253939","Default Known Flow Node","Known Flow","370727.487034","864276.496387","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000060","Nodes","60","21.000000","36.253939","Default Known Flow Node","Known Flow","370683.950022","864304.067395","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
