"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601100000478","Nodes","478","21.000000","33.668897","DDS demands","Known Flow","398781.886668","865411.396696","","0.000000","","","","","","","-3.540000","","","","","","-3.165531","-3.540000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000326","Nodes","326","21.000000","35.321308","DDS demands","Known Flow","398857.865689","865452.012707","","0.000000","","","","","","","-7.499999","","","","","","-6.706634","-7.499999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000435","Nodes","435","21.000000","34.370689","DDS demands","Known Flow","398809.988676","865261.912655","","0.000000","","","","","","","-5.280000","","","","","","-4.721470","-5.280000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000432","Nodes","432","21.000000","35.122588","DDS demands","Known Flow","398939.487711","865368.760684","","0.000000","","","","","","","-13.159999","","","","","","-11.767906","-13.159999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000281","Nodes","281","21.000000","35.446301","DDS demands","Known Flow","398873.762693","865428.170700","","0.000000","","","","","","","-11.060000","","","","","","-9.890050","-11.060000","","","","","","","","","D1 PROFILE","","","","",""
"60601100004242","Nodes","4242","21.000000","22.950535","DDS demands","Known Flow","398647.623632","865108.135613","","0.000000","","","","","","","-10.180000","","","","","","-9.103139","-10.180000","","","","","","","","","D1 PROFILE","","","","",""
"60601100004140","Nodes","4140","21.000000","34.966502","Default Known Flow Node","Known Flow","399006.094729","865425.802700","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000328","Nodes","328","21.000000","35.009459","DDS demands","Known Flow","399008.724080","865425.111271","","0.000000","","","","","","","-7.499999","","","","","","-6.706634","-7.499999","","","","","","","","","D1 PROFILE","","","","",""
"60601100004115","Nodes","4115","21.000000","37.884857","Default Known Flow Node","Known Flow","399429.384844","865415.021697","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100004243","Nodes","4243","21.000000","37.884857","Default Known Flow Node","Known Flow","399424.497843","865414.798697","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
