"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"62102002095134","Nodes","2095134,",21.000000,57.325714,"Default Known Flow Node","Known Flow",252338.693565,685751.724043,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000115772","Nodes","115772,",21.000000,62.447154,"DDS demands","Known Flow",252546.168048,685847.571733,,0.000000,,,,,-11.439999,,-10.229852,-11.439999,,"",,,,,"D1 PROFILE",
"62102000118675","Nodes","118675,",21.000000,69.590971,"Default Known Flow Node","Known Flow",252320.711369,686063.463236,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000115771","Nodes","115771,",21.000000,69.632067,"Default Known Flow Node","Known Flow",252327.209816,686060.713893,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000100","Nodes","100,",21.000000,69.205137,"DDS demands","Known Flow",252363.334826,686148.463917,,0.000000,,-17.719999,,-3.899999,-14.069999,,-31.914637,-35.689998,,"",,"C2 PROFILE",,"C4 PROFILE","D1 PROFILE",
"62102000118673","Nodes","118673,",21.000000,57.462851,"Default Known Flow Node","Known Flow",252343.584821,685753.963809,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000001009","Nodes","1009,",21.000000,66.358560,"DDS demands","Known Flow",252420.845504,686248.473771,,0.000000,,,,,-1.019999,,-0.912102,-1.019999,,"",,,,,"D1 PROFILE",
"62102000001008","Nodes","1008,",21.000000,65.042170,"DDS demands","Known Flow",252449.558501,685917.423168,,0.000000,,,,,-13.189999,,-11.794733,-13.189999,,"",,,,,"D1 PROFILE",
"62102000000004","Nodes","BALFRON ROAD DG, TEL, Site ID 3938",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",252288.334806,685988.088873,,999998.967025,,,,,,,713.416000,797.809976,,"",,,,,,
"62102000001010","Nodes","1010,",21.000000,66.959038,"DDS demands","Known Flow",252401.333582,686217.835902,,0.000000,,,,,-7.659999,,-6.849708,-7.659999,,"",,,,,"D1 PROFILE",
"62102000000537","Nodes","537,",21.000000,25.706210,"Default Known Flow Node","Known Flow",251611.239190,685655.410213,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000305","Nodes","305,",21.000000,70.589701,"Default Known Flow Node","Known Flow",252291.796651,685976.793191,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
