"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500400001145","Nodes","1145, P08119149, BREDILAND ROAD, SITE 3 CP2, -19.11 SCMHS",22.999998,42.409838,"CSEP Unmatched","Known Flow",243540.898506,664895.499558,,0.000000,,,,,,,,,,,-19.110000,,,,-17.088505,-19.110000,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400001210","Nodes","1210",21.000000,31.330628,"DDS demands","Known Flow",246943.375000,663629.750000,,0.000000,,,,,,-23.690000,,,,,,,,,-21.184023,-23.690000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"625004-3175","Nodes","-3175",21.000000,30.490267,"Default Known Flow Node","Known Flow",248129.375000,663693.625000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001123","Nodes","1123",21.000000,30.173793,"Default Known Flow Node","Known Flow",248129.625000,663684.125000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400006504","Nodes","6504",21.000000,29.390500,"DDS demands","Known Flow",248143.875000,663675.000000,,0.000000,,,-50.779998,,,-0.009999,,,,,,,,,-45.417326,-50.789999,,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,,,,
"62500400001120","Nodes","1120",21.000000,35.123028,"Default Known Flow Node","Known Flow",249839.078125,663684.375000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-5731","Nodes","-5731",21.000000,31.604612,"Default Known Flow Node","Known Flow",249621.375000,663695.250000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400006108","Nodes","6108",21.000000,41.205986,"DDS demands","Known Flow",250932.500000,668165.250000,,0.000000,,,,,,-4.780000,,,,,,,,,-4.274362,-4.780000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001119","Nodes","P14135332, SPRINGBANK ROAD CSEP, 49.2 SCMH",24.000000,34.308642,"CSEP Unmatched","Known Flow",247806.938144,665121.819188,,0.000000,,,,,,,,,,,,,-36.549998,,-32.683664,-36.549998,,,"",,,,,,,,,,,,,"DC PROFILE",,
"62500400006110","Nodes","6110",21.000000,40.721173,"DDS demands","Known Flow",250865.875000,668149.750000,,0.000000,,,,,,-20.879998,,,,,,,,,-18.671268,-20.879998,,,"",,,,,,"D1 PROFILE",,,,,,,,,
