"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"62505600000075","Nodes","75",21.000000,34.092171,"DDS demands","Known Flow",242066.500000,619753.375000,,0.000000,,,,,-7.010000,,-6.268467,-7.010000,,"",,,,,"D1 PROFILE",
"62505600001046","Nodes","1046",21.000000,33.830211,"Default Known Flow Node","Known Flow",242068.250000,619754.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000082","Nodes","82",21.000000,30.723704,"DDS demands","Known Flow",242122.875000,619781.500000,,0.000000,,,,,-18.389999,,-16.444664,-18.389999,,"",,,,,"D1 PROFILE",
"62505600000083","Nodes","83, P08117817, COURTYARD COYLTON, FY1(-14.40) & CON16 LOAD BUILD-UP(-46.16)",21.000000,26.465516,"DDS demands","Known Flow",242253.125000,619825.750000,,0.000000,-10.739999,,,,-5.400000,,-14.432674,-16.139999,,"","C1 PROFILE",,,,"D1 PROFILE",
"62505600000084","Nodes","84",21.000000,23.121250,"DDS demands","Known Flow",242307.500000,619843.500000,,0.000000,,,,,-7.799999,,-6.974898,-7.799999,,"",,,,,"D1 PROFILE",
"62505600001017","Nodes","1017",21.000000,23.165658,"Default Known Flow Node","Known Flow",242325.875000,619851.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000089","Nodes","89",21.000000,22.548539,"DDS demands","Known Flow",242318.500000,619881.750000,,0.000000,-5.969999,,,,-8.689999,,-13.109232,-14.659999,,"","C1 PROFILE",,,,"D1 PROFILE",
"62505600000078","Nodes","78",21.000000,31.439400,"DDS demands","Known Flow",242099.000000,619633.250000,,0.000000,,,,,-17.899999,,-16.006498,-17.899999,,"",,,,,"D1 PROFILE",
"62505600000079","Nodes","79",21.000000,31.278766,"DDS demands","Known Flow",242185.750000,619663.500000,,0.000000,,,,,-5.209999,,-4.658874,-5.209999,,"",,,,,"D1 PROFILE",
"62505600000076","Nodes","76",21.000000,32.069691,"DDS demands","Known Flow",242084.875000,619699.625000,,0.000000,,,,,-26.370000,,-23.580524,-26.370000,,"",,,,,"D1 PROFILE",
