"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"96106300132811","Nodes","132811","21.000000","25.354263","DDS demands","Known Flow","626131.324184","147828.190956","","0.000000","","","","","-4.340000","-3.880905","-4.340000","","","","","","","D1 PROFILE"
"96106300299097","Nodes","299097","21.000000","26.264293","DDS demands","Known Flow","626239.816978","147909.719933","","0.000000","","","","","-8.050000","-7.198454","-8.050000","","","","","","","D1 PROFILE"
"96106305203036","Nodes","5203036","21.000000","26.852522","Default Known Flow Node","Known Flow","626240.158765","147835.581138","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106305203028","Nodes","5203028","21.000000","26.353293","DDS demands","Known Flow","626186.395862","147802.122620","","0.000000","","","","","-5.039999","-4.506857","-5.039999","","","","","","","D1 PROFILE"
"96106300132818","Nodes","132818","21.000000","28.789800","DDS demands","Known Flow","626329.556717","147889.031460","","0.000000","","","","","-2.180000","-1.949395","-2.180000","","","","","","","D1 PROFILE"
"96106300132815","Nodes","132815","21.000000","28.503550","DDS demands","Known Flow","626279.171352","147939.629257","","0.000000","","","","","-7.869999","-7.037494","-7.869999","","","","","","","D1 PROFILE"
"96106305203027","Nodes","5203027","21.000000","30.090512","DDS demands","Known Flow","626372.965942","147930.053026","","0.000000","","","","","-1.949999","-1.743724","-1.949999","","","","","","","D1 PROFILE"
"96106300132824","Nodes","132824","21.000000","25.777380","DDS demands","Known Flow","626154.563016","147813.437593","","0.000000","","","","","-2.009999","-1.797377","-2.009999","","","","","","","D1 PROFILE"
"96106300132822","Nodes","132822","21.000000","26.130413","DDS demands","Known Flow","626283.037717","147875.281374","","0.000000","","","","","-7.109999","-6.357889","-7.109999","","","","","","","D1 PROFILE"
"96106300132827","Nodes","132827","21.000000","31.714819","DDS demands","Known Flow","626416.000000","147977.000000","","0.000000","","","","","-3.629999","-3.246011","-3.629999","","","","","","","D1 PROFILE"
"96106300132834","Nodes","132834","21.000000","29.793160","DDS demands","Known Flow","626470.625000","147919.500000","","0.000000","","","","","-5.619999","-5.025504","-5.619999","","","","","","","D1 PROFILE"
"96106300299091","Nodes","299091","21.000000","26.118629","Default Known Flow Node","Known Flow","626173.691562","147804.833388","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300170695","Nodes","170695","21.000000","23.666254","DDS demands","Known Flow","625952.024279","147806.676596","","0.000000","","","","","-10.310000","-9.219387","-10.310000","","","","","","","D1 PROFILE"
"96106300299092","Nodes","299092","21.000000","24.331898","DDS demands","Known Flow","626063.510782","147875.361783","","0.000000","","","","","-14.569999","-13.028754","-14.569999","","","","","","","D1 PROFILE"
"96106300299095","Nodes","299095","21.000000","25.529584","DDS demands","Known Flow","626215.077981","147736.846530","","0.000000","","","-3.299999","","-4.940000","-7.368355","-8.240000","","","","","C3 PROFILE","","D1 PROFILE"
"96106300299093","Nodes","299093","21.000000","26.226432","Default Known Flow Node","Known Flow","626172.400763","147792.810089","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300299090","Nodes","299090","21.000000","26.109721","DDS demands","Known Flow","626134.287678","147739.161319","","0.000000","","-12.890000","","","-2.630000","-13.878262","-15.520000","","","","C2 PROFILE","","","D1 PROFILE"
"96106300299096","Nodes","299096","21.000000","25.480164","DDS demands","Known Flow","626239.654829","147714.610334","","0.000000","","","","","-1.450000","-1.296616","-1.450000","","","","","","","D1 PROFILE"
"96106305203032","Nodes","5203032","21.000000","31.723474","DDS demands","Known Flow","626550.828578","147999.034212","","0.000000","","","","","-7.880000","-7.046437","-7.880000","","","","","","","D1 PROFILE"
"96106300132839","Nodes","132839","21.000000","31.689327","DDS demands","Known Flow","626529.036685","147979.093368","","0.000000","","","","","-4.060000","-3.630524","-4.060000","","","","","","","D1 PROFILE"
"96106300170672","Nodes","170672","21.000000","22.724267","DDS demands","Known Flow","625317.594589","148189.897118","","0.000000","","","","","-15.079999","-13.484805","-15.079999","","","","","","","D1 PROFILE"
"96106300170671","Nodes","170671","21.000000","21.030226","DDS demands","Known Flow","625104.235950","148231.578024","","0.000000","","","","","-4.130000","-3.693120","-4.130000","","","","","","","D1 PROFILE"
"96106300132801","Nodes","132801","21.000000","34.160386","DDS demands","Known Flow","625779.325157","148004.234650","","0.000000","","","","-3.180000","-14.089999","-15.443143","-17.270000","","","","","","C4 PROFILE","D1 PROFILE"
"96106300133867","Nodes","133867","21.000000","35.946081","DDS demands","Known Flow","625946.610852","148414.542069","","0.000000","","","","","-2.840000","-2.539578","-2.840000","","","","","","","D1 PROFILE"
