"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96121709709047","Nodes","P08118713, Main Street, Westfield, TN35 4QE, 9.42","22.999998","30.490791","CSEP DDS Matched","Known Flow","581297.645000","115650.802812","","0.000000","","","","-4.909999","","-9.419999","-12.814142","-14.329999","","","","","","D1 PROFILE","","DC PROFILE"
"96121709709147","Nodes","-91186","21.000000","30.062439","Default Known Flow Node","Known Flow","581283.645000","115523.052812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709046","Nodes","9709046","21.000000","25.448403","DDS demands","Known Flow","581289.395000","115944.920000","","0.000000","","","","-12.859999","","","-11.499641","-12.859999","","","","","","D1 PROFILE","",""
"96121709709154","Nodes","-91199","21.000000","25.450230","Default Known Flow Node","Known Flow","581344.895000","115957.052812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709151","Nodes","-91191","21.000000","26.982684","DDS demands","Known Flow","581294.770000","115825.920000","","0.000000","","","","-6.969999","","","-6.232698","-6.969999","","","","","","D1 PROFILE","",""
"96121709709141","Nodes","-91180","21.000000","28.651839","DDS demands","Known Flow","581239.395000","115751.670000","","0.000000","","","","-4.429999","","","-3.961385","-4.429999","","","","","","D1 PROFILE","",""
"96121709709157","Nodes","-91202","21.000000","26.941958","DDS demands","Known Flow","581359.520000","115807.420000","","0.000000","","","","-3.280000","","","-2.933034","-3.280000","","","","","","D1 PROFILE","",""
"96121709709155","Nodes","-91200","21.000000","25.447828","DDS demands","Known Flow","581348.020000","115947.170000","","0.000000","","","","-1.820000","","","-1.627476","-1.820000","","","","","","D1 PROFILE","",""
"96121709709075","Nodes","-133661","21.000000","25.449340","DDS demands","Known Flow","581343.270000","115963.052812","","0.000000","","","","-1.429999","","","-1.278731","-1.429999","","","","","","D1 PROFILE","",""
"96121709709160","Nodes","-91206","21.000000","30.400760","Default Known Flow Node","Known Flow","581457.395000","115773.420000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709161","Nodes","-91207","21.000000","30.487591","Default Known Flow Node","Known Flow","581463.895000","115776.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709164","Nodes","-91211","21.000000","26.916069","DDS demands","Known Flow","581555.770000","115802.802812","","0.000000","","","","-3.989999","","","-3.567929","-3.989999","","","","","","D1 PROFILE","",""
"96121709709145","Nodes","-91184","21.000000","24.710918","DDS demands","Known Flow","581273.770000","116007.670000","","0.000000","","","","-27.389998","","","-24.492628","-27.389998","","","","","","D1 PROFILE","",""
"96121709709137","Nodes","-91174","21.000000","24.648846","Default Known Flow Node","Known Flow","581221.145000","116117.802812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709132","Nodes","-91168","21.000000","24.394249","DDS demands","Known Flow","581183.520000","116097.170000","","0.000000","","","","-5.619999","","","-5.025504","-5.619999","","","","","","D1 PROFILE","",""
