"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64403800002738","Nodes","2738",21.000000,32.836250,"Default Known Flow Node","Known Flow",272813.531391,701413.171070,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002739","Nodes","2739",21.000000,32.836250,"Default Known Flow Node","Known Flow",272815.730391,701444.675079,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002741","Nodes","2741",21.000000,28.466591,"DDS demands","Known Flow",272413.323282,701388.928064,,0.000000,,,,,-6.409999,,-5.731936,-6.409999,,"",,,,,"D1 PROFILE",
"64403800002744","Nodes","2744",21.000000,29.323347,"Default Known Flow Node","Known Flow",272529.133313,701539.804105,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002746","Nodes","2746",21.000000,29.340048,"Default Known Flow Node","Known Flow",272530.575314,701539.354105,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002747","Nodes","2747",21.000000,29.285771,"DDS demands","Known Flow",272521.313311,701467.394085,,0.000000,,,,,-6.919999,,-6.187987,-6.919999,,"",,,,,"D1 PROFILE",
"64403800002751","Nodes","2751",21.000000,33.457549,"Default Known Flow Node","Known Flow",272853.091401,701510.416097,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002753","Nodes","2753",21.000000,33.117780,"Default Known Flow Node","Known Flow",272819.264392,701463.095084,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002754","Nodes","2754",21.000000,33.303938,"DDS demands","Known Flow",272887.366387,701495.295641,,0.000000,0.000000,,,,,,0.000000,0.000000,,"","C1 PROFILE",,,,,
"64403800002756","Nodes","2756",21.000000,32.827979,"Default Known Flow Node","Known Flow",272686.944356,701564.018111,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002763","Nodes","2763",21.000000,29.508153,"Default Known Flow Node","Known Flow",272545.690915,701541.002284,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002737","Nodes","2737",21.000000,33.028823,"Default Known Flow Node","Known Flow",272802.987388,701463.112084,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002764","Nodes","2764",21.000000,29.493944,"Default Known Flow Node","Known Flow",272545.372318,701544.540106,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002765","Nodes","2765",21.000000,32.748699,"Default Known Flow Node","Known Flow",272736.460294,701419.998617,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002767","Nodes","2767",21.000000,32.848881,"Default Known Flow Node","Known Flow",272787.564347,701416.219689,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002762","Nodes","2762",21.000000,33.432556,"Default Known Flow Node","Known Flow",272857.307403,701505.921096,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002807","Nodes","2807",21.000000,49.910023,"Default Known Flow Node","Known Flow",273010.346445,701383.433188,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002809","Nodes","2809",21.000000,49.865800,"DDS demands","Known Flow",273034.198451,701418.004072,,0.000000,,,,,-0.880000,,-0.786911,-0.880000,,"",,,,,"",
