"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64301100001124","Nodes","1124",21.000000,31.624688,"DDS demands","Known Flow",332053.123510,666128.714469,,0.000000,,,,,,,-15.659999,,,,,,-14.003452,-15.659999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001125","Nodes","1125",21.000000,32.847794,"Default Known Flow Node","Known Flow",332122.808529,666211.664492,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001126","Nodes","1126",21.000000,32.858540,"Default Known Flow Node","Known Flow",332121.621529,666212.593492,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001131","Nodes","1131",21.000000,32.732495,"Default Known Flow Node","Known Flow",332076.948517,666259.984505,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001132","Nodes","1132",21.000000,35.941692,"Default Known Flow Node","Known Flow",332314.232244,666440.209529,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001133","Nodes","1133",21.000000,35.898447,"Default Known Flow Node","Known Flow",332334.138587,666422.436549,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001127","Nodes","1127",21.000000,31.223096,"DDS demands","Known Flow",331964.432486,666333.378525,,0.000000,,,,,,,-21.309999,,,,,,-19.055783,-21.309999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001137","Nodes","1137",21.000000,33.371821,"Default Known Flow Node","Known Flow",332195.106324,666298.356711,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001121","Nodes","1121",21.000000,33.985379,"Default Known Flow Node","Known Flow",332256.044566,666364.344533,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001139","Nodes","1139",21.000000,33.729384,"Default Known Flow Node","Known Flow",332241.907562,666366.261534,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
