"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64306400000334","Nodes","334",21.000000,70.551622,"DDS demands","Known Flow",307034.483223,667025.587263,,0.000000,,,,,-17.040000,,,,-15.237473,-17.040000,,"",,,,,"D1 PROFILE",,,
"64306400001159","Nodes","-409",21.000000,70.462978,"Default Known Flow Node","Known Flow",307038.974704,667026.708714,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000335","Nodes","335",21.000000,69.781607,"DDS demands","Known Flow",307071.599713,667040.208717,,0.000000,,,,,-4.380000,,,,-3.916674,-4.380000,,"",,,,,"D1 PROFILE",,,
"64306400000336","Nodes","336",21.000000,69.752239,"DDS demands","Known Flow",307066.849711,667070.458725,,0.000000,,,,,-3.680000,,,,-3.290721,-3.680000,,"",,,,,"D1 PROFILE",,,
"64306400000337","Nodes","337",21.000000,69.388055,"DDS demands","Known Flow",307112.099724,667054.208721,,0.000000,,,,,-3.199999,,,,-2.861497,-3.199999,,"",,,,,"D1 PROFILE",,,
"64306400000338","Nodes","338",21.000000,69.351965,"DDS demands","Known Flow",307115.599725,667077.958728,,0.000000,,,,,-4.719999,,,,-4.220708,-4.719999,,"",,,,,"D1 PROFILE",,,
"64306400000339","Nodes","339",21.000000,69.326683,"DDS demands","Known Flow",307133.724730,667013.583710,,0.000000,,,,,-5.590000,,,,-4.998678,-5.590000,,"",,,,,"D1 PROFILE",,,
"64306400001069","Nodes","-1462587",21.000000,26.094193,"Default Known Flow Node","Known Flow",307361.974792,667483.208838,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001093","Nodes","-207739",21.000000,31.587031,"Default Known Flow Node","Known Flow",308354.975062,667004.583708,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000102","Nodes","102",21.000000,30.860901,"DDS demands","Known Flow",308404.975075,666989.833704,,0.000000,,,,,-7.580000,,,,-6.778171,-7.580000,,"",,,,,"D1 PROFILE",,,
"64306400000104","Nodes","104",21.000000,30.444475,"DDS demands","Known Flow",308476.600095,667001.708707,,0.000000,,,,,-7.880000,,,,-7.046437,-7.880000,,"",,,,,"D1 PROFILE",,,
"64306400000096","Nodes","96",21.000000,25.201184,"DDS demands","Known Flow",308435.975084,667181.583756,,0.000000,,,,,-7.600000,,,,-6.796056,-7.600000,,"",,,,,"D1 PROFILE",,,
"64306400001100","Nodes","-207749",21.000000,25.201184,"Default Known Flow Node","Known Flow",308426.850081,667183.833756,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001099","Nodes","-207748",21.000000,25.725875,"Default Known Flow Node","Known Flow",308424.100081,667156.708749,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000097","Nodes","97",21.000000,24.916305,"DDS demands","Known Flow",308484.225097,667156.458749,,0.000000,,,,,-12.910000,,,,-11.544353,-12.910000,,"",,,,,"D1 PROFILE",,,
"64306400000094","Nodes","94",21.000000,26.892361,"DDS demands","Known Flow",308366.475065,667091.708731,,0.000000,,,,,-11.060000,,,,-9.890050,-11.060000,,"",,,,,"D1 PROFILE",,,
"64306400000095","Nodes","95",21.000000,26.495308,"DDS demands","Known Flow",308410.850077,667134.083743,,0.000000,,,,,-5.919999,,,,-5.293770,-5.919999,,"",,,,,"D1 PROFILE",,,
"64306400000140","Nodes","140",21.000000,25.837064,"DDS demands","Known Flow",308403.975075,667073.708726,,0.000000,,,,,-2.730000,,,,-2.441214,-2.730000,,"",,,,,"D1 PROFILE",,,
"64306400000098","Nodes","98",21.000000,24.829046,"DDS demands","Known Flow",308439.475085,667078.833728,,0.000000,,,,,-12.520000,,,,-11.195608,-12.520000,,"",,,,,"D1 PROFILE",,,
"64306400001101","Nodes","-207752",21.000000,24.517000,"Default Known Flow Node","Known Flow",308466.850092,667068.208725,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000092","Nodes","92",21.000000,31.982475,"DDS demands","Known Flow",308302.350048,667101.333734,,0.000000,,,,,-3.219999,,,,-2.879381,-3.219999,,"",,,,,"D1 PROFILE",,,
"64306400000093","Nodes","93",21.000000,31.438044,"DDS demands","Known Flow",308335.350056,667037.833717,,0.000000,,,,,-9.419999,,,,-8.423532,-9.419999,,"",,,,,"D1 PROFILE",,,
"64306400001094","Nodes","-207740",21.000000,27.429912,"Default Known Flow Node","Known Flow",308358.350063,667088.833730,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000375","Nodes","375",21.000000,46.237988,"DDS demands","Known Flow",308225.225027,667333.458797,,0.000000,,,,,-10.079999,,,,-9.013715,-10.079999,,"",,,,,"D1 PROFILE",,,
"64306400000377","Nodes","377",21.000000,44.665575,"DDS demands","Known Flow",308277.850041,667338.333798,,0.000000,,,,,-13.260000,,,,-11.857329,-13.260000,,"",,,,,"D1 PROFILE",,,
