"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64303200020400","Nodes",,21.000000,37.852297,"Default Known Flow Node","Known Flow",325620.255760,639252.612156,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020401","Nodes",,21.000000,39.827114,"Default Known Flow Node","Known Flow",325107.632620,639494.830222,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020371","Nodes",,21.000000,39.054082,"Default Known Flow Node","Known Flow",325230.883654,639364.617186,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020408","Nodes",,21.000000,41.458319,"Default Known Flow Node","Known Flow",325555.347742,639523.753230,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020410","Nodes",,21.000000,44.111244,"Default Known Flow Node","Known Flow",325445.368712,639658.194266,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020411","Nodes",,21.000000,39.256225,"Default Known Flow Node","Known Flow",325220.186651,639171.797134,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020417","Nodes",,21.000000,39.256225,"DDS demands","Known Flow",325219.953226,639172.992632,,0.000000,,,,,,-5.749999,,,,,,,,-5.141752,-5.749999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020413","Nodes",,21.000000,44.323566,"Default Known Flow Node","Known Flow",325410.908703,639665.513268,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020412","Nodes",,21.000000,39.208455,"Default Known Flow Node","Known Flow",325197.930645,639302.723170,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020391","Nodes",,21.000000,39.191433,"Default Known Flow Node","Known Flow",325181.637641,639153.343129,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020421","Nodes",,21.000000,41.420782,"Default Known Flow Node","Known Flow",325532.274736,639821.467311,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020422","Nodes",,21.000000,41.290253,"Default Known Flow Node","Known Flow",325564.837745,639856.270320,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
