"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"624042-164776","Nodes","-164776",21.000000,36.578351,"Default Known Flow Node","Known Flow",261607.500000,674386.000000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550170","Nodes","-550170",21.000000,36.793225,"Default Known Flow Node","Known Flow",261556.250000,674300.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000119","Nodes","119",21.000000,36.793225,"DDS demands","Known Flow",261556.500000,674302.500000,,0.000000,,,-8.691000,,,-7.771647,-8.691000,,,"",,,"D1 PROFILE",,,
"624042-550169","Nodes","-550169",21.000000,36.793225,"Default Known Flow Node","Known Flow",261556.000000,674304.625000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000104","Nodes","104",21.000000,36.966034,"DDS demands","Known Flow",261607.500000,674277.125000,,0.000000,,,-5.953000,,,-5.323279,-5.953000,,,"",,,"D1 PROFILE",,,
"62404200000102","Nodes","102",21.000000,36.824413,"DDS demands","Known Flow",261607.500000,674238.625000,,0.000000,,,-7.179999,,,-6.420484,-7.179999,,,"",,,"D1 PROFILE",,,
"62404200000103","Nodes","103",21.000000,36.879535,"DDS demands","Known Flow",261547.250000,674240.125000,,0.000000,,,-5.323999,,,-4.760816,-5.323999,,,"",,,"D1 PROFILE",,,
"62404200000100","Nodes","100",21.000000,36.755512,"DDS demands","Known Flow",261669.500000,674188.875000,,0.000000,,,-4.704999,,,-4.207295,-4.704999,,,"",,,"D1 PROFILE",,,
"62404200000101","Nodes","101",21.000000,36.755512,"Default Known Flow Node","Known Flow",261662.875000,674180.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000032","Nodes","32",21.000000,37.239766,"DDS demands","Known Flow",261699.625000,674234.750000,,0.000000,,,-2.434000,,,-2.176526,-2.434000,,,"",,,"D1 PROFILE",,,
"62404200000033","Nodes","33",21.000000,37.022968,"DDS demands","Known Flow",261671.000000,674244.500000,,0.000000,,,-0.943000,,,-0.843247,-0.943000,,,"",,,"D1 PROFILE",,,
"62404200000028","Nodes","28",21.000000,37.719031,"DDS demands","Known Flow",261758.500000,674329.625000,,0.000000,,,-9.107000,,,-8.143642,-9.107000,,,"",,,"D1 PROFILE",,,
"62404200000029","Nodes","29",21.000000,37.270275,"DDS demands","Known Flow",261846.375000,674315.625000,,0.000000,,,-8.588999,,,-7.680437,-8.588999,,,"",,,"D1 PROFILE",,,
"62404200000026","Nodes","26",21.000000,37.893816,"DDS demands","Known Flow",261777.750000,674385.000000,,0.000000,,,-6.256999,,,-5.595121,-6.256999,,,"",,,"D1 PROFILE",,,
"62404200000027","Nodes","27",21.000000,37.520270,"DDS demands","Known Flow",261706.375000,674418.000000,,0.000000,,,-8.923999,,,-7.979999,-8.923999,,,"",,,"D1 PROFILE",,,
"62404200000025","Nodes","25",21.000000,37.965775,"DDS demands","Known Flow",261797.750000,674408.875000,,0.000000,,,-3.438000,,,-3.074321,-3.438000,,,"",,,"D1 PROFILE",,,
"62404200000024","Nodes","24",21.000000,25.600721,"DDS demands","Known Flow",261854.625000,674457.125000,,0.000000,,,-16.093999,,,-14.391542,-16.093999,,,"",,,"D1 PROFILE",,,
"62404200000120","Nodes","120",21.000000,24.516680,"DDS demands","Known Flow",261883.625000,674424.000000,,0.000000,,,-3.996000,,,-3.573294,-3.996000,,,"",,,"D1 PROFILE",,,
"62404200000034","Nodes","34",21.000000,24.092054,"DDS demands","Known Flow",261909.125000,674392.625000,,0.000000,,,-14.948000,,,-13.366769,-14.948000,,,"",,,"D1 PROFILE",,,
"62404200000121","Nodes","121",21.000000,24.453612,"DDS demands","Known Flow",261947.250000,674453.000000,,0.000000,,,-4.400999,,,-3.935452,-4.400999,,,"",,,"D1 PROFILE",,,
"624042-173801","Nodes","-173801",21.000000,24.453612,"Default Known Flow Node","Known Flow",261972.500000,674446.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-2591430","Nodes","-2591430",21.000000,37.986837,"Default Known Flow Node","Known Flow",261794.625000,674411.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550176","Nodes","-550176",21.000000,23.661798,"Default Known Flow Node","Known Flow",261823.000000,674497.250000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164777","Nodes","-164777",21.000000,36.578351,"Default Known Flow Node","Known Flow",261602.375000,674398.250000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
