"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"64306100000464","Nodes",,21.000000,28.186131,"Default Known Flow Node","Known Flow",343763.581395,675850.394783,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000467","Nodes",,21.000000,35.991040,"Default Known Flow Node","Known Flow",344034.816771,676136.808193,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000468","Nodes",,21.000000,35.997714,"Default Known Flow Node","Known Flow",344037.099771,676136.458192,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000469","Nodes",,21.000000,38.113384,"Default Known Flow Node","Known Flow",344082.126784,676204.953211,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000470","Nodes",,21.000000,37.515828,"Default Known Flow Node","Known Flow",344093.885787,676188.399207,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000476","Nodes",,21.000000,33.861715,"Default Known Flow Node","Known Flow",344012.053765,676307.142239,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000495","Nodes",,21.000000,33.861715,"Default Known Flow Node","Known Flow",344010.315411,676309.566684,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000479","Nodes",,21.000000,35.827105,"Default Known Flow Node","Known Flow",343945.677746,676068.198174,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000453","Nodes",,21.000000,25.656550,"Default Known Flow Node","Known Flow",343766.670698,676138.295193,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000483","Nodes",,21.000000,33.558715,"Default Known Flow Node","Known Flow",344274.306647,676397.608971,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000471","Nodes",,21.000000,33.557961,"Default Known Flow Node","Known Flow",344280.468838,676400.049264,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000486","Nodes",,21.000000,33.554354,"Default Known Flow Node","Known Flow",343968.287753,676366.427255,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000534","Nodes",,21.000000,32.088794,"DDS demands","Known Flow",344077.624782,676479.301286,,0.000000,,-8.220000,,-7.350471,-8.220000,,"",,"D1 PROFILE",
"64306100000493","Nodes",,21.000000,35.881010,"Default Known Flow Node","Known Flow",343877.528728,676057.776171,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000494","Nodes",,21.000000,35.881010,"Default Known Flow Node","Known Flow",343889.066731,676040.976166,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000477","Nodes",,21.000000,33.602011,"Default Known Flow Node","Known Flow",343971.121753,676364.229254,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000518","Nodes",,21.000000,33.886243,"Default Known Flow Node","Known Flow",344009.688231,676308.556014,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000499","Nodes",,21.000000,29.478955,"Default Known Flow Node","Known Flow",343850.729721,676217.543214,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000501","Nodes",,21.000000,28.591510,"Default Known Flow Node","Known Flow",343854.095722,676330.344245,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000508","Nodes",,21.000000,34.049141,"Default Known Flow Node","Known Flow",344013.999765,676300.329237,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000475","Nodes",,21.000000,36.032502,"Default Known Flow Node","Known Flow",344046.919774,676144.603195,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000510","Nodes",,21.000000,31.874956,"DDS demands","Known Flow",343904.874735,675983.878151,,0.000000,,-6.520000,,-5.830300,-6.520000,,"",,"D1 PROFILE",
"64306100000511","Nodes",,21.000000,35.873514,"Default Known Flow Node","Known Flow",343863.264724,676049.930169,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000448","Nodes",,21.000000,28.641575,"Default Known Flow Node","Known Flow",343794.489705,676302.141238,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000512","Nodes",,21.000000,33.963787,"Default Known Flow Node","Known Flow",344142.768800,676394.929263,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000505","Nodes",,21.000000,27.710892,"Default Known Flow Node","Known Flow",343813.311710,676177.768204,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000514","Nodes",,21.000000,28.771944,"Default Known Flow Node","Known Flow",344118.888794,676312.996240,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000496","Nodes",,21.000000,33.929246,"Default Known Flow Node","Known Flow",344009.545764,676306.614239,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000500","Nodes",,21.000000,31.327911,"Default Known Flow Node","Known Flow",343931.932743,676233.189219,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000524","Nodes",,21.000000,28.220892,"Default Known Flow Node","Known Flow",343801.603850,675836.085233,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000523","Nodes",,21.000000,28.220892,"Default Known Flow Node","Known Flow",343808.924709,675842.414112,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000525","Nodes",,21.000000,31.221510,"Default Known Flow Node","Known Flow",344215.375820,676528.650299,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000527","Nodes",,21.000000,30.372543,"Default Known Flow Node","Known Flow",344145.569801,676800.088373,,0.000000,,,,0.000000,0.000000,,"",,,
