"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64304100000050","Nodes","50",21.000000,34.468187,"DDS demands","Known Flow",357501.740000,638524.950000,,0.000000,-0.999999,,-2.190000,,-4.119999,,,,-6.536732,-7.309999,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",,,
"64304100000176","Nodes","176",21.000000,29.865187,"DDS demands","Known Flow",357541.365000,638563.450000,,0.000000,,,,,-0.479999,,,,-0.429224,-0.479999,,"",,,,,"D1 PROFILE",,,
"64304100000159","Nodes","159",21.000000,31.753515,"DDS demands","Known Flow",357991.118278,638643.663000,,0.000000,,,,,-15.710000,,-67.499999,,-14.048163,-15.710000,,"",,,,,"D1 PROFILE",,"DM PROFILE",
"64304100000156","Nodes","156",21.000000,34.680622,"DDS demands","Known Flow",357519.740000,638528.950000,,0.000000,,,,-8.069999,-16.139999,,,,-21.649015,-24.209998,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"64304100000158","Nodes","158",21.000000,32.775759,"DDS demands","Known Flow",357890.365000,638600.325000,,0.000000,,-4.070000,,,-0.799999,,,,-4.354841,-4.870000,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"64304101462469","Nodes","-1462469",21.000000,30.921497,"DDS demands","Known Flow",357898.365000,638553.075000,,0.000000,,-25.569999,,,,,-24.000000,,-22.865150,-25.569999,,"",,"C2 PROFILE",,,,,"DM PROFILE",
"64304100000175","Nodes","175",21.000000,32.850011,"DDS demands","Known Flow",357872.990000,638594.700000,,0.000000,-6.000000,,,-3.810000,-11.579999,,,,-19.127321,-21.389999,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,
"64304100000062","Nodes","-62",21.000000,32.786855,"Default Known Flow Node","Known Flow",357893.115000,638589.075000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000065","Nodes","-65",21.000000,32.763191,"DDS demands","Known Flow",357924.615000,638600.075000,,0.000000,,,,,-1.919999,,,,-1.716898,-1.919999,,"",,,,,"D1 PROFILE",,,
"64304100000170","Nodes","170",21.000000,32.520563,"Default Known Flow Node","Known Flow",358012.046536,638553.161806,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
