"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64303400000246","Nodes","246",21.000000,31.955559,"Default Known Flow Node","Known Flow",353187.362261,634504.824864,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000245","Nodes","245",21.000000,31.508937,"DDS demands","Known Flow",353224.362271,634504.824864,,0.000000,,,,,,-3.150000,,,,,-2.816786,-3.150000,,"",,,,,,"D1 PROFILE",,,,
"64303400000105","Nodes","105",21.000000,31.135962,"DDS demands","Known Flow",353254.362279,634504.699864,,0.000000,,,,,,-5.780000,,,,,-5.168579,-5.780000,,"",,,,,,"D1 PROFILE",,,,
"64303400002235","Nodes","2235",21.000000,30.546989,"Default Known Flow Node","Known Flow",353371.367067,634512.799399,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000247","Nodes","DARNICK DG, Clocked, Site ID 6297",21.000000,32.000001,"Default Known Pressure Node","Known Pressure",353185.237261,634511.074866,,999998.967025,,,,,,,,,,,202.179468,226.096436,,"",,,,,,,,,,
"64303400002315","Nodes","2315",21.000000,30.841867,"Default Known Flow Node","Known Flow",353310.862295,634504.824864,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000103","Nodes","P00017068, Ladyswalk, 30.18",22.999998,30.476337,"CSEP DDS Matched","Known Flow",353408.987322,634519.824868,,0.000000,,,,,,-8.209999,0.000000,,,,-7.341529,-8.209999,,"",,,,,,"D1 PROFILE","DC PROFILE",,,
"64303400000106","Nodes","106",21.000000,30.342825,"DDS demands","Known Flow",353383.112315,634479.324857,,0.000000,,,,,,-7.030000,,,,,-6.286352,-7.030000,,"",,,,,,"D1 PROFILE",,,,
"64303400000271","Nodes","271",21.000000,48.827083,"DDS demands","Known Flow",353965.526473,635070.757018,,0.000000,,,,,,-10.180000,,,,,-9.103139,-10.180000,,"",,,,,,"D1 PROFILE",,,,
"64303400000269","Nodes","269",21.000000,49.601216,"DDS demands","Known Flow",353837.193438,635060.742015,,0.000000,,,,,,-5.010000,,,,,-4.480031,-5.010000,,"",,,,,,"D1 PROFILE",,,,
