"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64404000010353","Nodes","10353",21.000000,33.394335,"DDS demands","Known Flow",278952.790061,701048.812971,,0.000000,,,,,,-15.540000,,,,,,-13.896146,-15.540000,,"",,,,,,"D1 PROFILE",,,,,
"64404000010291","Nodes",,21.000000,33.449812,"Default Known Flow Node","Known Flow",278949.881060,701062.462975,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010350","Nodes",,21.000000,32.461623,"Default Known Flow Node","Known Flow",278961.452132,701373.357875,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010308","Nodes",,21.000000,31.418893,"Default Known Flow Node","Known Flow",278738.793003,700974.462951,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010311","Nodes",,21.000000,32.319857,"Default Known Flow Node","Known Flow",278813.155023,701212.507016,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010312","Nodes",,21.000000,32.322563,"Default Known Flow Node","Known Flow",278813.292023,701211.416016,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010313","Nodes",,21.000000,33.456663,"Default Known Flow Node","Known Flow",278934.074056,701091.957983,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010314","Nodes",,21.000000,33.456663,"Default Known Flow Node","Known Flow",278946.443060,701092.876983,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010315","Nodes",,21.000000,34.385561,"Default Known Flow Node","Known Flow",278954.169062,701210.873015,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010334","Nodes",,21.000000,33.456663,"Default Known Flow Node","Known Flow",278948.665060,701092.961983,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010317","Nodes",,21.000000,33.645316,"Default Known Flow Node","Known Flow",278978.691068,701110.944988,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010320","Nodes",,21.000000,33.261574,"Default Known Flow Node","Known Flow",278957.262062,700959.546947,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
