"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401500034585","Nodes","34585",21.000000,48.999078,"Default Known Flow Node","Known Flow",272710.840363,661616.582241,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500007257","Nodes","7257",21.000000,24.291211,"Default Known Flow Node","Known Flow",270052.589639,660663.081982,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500004499","Nodes","P00054710, North British Road, Uddingston, -112.62",24.000000,24.217224,"CSEP DDS Matched","Known Flow",270056.871641,660653.154979,,0.000000,,,,,,,,-88.170000,,,,,,,-78.843195,-88.170000,,"",,,,,,,,"DC PROFILE",,,,,,
"64401500032734","Nodes","32734",21.000000,24.529785,"Default Known Flow Node","Known Flow",270036.589635,660649.456978,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500033448","Nodes","33448",21.000000,28.079177,"Default Known Flow Node","Known Flow",270661.714805,660404.956912,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500007059","Nodes","7059,",21.000000,28.079177,"DDS demands","Known Flow",270664.310109,660400.326653,,0.000000,,,,,,,,,,-7.030000,,,,,-6.286352,-7.030000,,"",,,,,,,,,,"I2 PROFILE",,,,
"64401500033447","Nodes","33447",21.000000,28.082039,"Default Known Flow Node","Known Flow",270683.714811,660365.706901,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500032197","Nodes","32197",21.000000,34.316740,"Default Known Flow Node","Known Flow",269528.464497,662302.707428,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500004263","Nodes","4263,",21.000000,34.310138,"DDS demands","Known Flow",269533.177558,662300.857441,,0.000000,-11.929999,,,,,,,,,,,,,,-10.668019,-11.929999,,"","C1 PROFILE",,,,,,,,,,,,,
"64401500032215","Nodes","32215",21.000000,34.223448,"Default Known Flow Node","Known Flow",269594.839515,662353.457442,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
