"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64403200000360","Nodes","360",21.000000,23.525355,"DDS demands","Known Flow",287853.951483,696940.648853,,0.000000,,,,,-3.039999,,,,-2.718422,-3.039999,,"",,,,,"D1 PROFILE",,,
"64403200000424","Nodes","424",21.000000,22.288812,"DDS demands","Known Flow",287892.161494,696975.395863,,0.000000,,,,,-24.629998,,,,-22.024585,-24.629998,,"",,,,,"D1 PROFILE",,,
"64403200005056","Nodes","5056",21.000000,23.236119,"Default Known Flow Node","Known Flow",287845.453481,696899.943842,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000065","Nodes","65",21.000000,24.871062,"DDS demands","Known Flow",287823.457475,696942.495854,,0.000000,,,,,-5.719999,,,,-5.114926,-5.719999,,"",,,,,"D1 PROFILE",,,
"64403200000361","Nodes","361",21.000000,23.048843,"DDS demands","Known Flow",287848.242019,696868.329151,,0.000000,,,,,-1.580000,,,,-1.412864,-1.580000,,"",,,,,"D1 PROFILE",,,
"64403200000426","Nodes","426",21.000000,22.746436,"DDS demands","Known Flow",287944.801508,696874.268835,,0.000000,,,,,-5.449999,,,,-4.873487,-5.449999,,"",,,,,"D1 PROFILE",,,
"64403200000415","Nodes","415",21.000000,22.297317,"DDS demands","Known Flow",287905.053497,696796.405814,,0.000000,,,,,-18.900000,,,,-16.900719,-18.900000,,"",,,,,"D1 PROFILE",,,
"64403200000427","Nodes","427",21.000000,22.101698,"DDS demands","Known Flow",287956.550511,696850.128829,,0.000000,,,,,-5.599999,,,,-5.007620,-5.599999,,"",,,,,"D1 PROFILE",,,
"64403200005038","Nodes","5038",21.000000,25.400617,"Default Known Flow Node","Known Flow",287508.626242,696836.523766,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005037","Nodes","5037",21.000000,25.400617,"Default Known Flow Node","Known Flow",287508.369389,696834.247824,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005040","Nodes","5040",21.000000,25.411462,"Default Known Flow Node","Known Flow",287514.277190,696836.567592,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005041","Nodes","5041",21.000000,25.433555,"Default Known Flow Node","Known Flow",287522.527038,696829.775662,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005047","Nodes","5047",21.000000,25.583993,"Default Known Flow Node","Known Flow",287536.775890,696791.953987,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005049","Nodes","5049",21.000000,25.594945,"Default Known Flow Node","Known Flow",287547.904477,696794.099683,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000466","Nodes","466",21.000000,23.809348,"DDS demands","Known Flow",287659.258430,696797.484814,,0.000000,,,,,-2.359999,,,,-2.110354,-2.359999,,"",,,,,"D1 PROFILE",,,
"64403200005054","Nodes","5054",21.000000,23.861008,"Default Known Flow Node","Known Flow",287782.308464,696816.017820,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000456","Nodes","456",21.000000,23.589986,"DDS demands","Known Flow",287764.006459,696933.129851,,0.000000,,,,,-3.229999,,,,-2.888323,-3.229999,,"",,,,,"D1 PROFILE",,,
"64403200005060","Nodes","5060",21.000000,27.858919,"Default Known Flow Node","Known Flow",287943.074508,696966.902861,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005061","Nodes","5061",21.000000,27.871433,"Default Known Flow Node","Known Flow",287949.682509,696966.636860,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005062","Nodes","5062",21.000000,27.958193,"Default Known Flow Node","Known Flow",287949.678509,696977.019863,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000507","Nodes","507",21.000000,25.490126,"Default Known Flow Node","Known Flow",287580.176409,696946.771855,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
