"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64301500002176","Nodes",,21.000000,30.217149,"DDS demands","Known Flow",296726.656700,577220.392999,,0.000000,-13.539999,,,,,,,,,,-32.580002,,,-41.241330,-46.120000,,"","C1 PROFILE",,,,,,,,,,"I2 PROFILE",,
"64301500658752","Nodes","658752",21.000000,30.217324,"Default Known Flow Node","Known Flow",296727.221898,577211.809274,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002050","Nodes","2050",21.000000,30.229500,"Default Known Flow Node","Known Flow",296711.336043,577256.429366,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002177","Nodes","2177",21.000000,30.223223,"Default Known Flow Node","Known Flow",296720.417500,577236.559281,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002179","Nodes","2179",21.000000,30.221772,"Default Known Flow Node","Known Flow",296725.471897,577236.559281,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001067","Nodes","1067",21.000000,29.194152,"Default Known Flow Node","Known Flow",296733.957018,576502.928196,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000381","Nodes","381",21.000000,28.815913,"DDS demands","Known Flow",296775.596911,576628.809116,,0.000000,-1.490000,,,,,,-17.169999,,,,,,,-16.686105,-18.660000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"64301500777731","Nodes","777731",21.000000,30.959354,"Default Known Flow Node","Known Flow",296665.340937,576379.917931,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002012","Nodes","2012",21.000000,30.477268,"DDS demands","Known Flow",299351.472612,575058.933688,,0.000000,,,,,,,-13.529999,,,,,,,-12.098767,-13.529999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500002016","Nodes","2016",21.000000,30.477268,"Default Known Flow Node","Known Flow",299356.249602,575060.834392,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500364457","Nodes","364457",21.000000,30.650465,"Default Known Flow Node","Known Flow",299400.222625,575060.933689,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500162259","Nodes","162259",21.000000,24.210287,"Default Known Flow Node","Known Flow",299829.222742,576218.059004,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500009195","Nodes","9195",21.000000,23.286070,"Default Known Flow Node","Known Flow",299506.292522,579306.171483,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000041","Nodes","41",21.000000,23.320900,"DDS demands","Known Flow",299628.241687,579307.427844,,0.000000,,,,,,,-33.359999,,,,,,,-29.831108,-33.359999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001755","Nodes","1755",21.000000,25.912181,"Default Known Flow Node","Known Flow",298663.347425,576534.434090,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001139","Nodes","SPG00067, Lockerbie Rd CSEP, 57.00",24.000000,26.172384,"CSEP DDS Matched","Known Flow",298611.560647,576540.379411,,0.000000,,,,,,,,-26.849999,,,,,,-24.009750,-26.849999,,"",,,,,,,,"DC PROFILE",,,,,
"64301500158367","Nodes","158367",21.000000,26.571664,"Default Known Flow Node","Known Flow",298593.972406,576549.809094,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002675","Nodes","2675",21.000000,59.601641,"DDS demands","Known Flow",299946.097774,578975.559754,,0.000000,,,,,,,-4.400000,,,,,,,-3.934558,-4.400000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500009197","Nodes","SPG00102, Heathhall Ph.8/6, Bell Court CSEP, 124.00",33.000000,58.419898,"CSEP DDS Matched","Known Flow",299960.854780,578986.180327,,0.000000,,,,,,,,-88.000003,,,,,,-78.691181,-88.000003,,"",,,,,,,,"DC PROFILE",,,,,
"64301500426264","Nodes","426264",21.000000,57.555769,"DDS demands","Known Flow",300014.166571,579028.915928,,0.000000,,,,,,,-0.930000,,,,,,,-0.831622,-0.930000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001147","Nodes","1147",21.000000,27.027986,"DDS demands","Known Flow",298027.097252,577375.809319,,0.000000,,,,,,,-4.269999,,,,,,,-3.818310,-4.269999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500163460","Nodes","163460",21.000000,27.035206,"Default Known Flow Node","Known Flow",298050.347258,577028.184224,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001024","Nodes","1024",21.000000,23.323302,"Default Known Flow Node","Known Flow",299618.896267,579339.432719,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000370","Nodes","370",21.000000,28.679449,"DDS demands","Known Flow",296822.931924,576812.210165,,0.000000,,,,,,,-3.329999,,,,,,,-2.977745,-3.329999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500310024","Nodes","310024",21.000000,34.713375,"Default Known Flow Node","Known Flow",297006.117004,576242.892430,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001026","Nodes","1026",21.000000,34.123821,"Default Known Flow Node","Known Flow",296961.596988,576221.446470,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001544","Nodes","1544",21.000000,33.712276,"DDS demands","Known Flow",296928.096952,576205.309000,,0.000000,-138.309997,,,-8.739999,,,-1.779999,,,,-6.000000,,,-138.451758,-154.830003,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,"I2 PROFILE",,
"64301500001368","Nodes","1368",21.000000,32.772648,"DDS demands","Known Flow",298898.972489,575080.558694,,0.000000,,,,,,,-3.160000,,,,,,,-2.825728,-3.160000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500000600","Nodes","600",21.000000,24.246636,"Default Known Flow Node","Known Flow",299813.472738,576400.684053,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000276","Nodes","276",21.000000,26.966560,"DDS demands","Known Flow",298081.847266,577564.934370,,0.000000,,,,,,,-12.640000,,,,,,,-11.302914,-12.640000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001942","Nodes","1942",21.000000,30.185191,"DDS demands","Known Flow",299352.336612,580546.268182,,0.000000,,,,,,,-8.399999,,,,,,,-7.511430,-8.399999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001036","Nodes","1036",21.000000,29.851171,"Default Known Flow Node","Known Flow",299355.952752,580572.416992,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001943","Nodes","1943",21.000000,29.378167,"DDS demands","Known Flow",299361.071615,580609.432199,,0.000000,-28.680000,,,,,,,,,,-15.999999,,,-39.953657,-44.680002,,"","C1 PROFILE",,,,,,,,,,"I2 PROFILE",,
"64301500001137","Nodes","1137",21.000000,29.137854,"DDS demands","Known Flow",297484.472104,574912.558649,,0.000000,,,,,,,-5.260000,,,,,,,-4.703586,-5.260000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001037","Nodes","1037",21.000000,29.110441,"Default Known Flow Node","Known Flow",297489.738760,574884.690919,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002232","Nodes","2232",21.000000,28.966572,"DDS demands","Known Flow",297489.722105,574835.058627,,0.000000,,,,,,,-2.400000,,,,,,,-2.146123,-2.400000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500000690","Nodes","690",21.000000,28.726849,"DDS demands","Known Flow",296648.846876,575524.058815,,0.000000,,,,,,,-15.299999,,,,,,,-13.681533,-15.299999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001038","Nodes","1038",21.000000,29.998944,"DDS demands","Known Flow",296740.553308,575559.021874,,0.000000,,,,,,,-13.640000,,,,,,,-12.197133,-13.640000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001460","Nodes","1460",21.000000,32.798803,"DDS demands","Known Flow",296894.846943,575624.058842,,0.000000,,,-0.009999,,,,-1.630000,,,,,,,-1.466517,-1.640000,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"64301500000631","Nodes","631",21.000000,29.477344,"DDS demands","Known Flow",296315.721786,575742.433874,,0.000000,-3.920000,,,,,,-32.240002,,,,,,,-32.334920,-36.160001,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"64301500001039","Nodes","1039",21.000000,30.372660,"Default Known Flow Node","Known Flow",296172.819594,575881.169186,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000625","Nodes","625",21.000000,30.806467,"DDS demands","Known Flow",296099.596727,575950.308931,,0.000000,,,,,,,-27.360000,,,,,,,-24.465803,-27.360000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500310000","Nodes","310000",21.000000,30.486439,"Default Known Flow Node","Known Flow",296725.846897,576433.809062,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001045","Nodes","1045",21.000000,30.459011,"Default Known Flow Node","Known Flow",296676.843579,576567.861589,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002226","Nodes","2226",21.000000,30.538341,"DDS demands","Known Flow",296671.221883,576578.809102,,0.000000,,,,,,,-2.970000,,,,,,,-2.655827,-2.970000,,"",,,,,,,"D1 PROFILE",,,,,,
