"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64400800002737","Nodes","2737",21.000000,38.458499,"Default Known Flow Node","Known Flow",261626.087347,653249.579965,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800000682","Nodes","682",21.000000,32.062333,"DDS demands","Known Flow",264194.338045,653961.955159,,0.000000,,,,,,,-20.510000,,,,,,,,,,-18.340410,-20.510000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800032263","Nodes","-5669",21.000000,32.066451,"Default Known Flow Node","Known Flow",264190.448753,653966.195893,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800032252","Nodes","-5710",21.000000,33.758190,"Default Known Flow Node","Known Flow",263916.688039,654139.280682,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800000683","Nodes","683",21.000000,31.485849,"DDS demands","Known Flow",264156.010209,653920.885827,,0.000000,,,,,,,-15.479999,,,,,,,,,,-13.842492,-15.479999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800032272","Nodes","-5650",21.000000,31.381827,"Default Known Flow Node","Known Flow",264141.145031,653896.831141,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800004899","Nodes","4899, P07112997, Brendon Avenue, 233.44scm/h",30.000000,65.611834,"CSEP DDS Matched","Known Flow",261136.962213,651729.954551,,0.000000,,,,,,-502.160001,,-233.440005,,,,,,,,,-657.786718,-735.600025,,,"",,,,,,"CT PROFILE",,"DC PROFILE",,,,,,,,,
"64400800004842","Nodes","4842",21.000000,67.118704,"Default Known Flow Node","Known Flow",261265.444375,651695.704542,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800032273","Nodes","-5644",21.000000,31.305688,"Default Known Flow Node","Known Flow",264129.740028,653878.417136,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800000692","Nodes","692",21.000000,30.931863,"DDS demands","Known Flow",264119.543069,653861.822360,,0.000000,,,,,,,-10.410000,,,,,,,,,,-9.308808,-10.410000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800000684","Nodes","684",21.000000,30.516739,"DDS demands","Known Flow",264116.965024,653828.877122,,0.000000,,,,,,,-10.710000,,,,,,,,,,-9.577073,-10.710000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800003331","Nodes","3331",21.000000,34.077095,"DDS demands","Known Flow",263573.328093,654439.137025,,0.000000,,,,,,,-15.030000,,,,,,,,,,-13.440095,-15.030000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800000308","Nodes","308",21.000000,34.715299,"DDS demands","Known Flow",263741.452531,654388.425153,,0.000000,,,,,,,-9.009999,,,,,,,,,,-8.056903,-9.009999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800032626","Nodes","-4812",21.000000,34.738144,"Default Known Flow Node","Known Flow",263744.712923,654383.955273,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800034660","Nodes","-1403",21.000000,27.149846,"Default Known Flow Node","Known Flow",260918.462154,654747.330372,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800033538","Nodes","-1605",21.000000,23.890435,"Default Known Flow Node","Known Flow",261093.087202,655368.705541,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
