"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82060300008101","Nodes","8101",21.000000,53.134440,"Default Known Flow Node","Known Flow",477753.202244,98395.964440,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008118","Nodes","8118",21.000000,64.995617,"Default Known Flow Node","Known Flow",477927.822828,98426.852198,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008143","Nodes","8143",21.000000,61.892950,"Default Known Flow Node","Known Flow",478245.445291,98682.063062,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008144","Nodes","Logger 1071, Rookwood Road",21.000000,61.666368,"Val Log Cath","Known Flow",478263.444667,98703.667407,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008157","Nodes","8157",21.000000,64.995617,"Default Known Flow Node","Known Flow",477950.719945,98428.514085,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008210","Nodes","8210",21.000000,61.785008,"Default Known Flow Node","Known Flow",479444.409974,96981.284601,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008211","Nodes","8211",21.000000,61.785008,"Default Known Flow Node","Known Flow",479420.562611,96989.998602,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008217","Nodes","8217",21.000000,66.603250,"Default Known Flow Node","Known Flow",479203.823552,97016.825609,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008218","Nodes","8218",21.000000,66.643667,"Default Known Flow Node","Known Flow",479184.511183,97026.070750,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008226","Nodes","8226",21.000000,55.895332,"Default Known Flow Node","Known Flow",479527.336740,97014.498852,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008223","Nodes","8223",21.000000,66.684176,"DDS demands","Known Flow",479149.352537,97021.891611,,0.000000,,,,,-2.119999,,,,,,,-1.895741,-2.119999,,"",,,,,"D1 PROFILE",,,,,,
"82060300008225","Nodes","8225",21.000000,56.313911,"Default Known Flow Node","Known Flow",479611.835663,97023.554611,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008246","Nodes","8246",21.000000,63.662526,"Default Known Flow Node","Known Flow",479476.887626,97142.100643,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008242","Nodes","8242",21.000000,63.662526,"Default Known Flow Node","Known Flow",479478.481300,97141.862172,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008275","Nodes","8275",21.000000,65.958327,"Default Known Flow Node","Known Flow",479597.473659,97295.143685,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008348","Nodes","8348",21.000000,58.637682,"Default Known Flow Node","Known Flow",480183.996883,96694.689995,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008349","Nodes","8349",21.000000,58.637682,"Default Known Flow Node","Known Flow",480195.171822,96689.879520,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008357","Nodes","8357",21.000000,69.736163,"Default Known Flow Node","Known Flow",480228.966831,97749.444809,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008360","Nodes","8360",21.000000,69.756908,"Default Known Flow Node","Known Flow",480171.446815,97852.730837,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008361","Nodes","8361",21.000000,69.734198,"Default Known Flow Node","Known Flow",480227.568830,97827.264830,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008387","Nodes","8387",21.000000,67.975493,"Default Known Flow Node","Known Flow",480295.384347,97897.242534,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008367","Nodes","8367",21.000000,69.731527,"Default Known Flow Node","Known Flow",480249.858601,97816.394787,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008369","Nodes","8369",21.000000,69.731092,"Default Known Flow Node","Known Flow",480232.429832,97822.032828,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008378","Nodes","8378",21.000000,69.783982,"Default Known Flow Node","Known Flow",480161.834812,97853.784837,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008379","Nodes","8379",21.000000,69.737724,"Default Known Flow Node","Known Flow",480167.615814,97741.631806,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008412","Nodes","8412",21.000000,59.143446,"Default Known Flow Node","Known Flow",480896.436012,96087.166356,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008414","Nodes","8414",21.000000,60.219630,"Default Known Flow Node","Known Flow",480700.279959,96267.313405,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008418","Nodes","8418",21.000000,59.190205,"Default Known Flow Node","Known Flow",480873.022006,96101.303360,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008420","Nodes","8420",21.000000,59.175731,"Default Known Flow Node","Known Flow",480880.269008,96096.927359,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008467","Nodes","8467",21.000000,69.384891,"Default Known Flow Node","Known Flow",480650.705406,96760.621734,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008468","Nodes","8468",21.000000,69.384891,"Default Known Flow Node","Known Flow",480673.782952,96750.961537,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008470","Nodes","8470",21.000000,66.390529,"Default Known Flow Node","Known Flow",480638.089942,96557.569484,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008471","Nodes","8471",21.000000,66.390529,"Default Known Flow Node","Known Flow",480635.488941,96552.561483,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008477","Nodes","8477",21.000000,66.390529,"Default Known Flow Node","Known Flow",480634.356941,96550.577482,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008481","Nodes","8481",21.000000,66.897402,"Default Known Flow Node","Known Flow",480534.287914,96688.886520,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008482","Nodes","8482",21.000000,66.897402,"Default Known Flow Node","Known Flow",480523.487911,96707.134525,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008484","Nodes","8484",21.000000,67.367281,"Default Known Flow Node","Known Flow",480608.120934,96659.233512,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008488","Nodes","8488",21.000000,67.125534,"Default Known Flow Node","Known Flow",480594.110930,96629.509504,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008489","Nodes","8489",21.000000,67.513689,"Default Known Flow Node","Known Flow",480601.590932,96669.747515,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008508","Nodes","8508",21.000000,46.034810,"Default Known Flow Node","Known Flow",481189.890092,96307.305416,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
