"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"82009000000089","Nodes","89","21.000000","30.873338","DDS demands","Known Flow","460975.735549","87051.716006","","0.000000","","","","","-5.110000","","","-4.569453","-5.110000","","","","","","","D1 PROFILE","",""
"82009000000061","Nodes","61","21.000000","21.779796","DDS demands","Known Flow","460549.138476","87307.961967","","0.000000","","","","","-3.849999","","","-3.442738","-3.849999","","","","","","","D1 PROFILE","",""
"82009000000493","Nodes","-59","21.000000","25.928433","Default Known Flow Node","Known Flow","460579.594052","87031.011839","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000478","Nodes","-1462506","21.000000","25.963898","Default Known Flow Node","Known Flow","460579.643913","87029.924724","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000027","Nodes","27","21.000000","25.899696","DDS demands","Known Flow","460579.553652","87031.892657","","0.000000","","","","-12.029999","-7.489999","","","-17.455132","-19.519997","","","","","","C4 PROFILE","D1 PROFILE","",""
"82009000000028","Nodes","28","21.000000","26.059617","DDS demands","Known Flow","460580.778199","87028.785483","","0.000000","","","-2.619999","","-12.369999","","","-13.404326","-14.989998","","","","","C3 PROFILE","","D1 PROFILE","",""
"82009000000102","Nodes","102","21.000000","29.038447","DDS demands","Known Flow","460612.628493","87024.285890","","0.000000","-2.529999","","","","-0.850000","","","-3.022456","-3.380000","","","C1 PROFILE","","","","D1 PROFILE","",""
"82009000000101","Nodes","CSEP, P08119416, 7 New Road Brading, 8.77","22.999998","30.821424","CSEP DDS Matched","Known Flow","460682.487403","86979.826515","","0.000000","","","","","","-8.770000","","-7.842291","-8.770000","","","","","","","","DC PROFILE",""
"82009000000098","Nodes","98","21.000000","21.144276","DDS demands","Known Flow","460581.616484","87436.455002","","0.000000","","","","","-6.480000","","","-5.794532","-6.480000","","","","","","","D1 PROFILE","",""
"82009000000477","Nodes","-1462500","21.000000","21.764165","Default Known Flow Node","Known Flow","460631.167784","87419.362090","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000040","Nodes","40","21.000000","31.007198","Default Known Flow Node","Known Flow","460652.684504","87014.103887","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000492","Nodes","-52","21.000000","32.168642","Default Known Flow Node","Known Flow","460668.793633","87003.751778","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000092","Nodes","92","21.000000","32.974244","DDS demands","Known Flow","460687.612826","87015.325139","","0.000000","","","","","-2.190000","","","-1.958337","-2.190000","","","","","","","D1 PROFILE","",""
"82009000000091","Nodes","91","21.000000","32.783577","Default Known Flow Node","Known Flow","460687.889954","87009.655016","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000105","Nodes","105","21.000000","21.413958","DDS demands","Known Flow","460845.704556","87306.515967","","0.000000","-6.000000","","","","-8.630000","","","-13.082408","-14.630000","","","C1 PROFILE","","","","D1 PROFILE","",""
"82009000000065","Nodes","65","21.000000","21.409643","DDS demands","Known Flow","460905.721573","87277.839959","","0.000000","","","","","-6.429999","","","-5.749820","-6.429999","","","","","","","D1 PROFILE","",""
"82009000000047","Nodes","47","21.000000","31.079535","DDS demands","Known Flow","460930.015485","87107.211416","","0.000000","","","","","-3.059999","","","-2.736306","-3.059999","","","","","","","D1 PROFILE","",""
"82009000000475","Nodes","-1462478","21.000000","31.062470","Default Known Flow Node","Known Flow","460934.403540","87105.736902","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000082","Nodes","82","21.000000","31.061689","Default Known Flow Node","Known Flow","460935.212511","87105.475962","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000495","Nodes","-72","21.000000","31.029168","Default Known Flow Node","Known Flow","460951.167060","87100.492215","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000083","Nodes","83","21.000000","30.924061","DDS demands","Known Flow","461003.259599","87110.032914","","0.000000","","","","","-3.099999","","","-2.772075","-3.099999","","","","","","","D1 PROFILE","",""
"82009000000085","Nodes","85","21.000000","31.010490","DDS demands","Known Flow","460951.083585","87093.494909","","0.000000","","","","","-0.369999","","","-0.330860","-0.369999","","","","","","","D1 PROFILE","",""
"82009000000086","Nodes","86","21.000000","30.816836","DDS demands","Known Flow","460987.913583","87081.909230","","0.000000","","","","","-7.809999","","","-6.983841","-7.809999","","","","","","","D1 PROFILE","",""
"82009000000110","Nodes","110","21.000000","30.902790","DDS demands","Known Flow","460970.220590","87013.630887","","0.000000","","","","","-0.199999","","","-0.178843","-0.199999","","","","","","","D1 PROFILE","",""
"82009000000038","Nodes","38","21.000000","27.245786","DDS demands","Known Flow","460947.261730","86887.512975","","0.000000","","","","0.000000","-4.869999","","","-4.354840","-4.869999","","","","","","C4 PROFILE","D1 PROFILE","",""
"82009000000024","Nodes","24","21.000000","21.282514","Default Known Flow Node","Known Flow","461027.278606","87288.780962","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000494","Nodes","-68","21.000000","25.198663","Default Known Flow Node","Known Flow","460575.005052","87061.894690","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000044","Nodes","44","21.000000","31.685376","DDS demands","Known Flow","460833.302553","87113.524914","","0.000000","","","","","-0.410000","","","-0.366629","-0.410000","","","","","","","D1 PROFILE","",""
"82009000000045","Nodes","45","21.000000","31.685376","Default Known Flow Node","Known Flow","460835.464841","87089.342929","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000046","Nodes","46","21.000000","31.390443","DDS demands","Known Flow","460895.871570","87116.830915","","0.000000","","","","","-8.939999","","","-7.994307","-8.939999","","","","","","","D1 PROFILE","",""
"82009000000054","Nodes","54","21.000000","21.234200","DDS demands","Known Flow","460559.258478","88348.284250","","0.000000","","","","","-1.799999","","","-1.609592","-1.799999","","","","","","","D1 PROFILE","",""
"82009000000004","Nodes","Lower Furlongs DG","21.000000","33.999999","Default Known Pressure Node","Known Pressure","460681.198512","87033.563893","","2099.999985","","","","","","","","498.590558","557.571741","","","","","","","","",""
"82009000000100","Nodes","100","21.000000","32.850042","Default Known Flow Node","Known Flow","460687.706513","87013.520887","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000043","Nodes","43","21.000000","31.871230","DDS demands","Known Flow","460811.160547","87112.177914","","0.000000","","","","","-14.880000","","","-13.305963","-14.880000","","","","","","","D1 PROFILE","",""
"82009000000116","Nodes","116","21.000000","31.464128","Default Known Flow Node","Known Flow","460883.509567","87110.796914","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
