"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000900001044","Nodes","1044",21.000000,51.873284,"Default Known Flow Node","Known Flow",372518.812500,82841.726562,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900002083","Nodes","2083",21.000000,69.367195,"DDS demands","Known Flow",372439.781250,82664.382812,,0.000000,,,,,,,-11.310000,,,,,,,,,-10.113604,-11.310000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"820009-110708","Nodes","-110708",21.000000,33.870742,"Default Known Flow Node","Known Flow",368080.750000,78472.750000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900002815","Nodes","2815",21.000000,33.847816,"DDS demands","Known Flow",368055.500000,78444.398437,,0.000000,,,,,,,-2.099999,,,,,,,,,-1.877857,-2.099999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900001043","Nodes","1043",21.000000,42.163534,"Default Known Flow Node","Known Flow",367866.375000,79230.203125,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000480","Nodes","480",21.000000,42.225009,"DDS demands","Known Flow",367865.593750,79228.898437,,0.000000,-6.000000,,,,,,,,,,,,,,,-5.365307,-6.000000,,"","C1 PROFILE",,,,,,,,,,,,,,
"820009-294013","Nodes","-294013",21.000000,41.493978,"Default Known Flow Node","Known Flow",367873.500000,79262.882812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"820009-140049","Nodes","-140049",21.000000,41.493004,"Default Known Flow Node","Known Flow",367955.625000,79205.632812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900009007","Nodes","9007, P10123378, Rural Motors Plots 1-6 Putton Lane, -12.09 SCMHS",22.999998,47.974206,"CSEP Unmatched","Known Flow",364844.844689,80495.732769,,0.000000,,,,,,,,,,,,,,-12.090000,,-10.811094,-12.090000,,"",,,,,,,,,,,,,,"DC PROFILE",
"82000900009008","Nodes","9008",21.000000,49.838602,"Default Known Flow Node","Known Flow",364808.156250,80536.296875,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001042","Nodes","1042",21.000000,49.968404,"Default Known Flow Node","Known Flow",364808.156250,80540.242187,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000009","Nodes","Group Profile 1, PUTTON LANE DG, 3021",21.000000,50.000031,"Default Known Pressure Node","Known Pressure",364808.000000,80543.500000,,18839.999720,,,,,,,,,,,,,,,,1810.390578,2024.552093,,"",,,,,,,,,,,,,,,
"82000900001041","Nodes","1041",21.000000,44.698895,"Default Known Flow Node","Known Flow",367234.531250,81593.359375,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000236","Nodes","236",21.000000,42.984602,"DDS demands","Known Flow",367240.312500,81568.101562,,0.000000,,,,,,,-5.469999,,,,,,,,,-4.891371,-5.469999,,"",,,,,,,"D1 PROFILE",,,,,,,,
