"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82007700000194","Nodes","194",21.000000,33.828516,"DDS demands","Known Flow",472300.274731,110558.781246,,0.000000,,,,-3.430000,,,,,,-3.067167,-3.430000,,"",,,,"D1 PROFILE",,,,,
"82007700000131","Nodes","131",21.000000,33.634247,"DDS demands","Known Flow",472259.918662,110531.303287,,0.000000,,,,-6.579999,,,,,,-5.883953,-6.579999,,"",,,,"D1 PROFILE",,,,,
"82007700008011","Nodes","8011",21.000000,33.807173,"Default Known Flow Node","Known Flow",472278.042667,110569.767297,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000088","Nodes","88",21.000000,42.305146,"DDS demands","Known Flow",473036.638874,110538.111288,,0.000000,,,,-19.130000,,,,,,-17.106388,-19.130000,,"",,,,"D1 PROFILE",,,,,
"82007700000097","Nodes","97",21.000000,41.375022,"Default Known Flow Node","Known Flow",473083.943152,110663.909088,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000099","Nodes","99",21.000000,42.451164,"DDS demands","Known Flow",473103.475324,110623.651214,,0.000000,-1.669999,,,-5.219999,,,,,,-6.161160,-6.889999,,"","C1 PROFILE",,,"D1 PROFILE",,,,,
"82007700008023","Nodes","8023",21.000000,33.778921,"Default Known Flow Node","Known Flow",473077.200885,110937.372397,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008024","Nodes","8024",21.000000,35.433011,"Default Known Flow Node","Known Flow",473248.428036,110803.680440,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000129","Nodes","129",21.000000,39.240531,"DDS demands","Known Flow",473385.553937,110695.074459,,0.000000,,,,-2.130000,,,,,,-1.904684,-2.130000,,"",,,,"D1 PROFILE",,,,,
"82007700008025","Nodes","8025",21.000000,39.125721,"Default Known Flow Node","Known Flow",473385.434413,110697.838062,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000010","Nodes","10",21.000000,29.516512,"Default Known Flow Node","Known Flow",473073.231850,111239.759745,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
