"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82006300000755","Nodes","755","21.000000","34.657173","Default Known Flow Node","Known Flow","433712.422259","87966.331644","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000094","Nodes","94","21.000000","34.785355","DDS demands","Known Flow","433767.165073","87972.737140","","0.000000","-2.619999","","","","","","-1.090000","","-1.249999","","-4.435320","-4.959999","","","C1 PROFILE","","","","","","D1 PROFILE","","I2 PROFILE",""
"82006300000093","Nodes","93","21.000000","34.798440","Default Known Flow Node","Known Flow","433715.516077","88132.948767","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000478","Nodes","478","21.000000","31.181299","DDS demands","Known Flow","433955.234700","88194.393002","","0.000000","","","","","","","-3.970000","","","","-3.550045","-3.970000","","","","","","","","","D1 PROFILE","","",""
"82006300000702","Nodes","702","21.000000","34.682307","Default Known Flow Node","Known Flow","433729.855417","88134.988190","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000494","Nodes","494","21.000000","29.794584","DDS demands","Known Flow","433315.248065","87285.524961","","0.000000","","","","","","","-8.109999","","","","-7.252106","-8.109999","","","","","","","","","D1 PROFILE","","",""
"82006300008002","Nodes","Logger 2617, The Avenue","21.000000","28.928690","Val Log Cath","Known Flow","433146.755064","87264.717319","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000382","Nodes","382","21.000000","28.873969","DDS demands","Known Flow","433134.794455","87263.760470","","0.000000","","","","","","","-19.040001","","","","-17.025910","-19.040001","","","","","","","","","D1 PROFILE","","",""
"82006300000126","Nodes","126","21.000000","25.979420","DDS demands","Known Flow","432889.001462","87392.320530","","0.000000","","","","","","","-11.910000","","","","-10.650135","-11.910000","","","","","","","","","D1 PROFILE","","",""
"82006300000660","Nodes","660","21.000000","37.908072","DDS demands","Known Flow","434449.773896","86237.780131","","0.000000","","","","","","","-6.560000","","","","-5.866069","-6.560000","","","","","","","","","D1 PROFILE","","",""
"82006300000631","Nodes","631","21.000000","29.084894","Default Known Flow Node","Known Flow","433638.076569","86892.834326","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000689","Nodes","689","21.000000","32.817015","Default Known Flow Node","Known Flow","432238.003177","86838.610903","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000673","Nodes","673","21.000000","32.533673","DDS demands","Known Flow","432331.957747","86979.068203","","0.000000","","","","","","","-6.300000","","","","-5.633573","-6.300000","","","","","","","","","D1 PROFILE","","",""
"82006300000723","Nodes","723","21.000000","29.694861","DDS demands","Known Flow","432807.979670","87312.434313","","0.000000","","","","","","","-9.229999","","","","-8.253630","-9.229999","","","","","","","","","D1 PROFILE","","",""
"82006300000398","Nodes","398","21.000000","30.231346","DDS demands","Known Flow","433207.543951","88381.170734","","0.000000","","","","","","","-0.629999","","","","-0.563357","-0.629999","","","","","","","","","D1 PROFILE","","",""
"82006300000107","Nodes","107","21.000000","30.591696","DDS demands","Known Flow","433300.509109","87985.366194","","0.000000","","","","","","","-15.590000","","","","-13.940857","-15.590000","","","","","","","","","D1 PROFILE","","",""
"82006300000227","Nodes","227","21.000000","30.374321","DDS demands","Known Flow","433207.630396","88195.922087","","0.000000","","","","","","","-0.009999","","","","-0.008942","-0.009999","","","","","","","","","D1 PROFILE","","",""
"82006300000391","Nodes","391","21.000000","30.373283","DDS demands","Known Flow","433281.627991","88400.841615","","0.000000","","","","","","","-0.620000","","","","-0.554415","-0.620000","","","","","","","","","D1 PROFILE","","",""
"82006300000343","Nodes","343","21.000000","30.472133","DDS demands","Known Flow","433345.843655","88518.206846","","0.000000","","","","","","","-0.449999","","","","-0.402398","-0.449999","","","","","","","","","D1 PROFILE","","",""
"82006300000385","Nodes","385","21.000000","30.383419","DDS demands","Known Flow","433317.584269","88553.369236","","0.000000","","","","","","","-1.159999","","","","-1.037292","-1.159999","","","","","","","","","D1 PROFILE","","",""
"82006300000219","Nodes","219","21.000000","35.519152","DDS demands","Known Flow","434182.757149","89599.120111","","0.000000","","","","","","","-4.619999","","","","-4.131286","-4.619999","","","","","","","","","D1 PROFILE","","",""
"82006300000606","Nodes","606","21.000000","34.851030","DDS demands","Known Flow","434741.274549","89450.600324","","0.000000","","","","","","","-0.869999","","","","-0.777969","-0.869999","","","","","","","","","D1 PROFILE","","",""
"82006300000360","Nodes","360","21.000000","34.823237","DDS demands","Known Flow","433720.388395","88139.193873","","0.000000","-6.000000","","","","","","-0.980000","","","","-6.241641","-6.979999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"82006300000294","Nodes","294","21.000000","37.913809","DDS demands","Known Flow","434170.762909","88783.163435","","0.000000","","","","","","","-8.669999","","","","-7.752868","-8.669999","","","","","","","","","D1 PROFILE","","",""
"82006300000329","Nodes","329","21.000000","27.892119","DDS demands","Known Flow","435494.862991","89568.099893","","0.000000","","-13.120000","","","","","-8.279999","","","","-19.136264","-21.400000","","","","C2 PROFILE","","","","","D1 PROFILE","","",""
"82006300000721","Nodes","721","21.000000","34.844196","DDS demands","Known Flow","432444.166905","86738.266520","","0.000000","","-24.999999","","","","","-2.559999","","","","-24.644645","-27.560000","","","","C2 PROFILE","","","","","D1 PROFILE","","",""
"82006300000461","Nodes","461","21.000000","29.013991","DDS demands","Known Flow","433068.732042","86756.159055","","0.000000","","","","","","","-2.460000","","","","-2.199776","-2.460000","","","","","","","","","D1 PROFILE","","",""
"82006300000459","Nodes","459","21.000000","29.022864","DDS demands","Known Flow","433073.416820","86750.558455","","0.000000","","","","","","","-5.339999","","","","-4.775123","-5.339999","","","","","","","","","D1 PROFILE","","",""
"82006300010773","Nodes","10773","21.000000","29.371955","Default Known Flow Node","Known Flow","432953.005388","86750.425538","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000732","Nodes","732","21.000000","29.048678","DDS demands","Known Flow","432945.589964","86663.769792","","0.000000","","","","","","","-1.739999","","","","-1.555939","-1.739999","","","","","","","","","D1 PROFILE","","",""
"82006300000322","Nodes","322","21.000000","29.113741","DDS demands","Known Flow","433144.961206","86783.537560","","0.000000","","","-0.070000","","","","-3.069999","","","","-2.807844","-3.139999","","","","","C3 PROFILE","","","","D1 PROFILE","","",""
"82006300010692","Nodes","10692","21.000000","29.563820","Default Known Flow Node","Known Flow","433259.794700","87003.971691","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000090","Nodes","90","21.000000","33.903551","DDS demands","Known Flow","433532.578124","88044.865168","","0.000000","","","-0.769999","","","","","","","","-0.688547","-0.769999","","","","","C3 PROFILE","","","","","","",""
"82006300000226","Nodes","226","21.000000","34.315606","Default Known Flow Node","Known Flow","433571.823903","87913.701341","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
