"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82012300008511","Nodes","-210870",21.000000,29.405120,"Default Known Flow Node","Known Flow",378691.739125,114779.046416,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000348","Nodes","348",21.000000,29.230104,"DDS demands","Known Flow",378659.246664,114771.433612,,0.000000,,,,,,-8.350000,,,,-7.466719,-8.350000,,"",,,,,,"D1 PROFILE",,,
"82012300008000","Nodes","Logger 3333, Short Edge",21.000000,21.840743,"Val Log Post","Known Flow",379167.000000,114759.000000,,0.000000,,,,,,-2.160000,,,,-1.931510,-2.160000,,"",,,,,,"D1 PROFILE",,,
"82012300000098","Nodes","98",21.000000,21.896930,"DDS demands","Known Flow",379191.494337,114758.183437,,0.000000,,,,,,-3.370000,,,,-3.013514,-3.370000,,"",,,,,,"D1 PROFILE",,,
"82012300008503","Nodes","-179",21.000000,32.693219,"Default Known Flow Node","Known Flow",379106.744314,114383.683335,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000102","Nodes","102",21.000000,32.711109,"DDS demands","Known Flow",379124.994319,114390.558337,,0.000000,,,,,,-3.800000,,,,-3.398028,-3.800000,,"",,,,,,"D1 PROFILE",,,
"82012300000068","Nodes","68",21.000000,31.302637,"DDS demands","Known Flow",379293.369365,114572.183386,,0.000000,,,,,,-12.319999,,,,-11.016764,-12.319999,,"",,,,,,"D1 PROFILE",,,
"82012300000033","Nodes","33",21.000000,32.849123,"DDS demands","Known Flow",378574.119169,114178.933279,,0.000000,,,,,,-4.730000,,,,-4.229650,-4.730000,,"",,,,,,"D1 PROFILE",,,
"82012300008464","Nodes","-1291384",21.000000,31.760760,"Default Known Flow Node","Known Flow",379146.994325,114522.058373,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300001006","Nodes","1006",21.000000,31.730908,"DDS demands","Known Flow",379147.119325,114519.808372,,0.000000,,,,,,-4.810000,,,,-4.301188,-4.810000,,"",,,,,,"D1 PROFILE",,,
