"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82010500000053","Nodes","53",21.000000,35.524100,"DDS demands","Known Flow",458936.016037,84192.175120,,0.000000,,,,,,,-0.799999,,,,,,,-0.715374,-0.799999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500001294","Nodes","1294",21.000000,26.352516,"DDS demands","Known Flow",459266.016126,84051.300081,,0.000000,,,-26.600000,,,,,,,,,,,-23.786197,-26.600000,,"",,,"C3  PROFILE",,,,,,,,,,
"82010500001006","Nodes","1006",21.000000,24.501717,"DDS demands","Known Flow",459321.391142,84134.675104,,0.000000,,,,,,,-8.430000,,,,,,,-7.538257,-8.430000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013288","Nodes","13288",21.000000,22.802477,"Default Known Flow Node","Known Flow",459362.016153,84408.300178,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000239","Nodes","239",21.000000,22.802477,"DDS demands","Known Flow",459344.352076,84397.790619,,0.000000,,,,,,,-36.750000,,,,,,,-32.862508,-36.750000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000233","Nodes","233",21.000000,27.976172,"DDS demands","Known Flow",459394.516161,84477.925197,,0.000000,,,,-1.440000,,,-3.759999,,,,,,,-4.649933,-5.200000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82010500000052","Nodes","52",21.000000,41.115714,"DDS demands","Known Flow",459021.516060,84392.800174,,0.000000,,,,,,,-3.790000,,,,,,,-3.389085,-3.790000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013318","Nodes","13318",21.000000,33.859564,"Default Known Flow Node","Known Flow",459100.391081,84197.800121,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000857","Nodes","857",21.000000,22.908782,"DDS demands","Known Flow",459331.141144,84469.800195,,0.000000,-6.000000,,,,,,,,,,,,,-5.365307,-6.000000,,"","C1 PROFILE",,,,,,,,,,,,
"82010500000236","Nodes","236",21.000000,25.996442,"DDS demands","Known Flow",459440.017400,84357.299973,,0.000000,,,-13.340000,-3.029999,,,-5.789999,,,,,,,-19.815868,-22.159998,,"",,,"C3  PROFILE","C4 PROFILE",,,"D1 PROFILE",,,,,,
"82010500000737","Nodes","737",21.000000,24.402721,"DDS demands","Known Flow",459408.641165,84247.425135,,0.000000,,,-1.999999,,,,-11.019999,,,,,,,-11.642716,-13.019999,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82010500000234","Nodes","234",21.000000,25.899464,"Default Known Flow Node","Known Flow",459448.141176,84438.675187,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000623","Nodes","623",21.000000,25.947904,"DDS demands","Known Flow",459452.891177,84437.300186,,0.000000,,,,,,,-27.569998,,,,,,,-24.653586,-27.569998,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000051","Nodes","51",21.000000,41.768750,"Default Known Flow Node","Known Flow",459008.881029,84258.020875,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013325","Nodes","13325",21.000000,25.899464,"Default Known Flow Node","Known Flow",459447.891176,84450.550190,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013274","Nodes","13274",21.000000,31.065195,"Default Known Flow Node","Known Flow",459535.016200,84002.550068,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000198","Nodes","198",21.000000,31.163427,"DDS demands","Known Flow",459585.121721,84004.348924,,0.000000,,,-17.950000,,,,-18.549999,,,,,,,-32.638953,-36.499999,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82010500000197","Nodes","197",21.000000,31.332060,"DDS demands","Known Flow",459603.133818,84015.420439,,0.000000,,,,,,,-10.880000,,,,,,,-9.729090,-10.880000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500008511","Nodes","8511",21.000000,29.532595,"Default Known Flow Node","Known Flow",459537.016200,84162.425111,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000206","Nodes","206",21.000000,29.532595,"DDS demands","Known Flow",459538.141200,84162.175111,,0.000000,,-12.510000,,-3.400000,,,-4.670000,,,,,,,-18.403004,-20.579999,,"",,"C2 PROFILE",,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"82010500001229","Nodes","1229",21.000000,31.146643,"Default Known Flow Node","Known Flow",459579.766212,84044.800079,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000862","Nodes","862",21.000000,29.919249,"DDS demands","Known Flow",459684.016240,84284.550145,,0.000000,,,,-0.469999,,,-11.130000,,,,,,,-10.372928,-11.600000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
