"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82110200004446","Nodes","4446",21.000000,36.051657,"Default Known Flow Node","Known Flow",442832.187500,111934.320312,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200002014","Nodes","2014",21.000000,35.633111,"Default Known Flow Node","Known Flow",442840.500000,111839.382812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200197654","Nodes","197654",21.000000,36.064027,"Default Known Flow Node","Known Flow",442775.250000,111935.000000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001498","Nodes","1498",21.000000,36.924227,"Default Known Flow Node","Known Flow",442865.500000,112138.632812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200011139","Nodes","11139",21.000000,29.063099,"Default Known Flow Node","Known Flow",439928.468750,115233.937500,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200011138","Nodes","11138, 41759/01, 250 Coxford Road, 15.97",24.000000,28.962892,"CSEP DDS Matched","Known Flow",439925.468750,115228.398437,,0.000000,,,,,,,,-15.959999,,,,,,,,-14.271717,-15.959999,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200010378","Nodes","10378",21.000000,28.993005,"DDS demands","Known Flow",439918.593750,115236.500000,,0.000000,,,,,,,-5.310000,,,,,,,,,-4.748297,-5.310000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"82110200106766","Nodes","106766",21.000000,29.180781,"Default Known Flow Node","Known Flow",439951.375000,115248.500000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001550","Nodes","1550",21.000000,32.891754,"DDS demands","Known Flow",442844.375000,111450.750000,,0.000000,0.000000,,,,,,-5.310000,,,,-15.220000,,,,,-18.358293,-20.529999,,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,"I2 PROFILE",,,,,
"82110200001429","Nodes","1429",21.000000,32.407344,"Default Known Flow Node","Known Flow",442843.406250,111442.250000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200003495","Nodes","3495",21.000000,31.381757,"Default Known Flow Node","Known Flow",442841.375000,111424.250000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200096023","Nodes","96023",21.000000,34.120470,"Default Known Flow Node","Known Flow",442894.343750,111442.523437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001548","Nodes","1548",21.000000,32.926632,"Default Known Flow Node","Known Flow",442842.750000,111451.000000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001372","Nodes","1372",21.000000,49.807501,"Default Known Flow Node","Known Flow",440633.781250,118198.203125,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001411","Nodes","1411",21.000000,51.050226,"DDS demands","Known Flow",440390.500000,118250.226562,,0.000000,-3.319999,-37.779999,,,,,-8.899999,,,,,,,,,-44.710895,-49.999998,,,"","C1 PROFILE","C2 PROFILE",,,,,"D1 PROFILE",,,,,,,,,
"82110200001417","Nodes","1417, P07115865/1, Bentham Campus, Chilworth Rd",31.000000,49.827346,"CSEP Unmatched","Known Flow",440342.187500,118238.312500,,0.000000,,,,,-153.689995,,,,,,,,,,,-137.432345,-153.689995,,,"",,,,,"CC PROFILE",,,,,,,,,,,
"82110200001405","Nodes","1405",21.000000,50.195738,"DDS demands","Known Flow",440461.281250,118100.679687,,0.000000,,-18.389999,,,,,,,,,,,,,,-16.444666,-18.389999,,,"",,"C2 PROFILE",,,,,,,,,,,,,,
"82110200001408","Nodes","1408",21.000000,50.342603,"DDS demands","Known Flow",440449.312500,118144.296875,,0.000000,-16.509999,-37.650001,,,,,,,,,,,,,,-48.430843,-54.160002,,,"","C1 PROFILE","C2 PROFILE",,,,,,,,,,,,,,
"82110200001404","Nodes","1404",21.000000,49.165566,"DDS demands","Known Flow",440650.625000,118087.851562,,0.000000,-19.329999,,,,,,,,,,,,,,,-17.285231,-19.329999,,,"","C1 PROFILE",,,,,,,,,,,,,,,
"82110200001393","Nodes","1393",21.000000,49.265355,"Default Known Flow Node","Known Flow",440662.093750,118130.007812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001391","Nodes","1391",21.000000,49.500025,"Default Known Flow Node","Known Flow",440633.218750,118167.093750,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001418","Nodes","1418",21.000000,49.608362,"Default Known Flow Node","Known Flow",440633.218750,118189.570312,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001381","Nodes","1381",21.000000,46.772347,"DDS demands","Known Flow",440660.968750,118205.429687,,0.000000,-44.049997,,,,,,,,,,,,,,,-39.390297,-44.049997,,,"","C1 PROFILE",,,,,,,,,,,,,,,
