"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"820023-43020","Nodes","-43020","21.000000","22.950424","Default Known Flow Node","Known Flow","478259.146295","127356.561865","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000433","Nodes","433","21.000000","22.939838","Default Known Flow Node","Known Flow","478337.146316","127364.061867","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000570","Nodes","570","21.000000","22.780205","DDS demands","Known Flow","478473.771353","127416.311881","","0.000000","","","","-26.080000","","","","","","","-23.321203","-26.080000","","","","","","D1 PROFILE","","","","","",""
"82002300000140","Nodes","140","21.000000","28.104377","DDS demands","Known Flow","478038.646802","127151.814149","","0.000000","","","","-1.299999","","","","","","","-1.162483","-1.299999","","","","","","D1 PROFILE","","","","","",""
"82002300000460","Nodes","460","21.000000","31.430937","DDS demands","Known Flow","477546.146101","127443.811889","","0.000000","","","","-6.550000","","","","","","","-5.857127","-6.550000","","","","","","D1 PROFILE","","","","","",""
"82002300000406","Nodes","406","21.000000","31.698293","DDS demands","Known Flow","477603.521116","127515.561908","","0.000000","","","","-4.610000","","","","","","","-4.122344","-4.610000","","","","","","D1 PROFILE","","","","","",""
"82002300000459","Nodes","459","21.000000","37.851598","DDS demands","Known Flow","477576.271109","127590.811929","","0.000000","","","","-0.810000","","","","","","","-0.724316","-0.810000","","","","","","D1 PROFILE","","","","","",""
"82002300000104","Nodes","104","21.000000","37.942264","Default Known Flow Node","Known Flow","477535.771098","127674.311951","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000405","Nodes","405","21.000000","31.738359","DDS demands","Known Flow","477653.021130","127505.186905","","0.000000","","","","-5.440000","","","","","","","-4.864545","-5.440000","","","","","","D1 PROFILE","","","","","",""
"82002300000404","Nodes","404","21.000000","31.858976","Default Known Flow Node","Known Flow","477687.271139","127511.061907","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-42977","Nodes","-42977","21.000000","29.290143","Default Known Flow Node","Known Flow","477981.146219","127561.811921","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-42974","Nodes","-42974","21.000000","29.292496","Default Known Flow Node","Known Flow","477963.271214","127628.561939","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000069","Nodes","69","21.000000","45.451473","DDS demands","Known Flow","477536.456869","127948.349768","","0.000000","","-14.649999","","","","","","","","","-13.100292","-14.649999","","","","C2 PROFILE","","","","","","","",""
"82002300000450","Nodes","450, CSEP 117-119 P07115594/1 STATION RD","22.999998","47.128135","CSEP Unmatched","Known Flow","477514.396092","127987.062036","","0.000000","","","","-10.010000","-13.850000","","","","","","-21.336040","-23.860001","","","","","","D1 PROFILE","DC PROFILE","","","","",""
"82002300000301","Nodes","301","21.000000","44.326287","DDS demands","Known Flow","477553.646103","127920.312018","","0.000000","","","","-6.789999","","","","","","","-6.071739","-6.789999","","","","","","D1 PROFILE","","","","","",""
"82002300000408","Nodes","408","21.000000","31.564287","DDS demands","Known Flow","477599.896115","127537.311914","","0.000000","","","","-6.910000","","","","","","","-6.179045","-6.910000","","","","","","D1 PROFILE","","","","","",""
"82002300000407","Nodes","407","21.000000","31.707075","DDS demands","Known Flow","477652.896130","127511.311907","","0.000000","","","","-2.939999","","","","","","","-2.629000","-2.939999","","","","","","D1 PROFILE","","","","","",""
"820023-42925","Nodes","-42925","21.000000","31.707075","Default Known Flow Node","Known Flow","477657.271131","127511.561907","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000432","Nodes","432","21.000000","32.026509","Default Known Flow Node","Known Flow","477707.771145","127503.061905","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000308","Nodes","308","21.000000","38.201333","DDS demands","Known Flow","477710.021145","127835.811995","","0.000000","","","","-11.119999","","","","","","","-9.943702","-11.119999","","","","","","D1 PROFILE","","","","","",""
"820023-42934","Nodes","-42934","21.000000","38.201333","Default Known Flow Node","Known Flow","477723.271149","127850.311999","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000136","Nodes","136","21.000000","32.190197","Default Known Flow Node","Known Flow","477765.271160","127542.061915","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000137","Nodes","137","21.000000","32.233672","Default Known Flow Node","Known Flow","477740.896154","127618.811936","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000311","Nodes","311","21.000000","33.370150","Default Known Flow Node","Known Flow","477786.771166","127631.311940","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000461","Nodes","461","21.000000","33.630322","DDS demands","Known Flow","477782.771165","127632.311940","","0.000000","-1.940000","","-3.469999","-5.070000","","","","","","","-9.371403","-10.480000","","","C1 PROFILE","","C4 PROFILE","D1 PROFILE","","","","","",""
"82002300000328","Nodes","328","21.000000","31.020828","DDS demands","Known Flow","477867.771188","127645.811944","","0.000000","","","","-8.220000","","","","","","","-7.350471","-8.220000","","","","","","D1 PROFILE","","","","","",""
"820023-123316","Nodes","-123316","21.000000","31.019778","Default Known Flow Node","Known Flow","477869.271189","127646.561944","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-123317","Nodes","-123317","21.000000","30.757563","Default Known Flow Node","Known Flow","477871.896189","127632.061940","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000105","Nodes","105","21.000000","37.931460","DDS demands","Known Flow","477517.271093","127717.061963","","0.000000","","","","-2.339999","","","","","","","-2.092469","-2.339999","","","","","","D1 PROFILE","","","","","",""
"82002300000106","Nodes","106","21.000000","37.974857","DDS demands","Known Flow","477504.021089","127752.311973","","0.000000","","","","-4.010000","","","","","","","-3.585814","-4.010000","","","","","","D1 PROFILE","","","","","",""
"82002300000124","Nodes","124","21.000000","30.720498","DDS demands","Known Flow","477900.771197","127584.561927","","0.000000","","","","-4.110000","","","","","","","-3.675235","-4.110000","","","","","","D1 PROFILE","","","","","",""
"820023-307507","Nodes","-307507","21.000000","30.716693","Default Known Flow Node","Known Flow","477903.271198","127577.311925","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43034","Nodes","-43034","21.000000","29.270360","Default Known Flow Node","Known Flow","478001.146224","127551.061918","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43038","Nodes","-43038","21.000000","29.265297","Default Known Flow Node","Known Flow","478004.271225","127559.811920","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43047","Nodes","-43047","21.000000","29.198730","Default Known Flow Node","Known Flow","478056.771240","127560.811920","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43049","Nodes","-43049","21.000000","31.228473","Default Known Flow Node","Known Flow","478066.774541","127958.503977","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43042","Nodes","-43042","21.000000","31.141294","Default Known Flow Node","Known Flow","478022.271230","127987.562037","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000353","Nodes","353","21.000000","26.819720","DDS demands","Known Flow","478162.771268","127759.061974","","0.000000","","","","-2.209999","","","","","","","-1.976221","-2.209999","","","","","","D1 PROFILE","","","","","",""
"82002300000414","Nodes","414","21.000000","26.819722","DDS demands","Known Flow","478158.021267","127746.311971","","0.000000","","","","-7.170000","","","","","","","-6.411542","-7.170000","","","","","","D1 PROFILE","","","","","",""
"82002300000359","Nodes","359","21.000000","26.956649","DDS demands","Known Flow","478176.646272","127863.812003","","0.000000","","","","-4.210000","","","","","","","-3.764657","-4.210000","","","","","","D1 PROFILE","","","","","",""
"820023-43074","Nodes","-43074","21.000000","27.037222","Default Known Flow Node","Known Flow","478193.271277","127861.812002","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43035","Nodes","-43035","21.000000","29.270360","Default Known Flow Node","Known Flow","478001.771225","127532.311913","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000354","Nodes","354","21.000000","26.822346","DDS demands","Known Flow","478165.896269","127804.811987","","0.000000","","","","-5.919999","","","","","","","-5.293770","-5.919999","","","","","","D1 PROFILE","","","","","",""
"82002300000358","Nodes","358","21.000000","26.867475","DDS demands","Known Flow","478176.646272","127834.561995","","0.000000","","","","-4.790000","","","","","","","-4.283303","-4.790000","","","","","","D1 PROFILE","","","","","",""
"82002300000360","Nodes","360","21.000000","26.981792","DDS demands","Known Flow","478150.896265","127866.312004","","0.000000","","","","-3.219999","","","","","","","-2.879381","-3.219999","","","","","","D1 PROFILE","","","","","",""
"82002300000362","Nodes","362","21.000000","27.257953","DDS demands","Known Flow","478237.271289","127874.812006","","0.000000","","","","-9.379999","","","","","","","-8.387763","-9.379999","","","","","","D1 PROFILE","","","","","",""
"820023-43080","Nodes","-43080","21.000000","27.268633","Default Known Flow Node","Known Flow","478263.140306","127869.777146","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43077","Nodes","-43077","21.000000","26.933991","Default Known Flow Node","Known Flow","478238.896289","127741.311970","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43088","Nodes","-43088","21.000000","27.243742","Default Known Flow Node","Known Flow","478317.646311","127871.062005","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-43082","Nodes","-43082","21.000000","27.005777","Default Known Flow Node","Known Flow","478282.146301","127761.061975","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000552","Nodes","552","21.000000","27.247093","DDS demands","Known Flow","478324.396312","127878.312007","","0.000000","","","","-6.079999","","","","","","","-5.436844","-6.079999","","","","","","D1 PROFILE","","","","","",""
"820023-43109","Nodes","-43109","21.000000","27.145360","Default Known Flow Node","Known Flow","478385.896329","127815.061990","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000555","Nodes","555","21.000000","27.063172","DDS demands","Known Flow","478410.771336","127797.061985","","0.000000","","","","-9.270000","","","","","","","-8.289400","-9.270000","","","","","","D1 PROFILE","","","","","",""
"820023-43116","Nodes","-43116","21.000000","23.031447","Default Known Flow Node","Known Flow","478476.021354","127505.061905","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000091","Nodes","91","21.000000","23.383224","DDS demands","Known Flow","478349.264216","127540.021933","","0.000000","","","","-13.959999","","","","","","","-12.483281","-13.959999","","","","","","D1 PROFILE","","","","","",""
"82002300000562","Nodes","562","21.000000","20.460320","DDS demands","Known Flow","478675.302308","127641.796492","","0.000000","","","","-6.329999","","","","","","","-5.660399","-6.329999","","","","","","D1 PROFILE","","","","","",""
"820023-43317","Nodes","-43317","21.000000","20.326540","Default Known Flow Node","Known Flow","478674.271408","127642.311943","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000560","Nodes","560","21.000000","21.127823","DDS demands","Known Flow","478786.146438","127611.561934","","0.000000","","","","-7.050000","","","","","","","-6.304236","-7.050000","","","","","","D1 PROFILE","","","","","",""
"82002300000561","Nodes","561","21.000000","21.089016","DDS demands","Known Flow","478804.271443","127666.561949","","0.000000","","","","-4.210000","","","","","","","-3.764657","-4.210000","","","","","","D1 PROFILE","","","","","",""
"82002300000559","Nodes","559","21.000000","21.906055","DDS demands","Known Flow","478874.771462","127675.561952","","0.000000","","","","-1.490000","","","","","","","-1.332384","-1.490000","","","","","","D1 PROFILE","","","","","",""
"820023-43325","Nodes","-43325","21.000000","21.995126","Default Known Flow Node","Known Flow","478881.771464","127662.561948","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000453","Nodes","453","21.000000","41.937802","DDS demands","Known Flow","477387.896058","128113.312071","","0.000000","","","","-3.240000","","","","","","","-2.897266","-3.240000","","","","","","D1 PROFILE","","","","","",""
"82002300000067","Nodes","67","21.000000","41.949580","Default Known Flow Node","Known Flow","477391.596704","128098.041935","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
