"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000800001019","Nodes","1019","21.000000","33.625054","DDS demands","Known Flow","402861.875778","101173.804740","","0.000000","","-25.010000","","","-0.280000","","","","","","-22.614770","-25.289999","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"82000800001569","Nodes","1569","21.000000","33.720538","Default Known Flow Node","Known Flow","402869.250780","101150.054734","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001417","Nodes","1417","21.000000","26.609154","Default Known Flow Node","Known Flow","403443.249466","101358.554621","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001222","Nodes","1222","21.000000","24.935684","DDS demands","Known Flow","403328.000905","101444.304814","","0.000000","","","","","-22.659999","","","","","","-20.262976","-22.659999","","","","","","","D1 PROFILE","","","","",""
"82000800001219","Nodes","1219","21.000000","26.632238","DDS demands","Known Flow","403446.375937","101358.804791","","0.000000","","","","","-20.300000","","","","","","-18.152622","-20.300000","","","","","","","D1 PROFILE","","","","",""
"82000800001220","Nodes","1220","21.000000","26.273205","DDS demands","Known Flow","403447.375938","101463.554819","","0.000000","","","","","-5.879999","","","","","","-5.258001","-5.879999","","","","","","","D1 PROFILE","","","","",""
"82000800000182","Nodes","182","21.000000","25.693045","DDS demands","Known Flow","403176.102560","101087.553376","","0.000000","","","","","-9.189999","","","","","","-8.217862","-9.189999","","","","","","","D1 PROFILE","","","","",""
"82000800001416","Nodes","1416","21.000000","25.693045","Default Known Flow Node","Known Flow","403176.375864","101082.804716","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000185","Nodes","185","21.000000","25.170198","DDS demands","Known Flow","403208.625873","101242.054759","","0.000000","","-39.749998","","","-6.730000","","","","","","-41.563247","-46.480000","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"82000800000184","Nodes","184","21.000000","25.226347","DDS demands","Known Flow","403216.875875","101151.054734","","0.000000","-2.570000","","","","-12.000000","","","","","","-13.028754","-14.570000","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"82000800000300","Nodes","300","21.000000","24.885300","DDS demands","Known Flow","403264.750888","101366.554793","","0.000000","","","","","-2.809999","","","","","","-2.512752","-2.809999","","","","","","","D1 PROFILE","","","","",""
"82000800001221","Nodes","1221","21.000000","24.794848","DDS demands","Known Flow","403303.750898","101430.054810","","0.000000","","","","","-3.489999","","","","","","-3.120820","-3.489999","","","","","","","D1 PROFILE","","","","",""
"82000800001418","Nodes","1418","21.000000","31.000015","Default Known Flow Node","Known Flow","403475.999863","101142.050031","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000958","Nodes","958","21.000000","31.574438","DDS demands","Known Flow","403470.875944","101119.804726","","0.000000","","","","","-5.150000","","","","","","-4.605222","-5.150000","","","","","","","D1 PROFILE","","","","",""
"82000800001218","Nodes","1218","21.000000","27.374790","DDS demands","Known Flow","403500.500952","101359.554791","","0.000000","","","","","-10.899999","","","","","","-9.746974","-10.899999","","","","","","","D1 PROFILE","","","","",""
"82000800000560","Nodes","560","21.000000","28.337517","DDS demands","Known Flow","403501.250952","101302.304775","","0.000000","","","","","-4.889999","","","","","","-4.372725","-4.889999","","","","","","","D1 PROFILE","","","","",""
"82000800000191","Nodes","191","21.000000","28.818882","DDS demands","Known Flow","403497.250951","101278.054769","","0.000000","","","","","-18.059999","","","","","","-16.149575","-18.059999","","","","","","","D1 PROFILE","","","","",""
"82000800000561","Nodes","561","21.000000","27.539035","DDS demands","Known Flow","403559.375968","101315.554779","","0.000000","","","","","-6.199999","","","","","","-5.544150","-6.199999","","","","","","","D1 PROFILE","","","","",""
"82000800000686","Nodes","686","21.000000","26.054184","DDS demands","Known Flow","403521.330445","101465.312131","","0.000000","","","","","-8.300000","","","","","","-7.422008","-8.300000","","","","","","","D1 PROFILE","","","","",""
"82000800000452","Nodes","452","21.000000","31.452900","DDS demands","Known Flow","403534.625961","101095.304719","","0.000000","","","","","-9.209999","","","","","","-8.235746","-9.209999","","","","","","","D1 PROFILE","","","","",""
"82000800000187","Nodes","187","21.000000","31.539533","DDS demands","Known Flow","403483.625947","101096.054719","","0.000000","","","","","-1.220000","","","","","","-1.090945","-1.220000","","","","","","","D1 PROFILE","","","","",""
"82000800000563","Nodes","563","21.000000","27.076851","DDS demands","Known Flow","403590.125976","101343.804787","","0.000000","","","","","-1.169999","","","","","","-1.046234","-1.169999","","","","","","","D1 PROFILE","","","","",""
"82000800000453","Nodes","453","21.000000","31.628380","DDS demands","Known Flow","403588.250976","101104.054721","","0.000000","","","","","-8.960000","","","","","","-8.012192","-8.960000","","","","","","","D1 PROFILE","","","","",""
"82000800001420","Nodes","1420","21.000000","31.565121","Default Known Flow Node","Known Flow","403603.875980","101101.304721","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000564","Nodes","564","21.000000","25.820050","DDS demands","Known Flow","403608.750981","101354.054789","","0.000000","","","","","-8.420000","","","","","","-7.529314","-8.420000","","","","","","","D1 PROFILE","","","","",""
"82000800000568","Nodes","568","21.000000","25.636189","DDS demands","Known Flow","403622.201282","101301.553587","","0.000000","","","","","-5.400000","","","","","","-4.828776","-5.400000","","","","","","","D1 PROFILE","","","","",""
"82000800000569","Nodes","569","21.000000","25.603968","DDS demands","Known Flow","403613.625983","101301.304775","","0.000000","","","","","-2.019999","","","","","","-1.806320","-2.019999","","","","","","","D1 PROFILE","","","","",""
"82000800000571","Nodes","571","21.000000","25.594949","DDS demands","Known Flow","403613.000983","101276.804768","","0.000000","","","","","-1.770000","","","","","","-1.582765","-1.770000","","","","","","","D1 PROFILE","","","","",""
"82000800000620","Nodes","620","21.000000","22.820130","DDS demands","Known Flow","403375.750918","101911.054941","","0.000000","","","","","-4.219999","","","","","","-3.773599","-4.219999","","","","","","","D1 PROFILE","","","","",""
