"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82820900000132","Nodes","132",21.000000,34.112916,"DDS demands","Known Flow",383166.870419,86746.175815,,0.000000,,,,-7.369999,,,,,-6.590385,-7.369999,,"",,,,"D1 PROFILE",,,,
"82820900000092","Nodes","92",21.000000,31.112961,"DDS demands","Known Flow",383159.870417,86527.800755,,0.000000,,,,-5.219999,,,,,-4.667817,-5.219999,,"",,,,"D1 PROFILE",,,,
"82820900008000","Nodes","8000",21.000000,30.964126,"DDS demands","Known Flow",383216.120432,86551.800762,,0.000000,,,,-6.520000,,,,,-5.830300,-6.520000,,"",,,,"D1 PROFILE",,,,
"82820900259639","Nodes","-259639",21.000000,32.462821,"Default Known Flow Node","Known Flow",383748.245577,86467.175739,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000140","Nodes","140",21.000000,28.409451,"Default Known Flow Node","Known Flow",383838.495602,86610.550778,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000079","Nodes","79",21.000000,28.891539,"DDS demands","Known Flow",383738.745575,86701.550802,,0.000000,,,,-1.779999,,,,,-1.591707,-1.779999,,"",,,,"D1 PROFILE",,,,
"82820900000137","Nodes","137",21.000000,27.542000,"DDS demands","Known Flow",383832.370600,86713.925806,,0.000000,,,,-0.689999,,,,,-0.617010,-0.689999,,"",,,,"D1 PROFILE",,,,
"82820900000138","Nodes","P12130069, SYDENHAMS CRESCENT CSEP, 6 SCMH",22.999998,27.436701,"CSEP Unmatched","Known Flow",383831.245600,86735.800812,,0.000000,,,,-0.950000,,,,-6.000000,-6.214814,-6.950000,,"",,,,"D1 PROFILE",,,,"DC PROFILE"
"82820900000139","Nodes","139",21.000000,27.289138,"DDS demands","Known Flow",383884.245614,86711.175805,,0.000000,,,,-8.539999,,,,,-7.636620,-8.539999,,"",,,,"D1 PROFILE",,,,
"82820900000046","Nodes","46",21.000000,28.481802,"DDS demands","Known Flow",383977.495640,86575.800768,,0.000000,,,,-19.509999,,,,,-17.446189,-19.509999,,"",,,,"D1 PROFILE",,,,
