"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82005100001001","Nodes","1001",21.000000,29.946933,"Default Known Flow Node","Known Flow",368541.183439,91159.098015,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000966","Nodes","966",21.000000,30.034342,"Default Known Flow Node","Known Flow",368483.010423,91057.864988,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001005","Nodes","1005",21.000000,29.901949,"Default Known Flow Node","Known Flow",368574.322980,91056.220690,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000635","Nodes","635,",21.000000,29.678005,"DDS demands","Known Flow",368624.928462,91051.910986,,0.000000,-14.229999,,,,,,,,,-6.030000,,,,-18.116855,-20.260001,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,,
"82005100000965","Nodes","965",21.000000,29.894065,"Default Known Flow Node","Known Flow",368564.059203,91060.010154,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001004","Nodes","1004",21.000000,33.342120,"Default Known Flow Node","Known Flow",368805.031945,90282.843559,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000109","Nodes","109",21.000000,33.168977,"DDS demands","Known Flow",368781.849505,90280.721776,,0.000000,-1.479999,,-3.849999,,,,-11.019999,,,,,,,-14.620462,-16.349999,,"","C1 PROFILE",,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82005100009016","Nodes","9016",21.000000,64.578493,"Default Known Flow Node","Known Flow",367385.333367,90623.129352,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100008003","Nodes","8003",21.000000,69.946714,"Default Known Flow Node","Known Flow",367439.866140,90243.803766,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000149","Nodes","149",21.000000,30.522550,"DDS demands","Known Flow",369077.456585,90550.577850,,0.000000,,,,,,,-3.240000,,,,,,,-2.897266,-3.240000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000961","Nodes","961",21.000000,41.239282,"Default Known Flow Node","Known Flow",367631.787192,90087.968724,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100002003","Nodes","2003",21.000000,41.840458,"Default Known Flow Node","Known Flow",367572.987873,90172.697786,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100002017","Nodes","2017",21.000000,41.338902,"DDS demands","Known Flow",367618.806301,90174.203268,,0.000000,,,,,,,-4.199999,,,,,,,-3.755715,-4.199999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002015","Nodes","2015",21.000000,41.083713,"DDS demands","Known Flow",367702.971211,90177.534748,,0.000000,,,,,,,-13.590000,,,,,,,-12.152421,-13.590000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100008008","Nodes","8008",21.000000,68.366122,"Default Known Flow Node","Known Flow",367391.898126,90359.527798,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100008006","Nodes","P00026767, Poundbury Phase 2 (Bridport Rd) CSEP, 22.06",37.000000,68.576949,"CSEP DDS Matched","Known Flow",367397.364128,90321.583787,,0.000000,,,,,,,,-22.059999,,,,,,-19.726446,-22.059999,,"",,,,,,,,"DC PROFILE",,,,,
"82005100009209","Nodes","-142120",21.000000,31.782886,"Default Known Flow Node","Known Flow",369061.471581,90639.822874,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100009239","Nodes",,21.000000,31.021436,"Default Known Flow Node","Known Flow",368266.621364,90941.831956,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000323","Nodes","323,",21.000000,31.043846,"DDS demands","Known Flow",368228.304354,90957.439960,,0.000000,-32.250000,,,,,,,,,,,,,-28.838528,-32.250000,,"","C1 PROFILE",,,,,,,,,,,,
"82005100000652","Nodes","652",21.000000,32.693967,"DDS demands","Known Flow",369313.194649,90869.080936,,0.000000,-6.560000,,,,,,-6.480000,,,,,,,-11.660601,-13.040000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"82005100000653","Nodes","653",21.000000,32.397890,"DDS demands","Known Flow",369334.329655,90814.189921,,0.000000,,,,,,,-8.850000,,,,,,,-7.913828,-8.850000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000161","Nodes","161",21.000000,36.876958,"DDS demands","Known Flow",369203.391880,90328.729569,,0.000000,,-5.249999,,,,,-0.399999,,,,,,,-5.052331,-5.650000,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,
"82005100000269","Nodes","269",21.000000,36.974701,"DDS demands","Known Flow",369789.760779,90583.317859,,0.000000,,,,,,,-5.140000,,,,,,,-4.596280,-5.140000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000849","Nodes","849",21.000000,36.972679,"Default Known Flow Node","Known Flow",369804.396848,90612.551367,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000268","Nodes","268",21.000000,36.971454,"DDS demands","Known Flow",369814.080786,90629.845871,,0.000000,,,,,,,-0.730000,,,,,,,-0.652779,-0.730000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000832","Nodes","832",21.000000,32.473044,"DDS demands","Known Flow",369075.647101,90758.176301,,0.000000,,,,,,,-3.890000,,,,,,,-3.478507,-3.890000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000359","Nodes","359",21.000000,29.138906,"DDS demands","Known Flow",368162.229757,90198.990756,,0.000000,,,,,,,-29.059999,,,,,,,-25.985972,-29.059999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000065","Nodes","65",21.000000,32.747423,"DDS demands","Known Flow",368198.579346,90368.765800,,0.000000,,,,,,,-22.000000,,,,,,,-19.672795,-22.000000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000936","Nodes","936",21.000000,42.438778,"DDS demands","Known Flow",367804.114239,90307.177783,,0.000000,,,,,,,-1.259999,,,,,,,-1.126714,-1.259999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000937","Nodes","937",21.000000,42.395184,"DDS demands","Known Flow",367824.528244,90242.321766,,0.000000,,,,,,,-2.390000,,,,,,,-2.137181,-2.390000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000925","Nodes","925,",21.000000,42.493099,"DDS demands","Known Flow",367823.049244,90398.302808,,0.000000,,,,,,,-4.839999,,,,,,,-4.328014,-4.839999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002001","Nodes","2001",21.000000,42.102330,"Default Known Flow Node","Known Flow",367576.296177,90224.587761,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000927","Nodes","927",21.000000,42.726721,"DDS demands","Known Flow",367643.050195,90308.315784,,0.000000,,,,,,,-14.420000,,,,,,,-12.894622,-14.420000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002008","Nodes","2008",21.000000,41.950160,"Default Known Flow Node","Known Flow",367727.990218,90193.429753,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100002005","Nodes","2005",21.000000,42.290586,"DDS demands","Known Flow",367755.378225,90248.246767,,0.000000,,,,,,,-0.839999,,,,,,,-0.751143,-0.839999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002016","Nodes","2016",21.000000,41.076233,"DDS demands","Known Flow",367658.638199,90132.303736,,0.000000,,,,,,,-3.920000,,,,,,,-3.505334,-3.920000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002011","Nodes","2011",21.000000,41.334337,"DDS demands","Known Flow",367686.121207,90243.849766,,0.000000,,,,,,,-3.729999,,,,,,,-3.335432,-3.729999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002013","Nodes","2013",21.000000,41.314089,"DDS demands","Known Flow",367679.154205,90256.596770,,0.000000,,,,,,,-1.749999,,,,,,,-1.564881,-1.749999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100002014","Nodes","2014",21.000000,41.289402,"DDS demands","Known Flow",367651.385197,90232.249763,,0.000000,,,,,,,-3.920000,,,,,,,-3.505334,-3.920000,,"",,,,,,,"D1 PROFILE",,,,,,
