"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96113000010630","Nodes","10630,","21.000000","33.758266","Default Known Flow Node","Known Flow","556718.417644","149831.942981","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000011624","Nodes","11624,","21.000000","28.198222","Default Known Flow Node","Known Flow","557900.917966","149899.817999","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010714","Nodes","10714,","21.000000","25.019534","Default Known Flow Node","Known Flow","559205.793321","149515.567895","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010406","Nodes","10406,","21.000000","22.798729","Default Known Flow Node","Known Flow","562386.169186","144845.316624","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010401","Nodes","10401,","21.000000","22.796298","Default Known Flow Node","Known Flow","562272.419155","144881.566634","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010404","Nodes","10404,","21.000000","22.829785","Default Known Flow Node","Known Flow","562561.669234","144860.191628","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010402","Nodes","10402,","21.000000","22.829785","Default Known Flow Node","Known Flow","562559.669234","144860.316628","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010407","Nodes","10407,","21.000000","22.829785","Default Known Flow Node","Known Flow","562574.419238","144836.816621","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006805029","Nodes","6805029,","21.000000","22.829785","DDS demands","Known Flow","562556.169233","144860.566628","","0.000000","","","","","","-10.399999","","","","","","","","","","-9.299865","-10.399999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010405","Nodes","10405,","21.000000","22.785644","Default Known Flow Node","Known Flow","562661.919261","144852.691626","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
