"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"96120509703489","Nodes","-310298","21.000000","48.421918","Default Known Flow Node","Known Flow","573802.525000","123736.432812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703494","Nodes","-310304","21.000000","48.641654","DDS demands","Known Flow","573888.400000","123707.932812","","0.000000","","","-3.299999","","-2.950918","-3.299999","","","","","D1 PROFILE",""
"96120509703490","Nodes","-310299","21.000000","48.156080","DDS demands","Known Flow","573811.275000","123781.682812","","0.000000","","","-5.680000","","-5.079157","-5.680000","","","","","D1 PROFILE",""
"96120509703491","Nodes","-310300","21.000000","48.156080","Default Known Flow Node","Known Flow","573811.650000","123786.932812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703493","Nodes","-310302","21.000000","48.156080","Default Known Flow Node","Known Flow","573813.650000","123852.050000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703497","Nodes","-310307","21.000000","48.712754","Default Known Flow Node","Known Flow","573948.775000","123693.182812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703495","Nodes","-310305","21.000000","48.712754","Default Known Flow Node","Known Flow","573937.525000","123682.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703496","Nodes","-310306","21.000000","48.712754","Default Known Flow Node","Known Flow","573942.900000","123718.932812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703402","Nodes","9703402","21.000000","48.712754","DDS demands","Known Flow","573964.525000","123695.682812","","0.000000","","","-11.170000","","-9.988414","-11.170000","","","","","D1 PROFILE",""
"96120509703498","Nodes","-310309","21.000000","48.838450","Default Known Flow Node","Known Flow","573971.650000","123662.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703005","Nodes","FAIR LANE DG, Site ID: 7529","21.000000","49.999998","Default Known Pressure Node","Known Pressure","574057.900000","123603.932812","","789.999976","","","","","461.648884","516.260014","","","","","",""
"96120509703401","Nodes","9703401","21.000000","49.965289","DDS demands","Known Flow","574039.525000","123607.182812","","0.000000","","","-24.629998","","-22.024585","-24.629998","","","","","D1 PROFILE",""
"96120509703517","Nodes","-3430532","21.000000","47.552130","Default Known Flow Node","Known Flow","573404.650000","123478.182812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703513","Nodes","-3397895","21.000000","47.552130","Default Known Flow Node","Known Flow","573404.775000","123476.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703512","Nodes","-3397894","21.000000","47.468278","Default Known Flow Node","Known Flow","573394.900000","123419.932812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703516","Nodes","-3430531","21.000000","47.510200","Default Known Flow Node","Known Flow","573391.150000","123473.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703518","Nodes","-3702166","21.000000","47.381072","DDS demands","Known Flow","573477.025000","123116.432812","","0.000000","","","-6.249999","","-5.588861","-6.249999","","","","","D1 PROFILE",""
"96120509703509","Nodes","-3371655","21.000000","48.619548","DDS demands","Known Flow","573791.275000","123701.550000","","0.000000","","","-8.850000","","-7.913828","-8.850000","","","","","D1 PROFILE",""
"96120509703515","Nodes","-3418047","21.000000","48.984349","DDS demands","Known Flow","573779.275000","123568.432812","","0.000000","","","-5.579999","","-4.989735","-5.579999","","","","","D1 PROFILE",""
"96120509703510","Nodes","-3377050","21.000000","48.361178","DDS demands","Known Flow","573804.650000","123742.050000","","0.000000","","","-1.990000","","-1.779493","-1.990000","","","","","D1 PROFILE",""
"96120509703508","Nodes","-3371654","21.000000","48.572600","DDS demands","Known Flow","573757.525000","123712.300000","","0.000000","","","-1.450000","","-1.296616","-1.450000","","","","","D1 PROFILE",""
"96120509703511","Nodes","-3377051","21.000000","48.160642","DDS demands","Known Flow","573850.900000","123747.682812","","0.000000","","","-7.199999","","-6.438368","-7.199999","","","","","D1 PROFILE",""
"96120509703514","Nodes","-3418046","21.000000","48.942480","Default Known Flow Node","Known Flow","573769.150000","123565.932812","","0.000000","","","","","0.000000","0.000000","","","","","",""
