"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96108905506098","Nodes","","21.000000","32.815815","Default Known Flow Node","Known Flow","613698.375000","159947.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506094","Nodes","","21.000000","32.815815","Default Known Flow Node","Known Flow","613760.000000","159990.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102319","Nodes","","21.000000","32.815815","Default Known Flow Node","Known Flow","613751.125000","159993.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506062","Nodes","","21.000000","34.282704","Default Known Flow Node","Known Flow","613814.812500","159929.906250","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506064","Nodes","","21.000000","34.282704","Default Known Flow Node","Known Flow","613793.875000","159898.796875","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102333","Nodes","","21.000000","34.793977","Default Known Flow Node","Known Flow","613896.750000","159850.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506030","Nodes","","21.000000","34.780411","DDS demands","Known Flow","613896.750000","159852.000000","","0.000000","","-60.070000","","","-0.129999","","","-53.831919","-60.200002","","","","C2 PROFILE","","","D1 PROFILE","",""
"96108905506041","Nodes","","21.000000","34.326040","Default Known Flow Node","Known Flow","613902.625000","159907.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506067","Nodes","","21.000000","34.780411","Default Known Flow Node","Known Flow","613811.250000","159871.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900001402","Nodes","","21.000000","33.523915","Default Known Flow Node","Known Flow","613860.000000","159965.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506115","Nodes","","21.000000","34.698425","Default Known Flow Node","Known Flow","613940.250000","159953.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506029","Nodes","","21.000000","36.639974","Default Known Flow Node","Known Flow","613916.332637","159759.844082","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102342","Nodes","","21.000000","36.639974","Default Known Flow Node","Known Flow","613935.895793","159767.226405","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102422","Nodes","","21.000000","34.698425","Default Known Flow Node","Known Flow","613968.000000","159934.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900137549","Nodes","","21.000000","32.902694","Default Known Flow Node","Known Flow","613637.750000","159859.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506114","Nodes","","21.000000","32.859251","Default Known Flow Node","Known Flow","613598.250000","159860.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900137551","Nodes","","21.000000","32.902694","Default Known Flow Node","Known Flow","613653.000000","159863.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900137550","Nodes","","21.000000","32.902694","Default Known Flow Node","Known Flow","613652.750000","159864.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506100","Nodes","","21.000000","32.859251","Default Known Flow Node","Known Flow","613657.250000","159887.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506099","Nodes","","21.000000","32.815815","Default Known Flow Node","Known Flow","613664.750000","159967.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506091","Nodes","","21.000000","32.815815","Default Known Flow Node","Known Flow","613762.625000","159990.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506076","Nodes","Load set to highest burn 1000scmh and not full load of 1292 scmh.","21.000000","32.815815","DDS demands","Known Flow","613781.000000","159985.625000","","0.000000","-999.999989","","","","","","","-894.217915","-999.999989","","","C1 PROFILE","","","","","",""
"96108900137555","Nodes","","21.000000","32.859251","Default Known Flow Node","Known Flow","613773.750000","159964.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
