"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64402900003010","Nodes","-263241",21.000000,22.679158,"Default Known Flow Node","Known Flow",280897.467590,680710.712437,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000168","Nodes","168",21.000000,21.824913,"DDS demands","Known Flow",280876.967585,680596.587406,,0.000000,,,,-8.839999,,,,,-7.904886,-8.839999,,"",,,,"D1 PROFILE",,,,
"64402900003106","Nodes","-593756",21.000000,21.824913,"Default Known Flow Node","Known Flow",280875.842585,680602.712408,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000533","Nodes","533",21.000000,21.878102,"DDS demands","Known Flow",280903.592592,680598.337407,,0.000000,,,,-6.340000,,,,,-5.669341,-6.340000,,"",,,,"D1 PROFILE",,,,
"64402900000164","Nodes","164",21.000000,21.883230,"DDS demands","Known Flow",280941.967603,680600.212407,,0.000000,,,,-9.200000,,,,,-8.226804,-9.200000,,"",,,,"D1 PROFILE",,,,
"64402900000161","Nodes","161",21.000000,23.626484,"DDS demands","Known Flow",280993.592617,680560.587396,,0.000000,,,,-17.840000,,,,,-15.952847,-17.840000,,"",,,,"D1 PROFILE",,,,
"64402900000221","Nodes","221",21.000000,23.210841,"DDS demands","Known Flow",280833.342573,680643.837419,,0.000000,,,,-2.329999,,,,,-2.083527,-2.329999,,"",,,,"D1 PROFILE",,,,
"64402900003011","Nodes","-263242",21.000000,23.723458,"Default Known Flow Node","Known Flow",280795.342563,680711.837437,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000222","Nodes","222",21.000000,22.706481,"DDS demands","Known Flow",280822.342570,680618.337412,,0.000000,,,,-15.899999,,,,,-14.218064,-15.899999,,"",,,,"D1 PROFILE",,,,
"64402900000225","Nodes","225",21.000000,22.522369,"DDS demands","Known Flow",280810.217567,680567.212398,,0.000000,,,,-5.300000,,,,,-4.739355,-5.300000,,"",,,,"D1 PROFILE",,,,
"64402900003007","Nodes","-263233",21.000000,22.502516,"Default Known Flow Node","Known Flow",280796.613176,680624.424541,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
