"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304500003026","Nodes","3026","21.000000","39.888006","DDS demands","Known Flow","304918.516599","666811.398664","","0.000000","-87.279995","","","","","","","","","","","","","","-78.047331","-87.279995","","","C1 PROFILE","","","","","","","","","","","","",""
"64304501553763","Nodes","-1553763","21.000000","39.638878","Default Known Flow Node","Known Flow","304885.461665","666836.906644","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500003158","Nodes","3158","21.000000","37.345054","DDS demands","Known Flow","305789.474364","664968.708154","","0.000000","","","","","","","-12.430000","","","","","","","","-11.115128","-12.430000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304510003098","Nodes","3098, 10 Rothes Drive, ID10127","21.000000","36.902935","Val Log Cath","Known Flow","305857.548073","664919.088666","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500003160","Nodes","3160","21.000000","36.684753","DDS demands","Known Flow","305831.724375","664877.958129","","0.000000","","","","","","","-17.139999","","","","","","","","-15.326894","-17.139999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500003108","Nodes","3108, P13132371, MURIESTON PARK, SCH 79.76","24.000000","38.356569","CSEP Unmatched","Known Flow","305777.335874","664210.725226","","0.000000","","","","","","","","","","","","","-9.999999","","0.000000","0.000000","","","","","","","","","","","","","","","PL-DC PROFILE",""
"64304503679827","Nodes","-3679827","21.000000","44.421880","DDS demands","Known Flow","305658.093243","664064.835919","","0.000000","","","","","","","-7.760000","","","","","","","","-6.939131","-7.760000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500002231","Nodes","2231,Logger 1 Muireston Wood. ID10295","21.000000","39.318239","Val Log Cath","Known Flow","305755.099354","664187.832941","","0.000000","","","","","","","-16.100000","","","","","","","","-14.396908","-16.100000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500002962","Nodes","2962","21.000000","45.057680","DDS demands","Known Flow","304968.357140","666322.708522","","0.000000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","C1 PROFILE","","","","","","","","","","","","",""
"64304500001035","Nodes","1035","21.000000","45.143800","Default Known Flow Node","Known Flow","304990.589607","666268.231881","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
