"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64402300001154","Nodes","","21.000000","27.023669","Default Known Flow Node","Known Flow","303694.343794","637801.289761","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001155","Nodes","","21.000000","27.764791","Default Known Flow Node","Known Flow","303702.912796","637847.847774","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001170","Nodes","","21.000000","27.764791","Default Known Flow Node","Known Flow","303713.326799","637837.050771","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001160","Nodes","","21.000000","26.349549","Default Known Flow Node","Known Flow","303668.183787","637798.145760","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001161","Nodes","","21.000000","26.349549","Default Known Flow Node","Known Flow","303655.229783","637806.708763","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001163","Nodes","","21.000000","27.764791","Default Known Flow Node","Known Flow","303694.530794","637851.702775","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001173","Nodes","","21.000000","26.349549","Default Known Flow Node","Known Flow","303666.514786","637788.800758","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001156","Nodes","","21.000000","27.764791","Default Known Flow Node","Known Flow","303710.860798","637822.189767","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001171","Nodes","","21.000000","27.764791","Default Known Flow Node","Known Flow","303722.801801","637836.125771","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001172","Nodes","","21.000000","27.894459","Default Known Flow Node","Known Flow","303751.808809","637815.339765","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001175","Nodes","","21.000000","25.423698","Default Known Flow Node","Known Flow","303677.898789","637845.926773","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001177","Nodes","","21.000000","27.896132","Default Known Flow Node","Known Flow","303747.202808","637840.216772","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001224","Nodes","","21.000000","33.253117","Default Known Flow Node","Known Flow","304483.907766","637606.143599","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001194","Nodes","","21.000000","38.315387","Default Known Flow Node","Known Flow","304083.407900","637685.441730","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001198","Nodes","","21.000000","35.206860","Default Known Flow Node","Known Flow","304301.669869","637509.096981","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001199","Nodes","","21.000000","35.028635","Default Known Flow Node","Known Flow","304277.050952","637422.022658","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001182","Nodes","","21.000000","35.820122","Default Known Flow Node","Known Flow","304339.457969","637644.137718","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001215","Nodes","","21.000000","32.271135","Default Known Flow Node","Known Flow","304393.480984","637572.971699","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001216","Nodes","","21.000000","32.315930","Default Known Flow Node","Known Flow","304391.797983","637585.894702","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001218","Nodes","The Co-opertative, Old Auction Market, Station Road","21.000000","33.439904","Point Loads","Known Flow","304174.533924","637719.765739","","0.000000","","","","","","","","","-15.689999","","","-14.030278","-15.689999","","","","","","","","","","","PL-AF PROFILE","",""
"64402300001240","Nodes","","21.000000","33.330850","Default Known Flow Node","Known Flow","304507.990234","637608.328017","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001226","Nodes","","21.000000","39.022385","Default Known Flow Node","Known Flow","304125.598911","637773.719754","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001279","Nodes","","21.000000","39.022385","Default Known Flow Node","Known Flow","304130.281705","637762.182167","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
