"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"94120709507113","Nodes","9507113",21.000000,24.791322,"Default Known Flow Node","Known Flow",555109.917206,98152.178918,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000092","Nodes","92",21.000000,24.859210,"Default Known Flow Node","Known Flow",555182.167226,98245.053943,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507105","Nodes","9507105",21.000000,24.814751,"DDS demands","Known Flow",555261.667248,98253.428946,,0.000000,-6.000000,,,,-7.620000,,-12.179248,-13.620000,,"","C1 PROFILE",,,,"D1 PROFILE",
"94120700000083","Nodes","83",21.000000,24.797018,"Default Known Flow Node","Known Flow",555144.042216,98207.678933,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000076","Nodes","76",21.000000,24.789308,"DDS demands","Known Flow",555168.042222,98183.428927,,0.000000,,,,,-1.080000,,-0.965755,-1.080000,,"",,,,,"D1 PROFILE",
"94120709507107","Nodes","9507107",21.000000,24.797057,"Default Known Flow Node","Known Flow",555141.018146,98220.423226,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507016","Nodes","9507016",21.000000,24.797431,"DDS demands","Known Flow",555170.148752,98331.940594,,0.000000,,,,,-5.239999,,-4.685701,-5.239999,,"",,,,,"D1 PROFILE",
"94120700000084","Nodes","84",21.000000,24.797018,"Default Known Flow Node","Known Flow",555148.417217,98208.178933,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507017","Nodes","9507017",21.000000,24.820907,"DDS demands","Known Flow",555196.150469,98375.561217,,0.000000,,,,,-11.910000,,-10.650135,-11.910000,,"",,,,,"D1 PROFILE",
"94120709507106","Nodes","9507106",21.000000,24.653482,"Default Known Flow Node","Known Flow",555211.061471,98381.282103,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000116","Nodes","116",21.000000,24.731277,"Default Known Flow Node","Known Flow",555221.417237,98369.803977,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000115","Nodes","115",21.000000,24.727319,"DDS demands","Known Flow",555216.042235,98364.678976,,0.000000,,,,,-14.770000,,-13.207598,-14.770000,,"",,,,,"D1 PROFILE",
"94120709507103","Nodes","9507103",21.000000,25.094390,"DDS demands","Known Flow",555351.920768,98248.484265,,0.000000,,,,,-7.840000,,-7.010668,-7.840000,,"",,,,,"D1 PROFILE",
"94120709507027","Nodes","9507027",21.000000,25.071428,"DDS demands","Known Flow",555383.172370,98246.509490,,0.000000,,,,,-13.179999,,-11.785791,-13.179999,,"",,,,,"D1 PROFILE",
"94120709507026","Nodes","9507026",21.000000,23.929065,"DDS demands","Known Flow",555477.917307,98343.928970,,0.000000,-6.000000,,,,-22.260000,,-25.270598,-28.260002,,"","C1 PROFILE",,,,"D1 PROFILE",
"94120709507102","Nodes","9507102",21.000000,25.114213,"DDS demands","Known Flow",555405.295925,98245.111512,,0.000000,,,,,-0.170000,,-0.152017,-0.170000,,"",,,,,"D1 PROFILE",
