"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94122009901143","Nodes","9901143",21.000000,32.978164,"DDS demands","Known Flow",543035.538921,100622.554590,,0.000000,,,,,,,-4.199999,,,,,,-3.755715,-4.199999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-329209","Nodes","-329209",21.000000,32.747735,"Default Known Flow Node","Known Flow",543062.413928,100802.054639,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-329208","Nodes","-329208",21.000000,32.747735,"Default Known Flow Node","Known Flow",543060.538928,100808.679641,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901015","Nodes","9901015",21.000000,32.981803,"Default Known Flow Node","Known Flow",543316.038997,100583.179580,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901140","Nodes","9901140",21.000000,33.007392,"Default Known Flow Node","Known Flow",543209.036095,100593.275588,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-329211","Nodes","-329211",21.000000,32.268302,"Default Known Flow Node","Known Flow",543085.038934,100900.679666,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901014","Nodes","9901014",21.000000,32.987082,"DDS demands","Known Flow",543340.289004,100588.929581,,0.000000,,,,,,,-8.699999,,,,,,-7.779695,-8.699999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901018","Nodes","9901018",21.000000,32.620755,"DDS demands","Known Flow",543630.039083,100547.429570,,0.000000,,,,,,,-5.899999,,,,,,-5.275885,-5.899999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-329227","Nodes","-329227",21.000000,31.705390,"Default Known Flow Node","Known Flow",543746.555609,100807.474126,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901219","Nodes","9901219",21.000000,31.778481,"DDS demands","Known Flow",543747.634557,100811.696096,,0.000000,,,,,,,-13.669999,,,,,,-12.223958,-13.669999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-329229","Nodes","-329229",21.000000,31.805917,"Default Known Flow Node","Known Flow",543748.267853,100812.962687,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-329232","Nodes","-329232",21.000000,31.486453,"Default Known Flow Node","Known Flow",543759.221520,100791.712105,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901012","Nodes","9901012",21.000000,31.585205,"DDS demands","Known Flow",543751.762706,100802.595405,,0.000000,,,,,,,-19.399998,,,,,,-17.347825,-19.399998,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901011","Nodes","9901011",21.000000,31.343376,"DDS demands","Known Flow",543767.664120,100752.054626,,0.000000,,,,,,,-6.840000,,,,,,-6.116450,-6.840000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901138","Nodes","9901138",21.000000,28.783375,"DDS demands","Known Flow",543906.914158,100679.429606,,0.000000,,-31.969998,,,,,-5.619999,,,,,,-33.613650,-37.589998,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,
"94122009901153","Nodes","9901153",21.000000,29.009935,"DDS demands","Known Flow",543878.900407,100677.726131,,0.000000,,,,,,,-19.479999,,,,,,-17.419363,-19.479999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-329239","Nodes","-329239",21.000000,29.184344,"Default Known Flow Node","Known Flow",543900.743530,100647.670684,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901154","Nodes","9901154, 22630/01, Harbour Heights, 80.04",22.999998,29.154202,"CSEP DDS Matched","Known Flow",543870.539148,100655.554599,,0.000000,,,,,,,,-98.220005,,,,,-87.830087,-98.220005,,"",,,,,,,,"DC PROFILE",,,,
