"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"94118709301102","Nodes","9301102","21.000000","29.001761","Default Known Flow Node","Known Flow","526434.475000","130787.560000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301100","Nodes","9301100","21.000000","28.985744","DDS demands","Known Flow","526424.600000","130785.560000","","0.000000","-7.099999","","","-16.479999","","","","-21.085657","-23.579998","","","C2 PROFILE","","","D1 PROFILE","","",""
"94118709301099","Nodes","9301099","21.000000","28.985744","Default Known Flow Node","Known Flow","526410.350000","130796.310000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301101","Nodes","9301101","21.000000","29.001716","DDS demands","Known Flow","526431.350000","130807.442812","0.000000","0.000000","-0.180000","","","","","","","-0.160959","-0.180000","","","C2 PROFILE","","","","","",""
"94118709301055","Nodes","9301055","21.000000","23.731161","DDS demands","Known Flow","525732.537330","129543.044578","","0.000000","","","","-15.169999","","","","-13.565285","-15.169999","","","","","","D1 PROFILE","","",""
"94118700001397","Nodes","1397","21.000000","23.835233","Log Low Point","Known Flow","525742.975000","129545.349062","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301069","Nodes","9301069","21.000000","21.761543","Default Known Flow Node","Known Flow","525703.225000","129283.692812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301071","Nodes","9301071","21.000000","21.437397","DDS demands","Known Flow","525735.100000","129162.560000","","0.000000","","","","-7.349999","","","","-6.572501","-7.349999","","","","","","D1 PROFILE","","",""
"94118709301070","Nodes","9301070","21.000000","21.331684","DDS demands","Known Flow","525717.975000","129164.192812","","0.000000","","","","-7.629999","","","","-6.822882","-7.629999","","","","","","D1 PROFILE","","",""
"94118700000335","Nodes","335","21.000000","23.061897","Default Known Flow Node","Known Flow","525748.638155","129467.311306","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118700000005","Nodes","5","21.000000","23.678879","Default Known Flow Node","Known Flow","525796.037201","129497.733786","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118700000003","Nodes","3","21.000000","26.812068","Default Known Flow Node","Known Flow","526031.596216","129780.749155","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118700000001","Nodes","1","21.000000","35.175553","Default Known Flow Node","Known Flow","526252.609064","129854.695822","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118700000002","Nodes","2","21.000000","35.219628","Default Known Flow Node","Known Flow","526284.293757","129842.801153","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118700000004","Nodes","4","21.000000","26.713382","DDS demands","Known Flow","526062.614071","129846.516455","","0.000000","","","","-3.240000","","","","-2.897266","-3.240000","","","","","","D1 PROFILE","","",""
"94118700000007","Nodes","7","21.000000","22.038639","Default Known Flow Node","Known Flow","525770.196724","129404.251384","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118700000006","Nodes","6","21.000000","22.030056","DDS demands","Known Flow","525777.500652","129396.338795","","0.000000","","","","-3.349999","","","","-2.995629","-3.349999","","","","","","D1 PROFILE","","",""
"94118700000008","Nodes","8","21.000000","22.030364","DDS demands","Known Flow","525783.712961","129424.639313","","0.000000","","","","-2.160000","","","","-1.931510","-2.160000","","","","","","D1 PROFILE","","",""
