"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"94103302702040","Nodes","2702040","21.000000","37.623051","DDS demands","Known Flow","496651.901300","156256.444729","","0.000000","","","-3.839999","","","","-13.789999","","","","","","","","","-15.765061","-17.629999","","","","","","C3 PROFILE","","","","D1 PROFILE","","","","","","","","",""
"94103304619271","Nodes","4619271","21.000000","37.411271","Default Known Flow Node","Known Flow","496646.276298","156122.569692","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619279","Nodes","4619279","21.000000","37.577648","Default Known Flow Node","Known Flow","496753.901327","156284.069736","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619589","Nodes","4619589","21.000000","38.672613","Default Known Flow Node","Known Flow","498667.151848","156150.069700","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304621757","Nodes","4621757","21.000000","38.773783","DDS demands","Known Flow","498832.901893","156210.194716","","0.000000","","","","","","","-28.620001","","","","","","","","","-25.592517","-28.620001","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"94103304620181","Nodes","4620181","21.000000","38.928247","DDS demands","Known Flow","498882.151906","156265.694731","","0.000000","","","","","","","-15.789999","","","","","","","","","-14.119700","-15.789999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"94103304622196","Nodes","4622196","21.000000","41.103628","Default Known Flow Node","Known Flow","499428.777055","156055.444674","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620195","Nodes","4620195","21.000000","39.369124","Default Known Flow Node","Known Flow","499326.402027","156153.444701","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622202","Nodes","4622202","21.000000","39.369124","Default Known Flow Node","Known Flow","499306.027022","156154.194701","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622201","Nodes","4622201","21.000000","39.369124","Default Known Flow Node","Known Flow","499335.277030","156150.444700","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619622","Nodes","4619622","21.000000","39.369124","Default Known Flow Node","Known Flow","499332.777029","156151.444700","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620592","Nodes","4620592","21.000000","38.554409","DDS demands","Known Flow","499341.777032","156077.944680","","0.000000","","-39.429998","","","","","-1.429999","","","","","","","","","-36.537741","-40.860000","","","","","C2 PROFILE","","","","","D1 PROFILE","","","","","","","","",""
"94103304622200","Nodes","4622200","21.000000","39.369124","Default Known Flow Node","Known Flow","499359.988927","156138.584828","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620521","Nodes","4620521","21.000000","41.103628","Default Known Flow Node","Known Flow","499437.402058","156089.069683","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622198","Nodes","4622198","21.000000","41.018543","Default Known Flow Node","Known Flow","499504.402076","156064.194676","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622197","Nodes","4622197","21.000000","41.018543","Default Known Flow Node","Known Flow","499504.277076","156062.319676","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622211","Nodes","4622211","21.000000","40.408560","Default Known Flow Node","Known Flow","499657.277117","156285.569737","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619540","Nodes","4619540","21.000000","40.351588","Default Known Flow Node","Known Flow","499759.777145","156407.944770","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619926","Nodes","4619926","21.000000","40.351588","Default Known Flow Node","Known Flow","499755.027144","156419.319773","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304620897","Nodes","4620897","21.000000","33.732664","Default Known Flow Node","Known Flow","499836.402166","156167.069704","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619966","Nodes","4619966","21.000000","41.018543","Default Known Flow Node","Known Flow","499526.402082","156111.944689","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622212","Nodes","4622212","21.000000","40.408560","Default Known Flow Node","Known Flow","499640.389999","156292.449033","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
