"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600400011421","Nodes","-2239","21.000000","48.050040","Default Known Flow Node","Known Flow","268588.089241","844098.631896","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011423","Nodes","-2242","21.000000","37.254285","DDS demands","Known Flow","268594.331577","844111.010766","","0.000000","-99.999997","","","","","","","","","","","","","","","","","-89.421775","-99.999997","","","","C1 PROFILE","","","","","","","","","","","","","","","","",""
"60600400010536","Nodes","-1462671","21.000000","38.631982","Default Known Flow Node","Known Flow","268567.589235","844014.131873","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011424","Nodes","-2245","21.000000","31.213962","Default Known Flow Node","Known Flow","268607.744974","844139.867163","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011422","Nodes","-2241","21.000000","37.254285","Default Known Flow Node","Known Flow","268614.214248","844108.756899","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400003113","Nodes","3113","21.000000","26.910647","DDS demands","Known Flow","268618.290863","844161.845151","","0.000000","-31.020000","","","","","","","","","","-12.529999","","","","","","","-38.943183","-43.549998","","","","C1 PROFILE","","","","","","","","","","I2 PROFILE","","","","","","",""
"60600400011602","Nodes","-327010","21.000000","31.213962","Default Known Flow Node","Known Flow","268625.089251","844130.756905","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011594","Nodes","-326909","21.000000","37.254285","Default Known Flow Node","Known Flow","268616.339249","844107.506899","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011587","Nodes","-326838","21.000000","26.719581","Default Known Flow Node","Known Flow","268641.839256","844155.881912","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011425","Nodes","-2247","21.000000","26.910647","Default Known Flow Node","Known Flow","268632.339253","844155.006912","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011432","Nodes","-2267","21.000000","30.989476","Default Known Flow Node","Known Flow","268515.712364","844362.246947","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010633","Nodes","-1462871","21.000000","30.989476","Default Known Flow Node","Known Flow","268515.089221","844360.881968","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011438","Nodes","-2286","21.000000","32.063983","Default Known Flow Node","Known Flow","268580.087535","844490.890608","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011418","Nodes","-2231","21.000000","38.375222","Default Known Flow Node","Known Flow","268725.339278","844066.506888","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011417","Nodes","-2230","21.000000","38.375222","Default Known Flow Node","Known Flow","268731.589280","844063.256887","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011066","Nodes","-148","21.000000","25.262255","Default Known Flow Node","Known Flow","264307.213076","844916.507119","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010342","Nodes","-123","21.000000","26.727356","Default Known Flow Node","Known Flow","264422.213107","844816.257092","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010321","Nodes","-119","21.000000","26.416698","Default Known Flow Node","Known Flow","264456.963117","844770.632079","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010337","Nodes","-122","21.000000","26.727356","Default Known Flow Node","Known Flow","264412.713105","844815.882092","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010228","Nodes","-100","21.000000","22.758802","Default Known Flow Node","Known Flow","265309.871561","844690.513421","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
