"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"602012-324747","Nodes","-324747","21.000000","33.667116","Default Known Flow Node","Known Flow","328035.375000","700836.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000369","Nodes","369","21.000000","33.680092","DDS demands","Known Flow","328026.250000","700838.500000","","0.000000","","","","","","","-1.940000","","","","","","","-1.734782","-1.940000","","","","","","","","","D1 PROFILE","","","","","",""
"602012-324749","Nodes","-324749","21.000000","33.667116","Default Known Flow Node","Known Flow","328046.125000","700834.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-300660","Nodes","-300660","21.000000","34.042628","Default Known Flow Node","Known Flow","328065.625000","700824.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000370","Nodes","370","21.000000","33.746194","DDS demands","Known Flow","327945.125000","700850.125000","","0.000000","","","","","","","-5.670000","","","","","","","-5.070216","-5.670000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000363","Nodes","363","21.000000","35.542836","DDS demands","Known Flow","328103.000000","700718.750000","","0.000000","","","","","","","-18.049999","","","","","","","-16.140632","-18.049999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-300657","Nodes","-300657","21.000000","35.314133","Default Known Flow Node","Known Flow","328029.875000","700727.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-300670","Nodes","-300670","21.000000","35.835833","Default Known Flow Node","Known Flow","328190.750000","700632.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000766","Nodes","766","21.000000","35.768937","DDS demands","Known Flow","328299.000000","700662.375000","","0.000000","","","","","","","-9.520000","","","","","","","-8.512955","-9.520000","","","","","","","","","D1 PROFILE","","","","","",""
"602012-176930","Nodes","-176930","21.000000","35.727048","Default Known Flow Node","Known Flow","328254.000000","700635.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000357","Nodes","357","21.000000","36.440470","DDS demands","Known Flow","328268.250000","700598.125000","","0.000000","","","","","","","-14.279999","","","","","","","-12.769430","-14.279999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-176929","Nodes","-176929","21.000000","36.579666","Default Known Flow Node","Known Flow","328253.250000","700600.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-176932","Nodes","-176932","21.000000","36.338260","Default Known Flow Node","Known Flow","328297.875000","700560.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001038","Nodes","1038","21.000000","37.831831","DDS demands","Known Flow","328250.625000","700503.500000","","0.000000","","","","","","","-5.539999","","","","","","","-4.953967","-5.539999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-360","Nodes","-360","21.000000","37.519880","Default Known Flow Node","Known Flow","328122.125000","700516.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-361","Nodes","-361","21.000000","37.138789","Default Known Flow Node","Known Flow","328108.250000","700547.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000362","Nodes","362","21.000000","36.913299","DDS demands","Known Flow","328130.250000","700555.125000","","0.000000","","","","","","","-19.760000","","","","","","","-17.669747","-19.760000","","","","","","","","","D1 PROFILE","","","","","",""
"602012-300664","Nodes","-300664","21.000000","36.637607","Default Known Flow Node","Known Flow","328114.000000","700587.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-300661","Nodes","-300661","21.000000","35.939613","Default Known Flow Node","Known Flow","328092.750000","700664.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
