"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60601300000024","Nodes","","21.000000","34.598352","DDS demands","Known Flow","368597.795455","864472.306440","","0.000000","","","","","","-12.319999","","","","","","-11.016764","-12.319999","","","","","","","","D1 PROFILE","","","","",""
"60601300000108","Nodes","","21.000000","33.904286","DDS demands","Known Flow","368638.966466","864567.928466","","0.000000","","","","","","-8.800000","","","","","","-7.869117","-8.800000","","","","","","","","D1 PROFILE","","","","",""
"60601300000302","Nodes","","21.000000","39.862884","Default Known Flow Node","Known Flow","368877.712531","864491.077445","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000028","Nodes","","21.000000","36.226516","DDS demands","Known Flow","368788.263506","864571.164467","","0.000000","","","","","","-3.219999","","","-9.560000","","","-11.428105","-12.780000","","","","","","","","D1 PROFILE","","","I2 PROFILE","",""
"60601300000158","Nodes","","21.000000","37.711740","DDS demands","Known Flow","368644.426467","864438.566431","","0.000000","","","","","","-12.050000","","","","","","-10.775325","-12.050000","","","","","","","","D1 PROFILE","","","","",""
"60601300000027","Nodes","","21.000000","36.894498","DDS demands","Known Flow","368679.537477","864529.461456","","0.000000","","","","","","-9.639999","","","","","","-8.620260","-9.639999","","","","","","","","D1 PROFILE","","","","",""
"60601300002011","Nodes","","21.000000","38.435933","Default Known Flow Node","Known Flow","368836.222519","864397.545420","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002010","Nodes","","21.000000","38.435933","Default Known Flow Node","Known Flow","368837.184520","864393.082419","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300001013","Nodes","","21.000000","38.964271","Default Known Flow Node","Known Flow","368837.442520","864444.239433","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002008","Nodes","","21.000000","38.435933","Default Known Flow Node","Known Flow","368837.267239","864404.004535","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002007","Nodes","","21.000000","38.435933","Default Known Flow Node","Known Flow","368845.447371","864398.697259","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002006","Nodes","","21.000000","38.435933","Default Known Flow Node","Known Flow","368838.747486","864397.711901","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000030","Nodes","30","21.000000","38.952501","DDS demands","Known Flow","368837.554520","864443.186432","","0.000000","-10.369999","","","","","-20.209999","","","-2.799999","","","-29.848992","-33.379999","","","C1 PROFILE","","","","","D1 PROFILE","","","I2 PROFILE","",""
"60601300000074","Nodes","","21.000000","24.021391","DDS demands","Known Flow","369210.292621","863959.651301","","0.000000","","","","","","-8.590000","","","","","","-7.681332","-8.590000","","","","","","","","D1 PROFILE","","","","",""
"60601300000075","Nodes","","21.000000","24.021391","Default Known Flow Node","Known Flow","369260.117635","863974.333305","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000117","Nodes","","21.000000","24.017697","DDS demands","Known Flow","369179.795613","864005.121313","","0.000000","","","","","","-0.970000","","","","","","-0.867391","-0.970000","","","","","","","","D1 PROFILE","","","","",""
"60601300000261","Nodes","","21.000000","24.759337","Default Known Flow Node","Known Flow","368494.836427","863230.966103","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000003","Nodes","","21.000000","42.299927","DDS demands","Known Flow","368844.530652","864674.418048","","0.000000","","","","","","-7.040000","","","","","","-6.295294","-7.040000","","","","","","","","D1 PROFILE","","","","",""
"60601300000005","Nodes","","21.000000","24.799753","DDS demands","Known Flow","368339.702376","863281.957431","","0.000000","","","","","","-8.819999","","","","","","-7.887001","-8.819999","","","","","","","","D1 PROFILE","","","","",""
"60601300000001","Nodes","","21.000000","23.388222","Default Known Flow Node","Known Flow","368076.395773","863266.584359","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000006","Nodes","Logger 10319, Sorrento/Delmar, Sandyhill Rd","21.000000","24.954574","Val Log Cath","Known Flow","368438.214411","863264.862112","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000009","Nodes","","21.000000","23.410674","Default Known Flow Node","Known Flow","368092.215317","863277.617115","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000007","Nodes","Logger 10327, Old Market Place","21.000000","24.172010","Val Log Cath","Known Flow","369153.438042","863946.235137","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000008","Nodes","Logger 10398, Colleonard Crescent (Post)","21.000000","23.268567","Val Log Post","Known Flow","368023.102591","863319.877617","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000764","Nodes","","21.000000","30.323563","Default Known Flow Node","Known Flow","368527.658625","864076.706399","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000244","Nodes","","21.000000","28.267962","Default Known Flow Node","Known Flow","368533.690662","863828.837885","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000231","Nodes","","21.000000","28.463258","Default Known Flow Node","Known Flow","368342.581362","863830.262177","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009806","Nodes","","21.000000","24.841539","Default Known Flow Node","Known Flow","368361.695390","863314.272125","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009807","Nodes","","21.000000","24.908242","Default Known Flow Node","Known Flow","368336.434383","863333.292130","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009809","Nodes","","21.000000","28.577162","Default Known Flow Node","Known Flow","368394.331399","863830.068266","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009810","Nodes","","21.000000","27.412188","Default Known Flow Node","Known Flow","368461.413417","863757.780246","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009811","Nodes","","21.000000","27.412188","Default Known Flow Node","Known Flow","368460.225417","863743.133242","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009816","Nodes","","21.000000","24.788139","DDS demands","Known Flow","368070.941311","863352.018135","","0.000000","","","","","","-13.329999","","","","","","-11.919924","-13.329999","","","","","","","","D1 PROFILE","","","","",""
"60601300009817","Nodes","","21.000000","24.788139","Default Known Flow Node","Known Flow","368075.743313","863376.378142","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009818","Nodes","","21.000000","24.478249","Default Known Flow Node","Known Flow","368270.599366","863298.979121","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009820","Nodes","","21.000000","24.734675","Default Known Flow Node","Known Flow","368317.431378","863377.468142","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009824","Nodes","","21.000000","24.934467","Default Known Flow Node","Known Flow","368433.966279","863264.383905","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009826","Nodes","","21.000000","24.832066","Default Known Flow Node","Known Flow","368248.749360","863357.621137","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009803","Nodes","","21.000000","24.825575","Default Known Flow Node","Known Flow","368237.957357","863357.862137","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009829","Nodes","","21.000000","24.862048","Default Known Flow Node","Known Flow","368287.230370","863350.423135","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009833","Nodes","","21.000000","28.000859","Default Known Flow Node","Known Flow","368241.789358","863783.868253","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009837","Nodes","","21.000000","24.003101","Default Known Flow Node","Known Flow","368387.458397","863169.217086","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009841","Nodes","","21.000000","24.346376","Default Known Flow Node","Known Flow","368180.858341","863270.797113","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009843","Nodes","","21.000000","27.281741","Default Known Flow Node","Known Flow","368448.736414","863742.835242","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009848","Nodes","","21.000000","24.478337","Default Known Flow Node","Known Flow","368161.584336","863303.908122","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009850","Nodes","","21.000000","27.074882","Default Known Flow Node","Known Flow","368338.226194","863734.424653","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009849","Nodes","","21.000000","27.074882","Default Known Flow Node","Known Flow","368334.795383","863727.700238","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009859","Nodes","","21.000000","25.160253","Default Known Flow Node","Known Flow","368492.874426","863281.707116","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300009862","Nodes","","21.000000","24.783544","Default Known Flow Node","Known Flow","368310.443376","863350.333135","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
