"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96108405310001","Nodes","JEFFERSTONE LANE DG,","21.000000","26.499999","Default Known Pressure Node","Known Pressure","608844.599016","127602.166081","","819.999978","","","","","","414.153977","463.146619","","","","","","",""
"96108405310011","Nodes","5310011,","21.000000","26.038870","DDS demands","Known Flow","608852.010842","127613.626953","","0.000000","","","-2.529999","","","-2.262371","-2.529999","","","","","D1 PROFILE","",""
"96108404904550","Nodes","4904550,","21.000000","25.987163","Default Known Flow Node","Known Flow","608849.404949","127616.743038","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462481","Nodes","1462481,","21.000000","25.531805","Default Known Flow Node","Known Flow","608826.066328","127643.821649","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462478","Nodes","1462478,","21.000000","25.379013","DDS demands","Known Flow","608849.785017","127677.910102","","0.000000","","","-7.129999","","","-6.375773","-7.129999","","","","","D1 PROFILE","",""
"96108405310004","Nodes","TAYLORS LANE DG,","21.000000","29.999990","Default Known Pressure Node","Known Pressure","608657.335853","126986.663919","","0.000000","","","","","","112.054446","125.309998","","","","","","",""
"96108400000051","Nodes","51,","21.000000","28.229601","Default Known Flow Node","Known Flow","608425.899417","127172.536072","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000038","Nodes","38,","21.000000","28.207951","DDS demands","Known Flow","608398.103590","127118.877298","","0.000000","","","-13.309999","","","-11.902040","-13.309999","","","","","D1 PROFILE","",""
"96108400000047","Nodes","47,","21.000000","28.304106","Default Known Flow Node","Known Flow","608495.639010","127151.810163","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310208","Nodes","5310208,","21.000000","28.346695","DDS demands","Known Flow","608539.883231","127166.588693","","0.000000","","","-33.470000","","","-29.929474","-33.470000","","","","","D1 PROFILE","",""
"96108401462539","Nodes","1462539,","21.000000","28.274627","Default Known Flow Node","Known Flow","608395.078704","127231.218831","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000061","Nodes","61,","21.000000","28.274627","Default Known Flow Node","Known Flow","608422.251300","127239.350500","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462538","Nodes","1462538,","21.000000","28.274627","Default Known Flow Node","Known Flow","608436.831716","127243.713834","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000048","Nodes","48,","21.000000","28.284680","DDS demands","Known Flow","608556.460030","127157.219949","","0.000000","","","-15.489999","","","-13.851434","-15.489999","","","","","D1 PROFILE","",""
"96108401462544","Nodes","1462544,","21.000000","28.290275","Default Known Flow Node","Known Flow","608481.340728","127222.909829","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000054","Nodes","54,","21.000000","28.290275","Default Known Flow Node","Known Flow","608473.650948","127190.408947","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000043","Nodes","43,","21.000000","28.248751","Default Known Flow Node","Known Flow","608450.777147","127137.031543","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000055","Nodes","55,","21.000000","28.307274","Default Known Flow Node","Known Flow","608482.140652","127190.581368","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310212","Nodes","5310212,","21.000000","28.339208","Default Known Flow Node","Known Flow","608518.567472","127212.542015","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000052","Nodes","52,","21.000000","28.231577","Default Known Flow Node","Known Flow","608434.141716","127175.627599","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310210","Nodes","5310210,","21.000000","28.246144","Default Known Flow Node","Known Flow","608448.656138","127136.241363","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310214","Nodes","Maximo Ref:253755","21.000000","49.619483","PL demand","Known Flow","609190.767292","127705.917330","","0.000000","","","","","-11.069998","-9.898991","-11.069998","","","","","","","PL-AF PROFILE"
"96108401462542","Nodes","1462542,","21.000000","28.327919","Default Known Flow Node","Known Flow","608558.537922","127282.086945","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462541","Nodes","1462541,","21.000000","28.207951","Default Known Flow Node","Known Flow","608361.707581","127107.329295","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000818","Nodes","818,","21.000000","28.421443","Default Known Flow Node","Known Flow","608554.996575","127149.842314","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
