"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96121909710082","Nodes","9710082","21.000000","49.829939","Default Known Flow Node","Known Flow","582656.830000","125206.782812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710047","Nodes","9710047","21.000000","50.409725","DDS demands","Known Flow","582812.705000","125291.532812","","0.000000","","","","","","-12.170000","","","","-10.882632","-12.170000","","","","","","","","D1 PROFILE","","",""
"96121909710090","Nodes","9710090","21.000000","50.325778","Default Known Flow Node","Known Flow","582837.205000","125311.532812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710050","Nodes","9710050","21.000000","56.392807","DDS demands","Known Flow","582921.080000","125418.282812","","0.000000","","","","","","-7.430000","","","","-6.644039","-7.430000","","","","","","","","D1 PROFILE","","",""
"96121909710091","Nodes","9710091","21.000000","55.959833","DDS demands","Known Flow","582869.455000","125381.032812","","0.000000","","","","","","-9.670000","","","","-8.647087","-9.670000","","","","","","","","D1 PROFILE","","",""
"96121909710103","Nodes","9710103","21.000000","62.432014","Default Known Flow Node","Known Flow","582580.080000","125078.282812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710043","Nodes","9710043","21.000000","60.481621","DDS demands","Known Flow","582534.080000","125190.400000","","0.000000","","","","","","-6.659999","","","","-5.955491","-6.659999","","","","","","","","D1 PROFILE","","",""
"96121909710116","Nodes","9710116","21.000000","60.538049","DDS demands","Known Flow","582546.205000","125260.150000","","0.000000","","","","","","-6.220000","","","","-5.562035","-6.220000","","","","","","","","D1 PROFILE","","",""
"96121909710115","Nodes","9710115","21.000000","60.550267","DDS demands","Known Flow","582486.080000","125298.782812","","0.000000","","","","","","-5.480000","","","","-4.900314","-5.480000","","","","","","","","D1 PROFILE","","",""
"96121909710077","Nodes","9710077","21.000000","61.410315","Default Known Flow Node","Known Flow","582584.580000","125192.900000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710051","Nodes","9710051","21.000000","59.308730","DDS demands","Known Flow","582900.705000","125559.650000","","0.000000","","","","","","-31.389998","","","","-28.069498","-31.389998","","","","","","","","D1 PROFILE","","",""
"96121909710092","Nodes","9710092","21.000000","55.134782","DDS demands","Known Flow","583013.955000","125497.400000","","0.000000","","","","","","-11.329999","","","","-10.131488","-11.329999","","","","","","","","D1 PROFILE","","",""
"96121909710017","Nodes","9710017","21.000000","59.328953","DDS demands","Known Flow","582925.080000","125596.400000","","0.000000","","","","","","-4.750000","","","","-4.247535","-4.750000","","","","","","","","D1 PROFILE","","",""
