"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62502500000384","Nodes","384","21.000000","35.258258","DDS demands","Known Flow","205299.447022","560267.554663","","0.000000","","","","","","-8.100000","","","","","","","-7.243165","-8.100000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000386","Nodes","386","21.000000","35.343734","DDS demands","Known Flow","205264.056012","560238.088655","","0.000000","","","","","","-1.799999","","-29.999999","","","","","-1.609592","-1.799999","","","","","","","","","D1 PROFILE","","DM PROFILE","","","","",""
"62502500000385","Nodes","385","21.000000","35.297760","DDS demands","Known Flow","205276.559015","560293.060670","","0.000000","","","","","","-2.480000","","","","","","","-2.217660","-2.480000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000382","Nodes","382","21.000000","35.163647","DDS demands","Known Flow","205360.697038","560190.179642","","0.000000","","","","","","-13.130000","","","","","","","-11.741081","-13.130000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000082","Nodes","82","21.000000","36.496784","DDS demands","Known Flow","205508.486078","560379.239694","","0.000000","","","","","","-6.380000","","","","","","","-5.705110","-6.380000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000124","Nodes","124","21.000000","32.441710","DDS demands","Known Flow","205546.072089","560246.054658","","0.000000","","","","","","-5.899999","","","","","","","-5.275885","-5.899999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000373","Nodes","373","21.000000","32.474875","DDS demands","Known Flow","205650.697117","560188.929642","","0.000000","","","","","","-7.089999","","","","","","","-6.340004","-7.089999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000121","Nodes","121","21.000000","33.081365","DDS demands","Known Flow","205747.072143","560220.429651","","0.000000","","","","","","-10.390000","","","","","","","-9.290924","-10.390000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000122","Nodes","122","21.000000","33.044025","DDS demands","Known Flow","205706.572132","560228.304653","","0.000000","","","","","","-7.289999","","","","","","","-6.518848","-7.289999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000118","Nodes","118","21.000000","38.896035","DDS demands","Known Flow","205876.473178","560230.919653","","0.000000","","","","","","-13.640000","","","","","","","-12.197133","-13.640000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000372","Nodes","372","21.000000","39.367834","DDS demands","Known Flow","205942.490196","560198.652645","","0.000000","","","","","","-9.260000","","","","","","","-8.280457","-9.260000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000116","Nodes","116","21.000000","35.273332","DDS demands","Known Flow","205733.465140","560371.977692","","0.000000","","","","","","-8.060000","","","","","","","-7.207396","-8.060000","","","","","","","","","D1 PROFILE","","","","","","",""
