"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62600200319190","Nodes","-319190","21.000000","38.102797","Default Known Flow Node","Known Flow","311616.725949","967584.540498","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319206","Nodes","-319206","21.000000","37.914746","Default Known Flow Node","Known Flow","311710.975975","967695.040528","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319203","Nodes","-319203","21.000000","38.076089","Default Known Flow Node","Known Flow","311692.725970","967650.665516","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319207","Nodes","-319207","21.000000","38.076089","Default Known Flow Node","Known Flow","311715.725976","967655.165517","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319210","Nodes","-319210","21.000000","38.542742","Default Known Flow Node","Known Flow","311748.725985","967601.040503","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000032","Nodes","32","21.000000","36.155211","DDS demands","Known Flow","312141.476092","967996.040610","","0.000000","","","","","-7.970000","","","","","","","-6.414224","-7.172999","","","","","","","D1 PROFILE","","","","","",""
"62600200000033","Nodes","33","21.000000","36.026256","DDS demands","Known Flow","312103.351082","967928.415592","","0.000000","","","","","-4.439999","","","","","","","-3.573294","-3.995999","","","","","","","D1 PROFILE","","","","","",""
"62600200000039","Nodes","39","21.000000","34.193417","DDS demands","Known Flow","312286.976132","967981.540606","","0.000000","","","","","-9.469999","","","","","","","-7.621418","-8.522999","","","","","","","D1 PROFILE","","","","","",""
"62600200000038","Nodes","38","21.000000","33.723133","DDS demands","Known Flow","312240.226119","967888.790581","","0.000000","","","","","-21.709998","","","","","","","-17.472121","-19.538998","","","","","","","D1 PROFILE","","","","","",""
"62600200315349","Nodes","-315349","21.000000","34.099630","Default Known Flow Node","Known Flow","312288.351132","967949.290597","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200315351","Nodes","-315351","21.000000","34.056586","Default Known Flow Node","Known Flow","312318.226140","967989.165608","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000037","Nodes","37","21.000000","33.366418","DDS demands","Known Flow","312153.851096","967868.290575","","0.000000","","","","","-5.749999","","","","","","","-4.627577","-5.174999","","","","","","","D1 PROFILE","","","","","",""
"62600200315352","Nodes","-315352","21.000000","34.056586","Default Known Flow Node","Known Flow","312320.101141","967991.665609","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000304","Nodes","304","21.000000","35.558177","DDS demands","Known Flow","310607.225675","968491.790745","","0.000000","","","","","-2.990000","","","","","","","-2.406340","-2.691000","","","","","","","D1 PROFILE","","","","","",""
"62600200000152","Nodes","152","21.000000","46.620464","DDS demands","Known Flow","310887.366930","968034.386493","","0.000000","","","","","-2.069999","","","","","","","-1.665927","-1.862999","","","","","","","D1 PROFILE","","","","","",""
"62600200000294","Nodes","294","21.000000","46.528919","DDS demands","Known Flow","310964.100772","968093.790637","","0.000000","","","","","-2.779999","","","","","","","-2.237333","-2.501999","","","","","","","D1 PROFILE","","","","","",""
"62600200000296","Nodes","296","21.000000","45.817425","DDS demands","Known Flow","310881.850749","968067.290629","","0.000000","","","","","-4.330000","","","","","","","-3.484767","-3.896999","","","","","","","D1 PROFILE","","","","","",""
"62600200000154","Nodes","154","21.000000","43.585943","DDS demands","Known Flow","310886.225751","968122.540644","","0.000000","","","","","-5.899999","","","","","","","-4.748296","-5.309999","","","","","","","D1 PROFILE","","","","","",""
"62600200000164","Nodes","164","21.000000","38.888823","DDS demands","Known Flow","310809.009096","968222.120547","","0.000000","","","","","-9.710000","","","","","","","-7.814570","-8.738999","","","","","","","D1 PROFILE","","","","","",""
"62600200000153","Nodes","153","21.000000","43.973872","DDS demands","Known Flow","310980.725776","968107.665640","","0.000000","","","","","-8.920000","","","","","","","-7.178781","-8.028000","","","","","","","D1 PROFILE","","","","","",""
"62600200000155","Nodes","155","21.000000","43.588129","DDS demands","Known Flow","310888.350751","968170.165657","","0.000000","","","","","-16.399999","","","","","","","-13.198655","-14.759999","","","","","","","D1 PROFILE","","","","","",""
"62600200000295","Nodes","295","21.000000","43.587529","Default Known Flow Node","Known Flow","310888.600751","968152.665653","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000198","Nodes","198","21.000000","39.198230","DDS demands","Known Flow","310963.225772","968264.540683","","0.000000","","","","","-5.850000","","","","","","","-4.708057","-5.265000","","","","","","","D1 PROFILE","","","","","",""
"62600200000160","Nodes","160","21.000000","36.728142","DDS demands","Known Flow","310960.350771","968329.290701","","0.000000","","","","","-12.390000","","","","","","","-9.971424","-11.151000","","","","","","","D1 PROFILE","","","","","",""
"62600200000161","Nodes","161","21.000000","36.286738","DDS demands","Known Flow","310959.725771","968354.540708","","0.000000","","","","","-6.780000","","","-3.999999","","","","-5.456517","-6.101999","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200000187","Nodes","187","21.000000","35.314519","DDS demands","Known Flow","310958.725770","968423.040726","","0.000000","","","","","-8.060000","","","","","","","-6.486657","-7.254000","","","","","","","D1 PROFILE","","","","","",""
"62600200000308","Nodes","308","21.000000","35.956249","DDS demands","Known Flow","310871.100746","968431.415729","","0.000000","","","","","-4.099999","","","-0.999999","","","","-3.299663","-3.689999","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200000309","Nodes","309","21.000000","35.910924","DDS demands","Known Flow","310944.225766","968429.915728","","0.000000","","","","","-0.750000","","","-1.999999","","","","-0.603597","-0.675000","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200000165","Nodes","165","21.000000","37.013385","DDS demands","Known Flow","310666.223399","968215.283103","","0.000000","","","","","-7.170000","","","","","","","-5.770387","-6.453000","","","","","","","D1 PROFILE","","","","","",""
"62600200000163","Nodes","163","21.000000","37.601575","DDS demands","Known Flow","310786.975724","968285.540689","","0.000000","","","","","-15.129999","","","","","","","-12.176564","-13.616999","","","","","","","D1 PROFILE","","","","","",""
"62600200000167","Nodes","167","21.000000","37.416047","DDS demands","Known Flow","310769.366406","968280.547529","","0.000000","","","","","-3.029999","","","","","","","-2.438532","-2.726999","","","","","","","D1 PROFILE","","","","","",""
"62600200000166","Nodes","166","21.000000","36.998417","DDS demands","Known Flow","310688.725697","968286.665689","","0.000000","","","","","-5.460000","","","","","","","-4.394186","-4.913999","","","","","","","D1 PROFILE","","","","","",""
"62600200000170","Nodes","170","21.000000","36.390275","DDS demands","Known Flow","310588.725670","968320.790698","","0.000000","","","","","-5.909999","","","","","","","-4.756344","-5.318999","","","","","","","D1 PROFILE","","","","","",""
"62600200000171","Nodes","171","21.000000","36.236256","DDS demands","Known Flow","310607.225675","968372.415712","","0.000000","","","","","-11.609999","","","","","","","-9.343681","-10.448998","","","","","","","D1 PROFILE","","","","","",""
"62600200000172","Nodes","172","21.000000","35.712451","DDS demands","Known Flow","310500.600646","968385.415716","","0.000000","","","","","-8.689999","","","","","","","-6.993678","-7.820999","","","","","","","D1 PROFILE","","","","","",""
"62600200000302","Nodes","302","21.000000","35.823542","Default Known Flow Node","Known Flow","310614.225677","968434.790729","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000174","Nodes","174","21.000000","35.313796","DDS demands","Known Flow","310467.850637","968473.165740","","0.000000","","","","","-9.859999","","","","","","","-7.935289","-8.873999","","","","","","","D1 PROFILE","","","","","",""
"62600200000303","Nodes","303","21.000000","35.788277","Default Known Flow Node","Known Flow","310612.975676","968446.040732","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000162","Nodes","162","21.000000","36.412989","DDS demands","Known Flow","310860.475744","968360.040709","","0.000000","","","","","-7.739999","","","","","","","-6.229121","-6.965999","","","","","","","D1 PROFILE","","","","","",""
"62600200000189","Nodes","189","21.000000","33.428167","DDS demands","Known Flow","311045.225794","968453.665735","","0.000000","","","","","-16.370001","","","-0.999999","","","","-13.174512","-14.733001","","","","","","","D1 PROFILE","","","DM PROFILE","","",""
"62600200319265","Nodes","-319265","21.000000","29.923740","Default Known Flow Node","Known Flow","311086.975805","968482.915743","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000108","Nodes","108","21.000000","35.782396","DDS demands","Known Flow","311305.725865","968142.040650","","0.000000","","","","","-8.619999","","","","","","","-6.937342","-7.757999","","","","","","","D1 PROFILE","","","","","",""
"62600200000107","Nodes","107","21.000000","35.925423","DDS demands","Known Flow","311386.975887","968245.165678","","0.000000","","","","","-14.699999","","","","","","","-11.830502","-13.229999","","","","","","","D1 PROFILE","","","","","",""
"62600200000301","Nodes","301","21.000000","47.901064","Default Known Flow Node","Known Flow","311053.225796","968010.915614","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
