"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-PL)"
"62505100000197","Nodes","197","21.000000","32.233709","Default Known Flow Node","Known Flow","234099.325000","677989.585000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003015","Nodes","3015","21.000000","32.233709","Default Known Flow Node","Known Flow","234100.450000","677983.835000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000042","Nodes","42","21.000000","32.028618","DDS demands","Known Flow","234124.200000","677956.710000","","0.000000","","","","","-3.079999","","","","-2.754191","-3.079999","","","","","","","D1 PROFILE","","",""
"62505100000136","Nodes","136","21.000000","32.487738","Default Known Flow Node","Known Flow","234125.850428","677905.590380","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000079","Nodes","79","21.000000","32.524412","DDS demands","Known Flow","234141.825000","677902.710000","","0.000000","","","","","-10.859999","","","","-9.711205","-10.859999","","","","","","","D1 PROFILE","","",""
"62505100000137","Nodes","137","21.000000","32.522351","Default Known Flow Node","Known Flow","234174.825000","677890.835000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000138","Nodes","138","21.000000","32.581905","DDS demands","Known Flow","234208.700000","677827.835000","","0.000000","","","","","-2.259999","","","","-2.020932","-2.259999","","","","","","","D1 PROFILE","","",""
"62505100000188","Nodes","188","21.000000","30.065749","Default Known Flow Node","Known Flow","234298.075000","677885.460000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000195","Nodes","195","21.000000","30.141422","DDS demands","Known Flow","234283.075000","677844.835000","","0.000000","","","","","-5.619999","","","","-5.025504","-5.619999","","","","","","","D1 PROFILE","","",""
"62505100000036","Nodes","36","21.000000","29.926239","DDS demands","Known Flow","234334.093988","677830.146744","","0.000000","","","","","-14.020000","","","","-12.536936","-14.020000","","","","","","","D1 PROFILE","","",""
"62505100000155","Nodes","155","21.000000","30.127650","DDS demands","Known Flow","234292.264532","677852.714696","","0.000000","","","","","-1.190000","","","","-1.064119","-1.190000","","","","","","","D1 PROFILE","","",""
"62505100000051","Nodes","51","21.000000","30.096530","DDS demands","Known Flow","234420.325000","677781.585000","","0.000000","","","","","-10.739999","","","","-9.603899","-10.739999","","","","","","","D1 PROFILE","","",""
"62505100000035","Nodes","35","21.000000","30.009280","DDS demands","Known Flow","234457.202204","677828.722553","","0.000000","","","","","-18.059999","","","","-16.149575","-18.059999","","","","","","","D1 PROFILE","","",""
"62505100000034","Nodes","34","21.000000","29.552691","DDS demands","Known Flow","234364.453721","677883.078279","","0.000000","","","","","-11.969999","","","","-10.703788","-11.969999","","","","","","","D1 PROFILE","","",""
"62505100000054","Nodes","54","21.000000","28.264547","DDS demands","Known Flow","234432.700000","677683.085000","","0.000000","","","","","-5.280000","","","","-4.721470","-5.280000","","","","","","","D1 PROFILE","","",""
"62505100000129","Nodes","129","21.000000","28.408374","DDS demands","Known Flow","234421.325000","677676.960000","","0.000000","","","","","-6.199999","","","","-5.544150","-6.199999","","","","","","","D1 PROFILE","","",""
