"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504100000284","Nodes","284",21.000000,27.020420,"Default Known Flow Node","Known Flow",219361.575847,667487.708839,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000003","Nodes","ANNETYARD DG, Clocked, Site ID 3551",21.000000,35.999999,"Default Known Pressure Node","Known Pressure",219768.569646,667005.711256,,999998.967025,,,,,,,,,,497.204606,556.021760,,"",,,,,,,,,
"62504100006079","Nodes","6079",21.000000,74.573099,"Default Known Flow Node","Known Flow",219783.950962,667250.333774,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000271","Nodes","271",21.000000,74.654305,"DDS demands","Known Flow",219786.575963,667214.208765,,0.000000,,,,,,-2.400000,,,,-2.146123,-2.400000,,"",,,,,,"D1 PROFILE",,,
"62504100000338","Nodes","338",21.000000,27.852231,"DDS demands","Known Flow",219555.450900,667456.083830,,0.000000,,,,,,-2.329999,,,,-2.083527,-2.329999,,"",,,,,,"D1 PROFILE",,,
"62504100000339","Nodes","339",21.000000,27.064171,"DDS demands","Known Flow",219535.700895,667372.208808,,0.000000,,,-2.160000,,,,,,,-1.931510,-2.160000,,"",,,"C3  PROFILE",,,,,,
"62504100000096","Nodes","96",21.000000,30.561461,"DDS demands","Known Flow",219529.575893,667030.833715,,0.000000,,,,,,-10.549999,,,,-9.433998,-10.549999,,"",,,,,,"D1 PROFILE",,,
"62504100000097","Nodes","97",21.000000,30.464306,"DDS demands","Known Flow",219532.825894,667095.458732,,0.000000,,,,,,-4.860000,,,,-4.345898,-4.860000,,"",,,,,,"D1 PROFILE",,,
"62504100000179","Nodes","179",21.000000,30.380298,"DDS demands","Known Flow",219536.075895,667111.583737,,0.000000,,,,,,-9.109999,,,,-8.146324,-9.109999,,"",,,,,,"D1 PROFILE",,,
"62504100000180","Nodes","180",21.000000,30.378155,"DDS demands","Known Flow",219579.450907,667140.083744,,0.000000,,,,-1.549999,,-20.370001,,,,-19.601258,-21.920000,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,
