"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62502200005517","Nodes","5517",21.000000,34.747193,"Default Known Flow Node","Known Flow",242061.581023,645949.271978,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005518","Nodes","5518",21.000000,34.497798,"DDS demands","Known Flow",242045.232019,645938.864975,,0.000000,-15.999999,,,,,,,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,,,,,,,
"62502200005526","Nodes","5526",21.000000,35.201398,"Default Known Flow Node","Known Flow",241714.482782,646203.526240,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005520","Nodes","5520",21.000000,35.152897,"Default Known Flow Node","Known Flow",241727.416932,646131.858028,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005521","Nodes","5521",21.000000,30.407257,"Default Known Flow Node","Known Flow",242114.116037,646479.131122,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005525","Nodes","5525",21.000000,29.927104,"Default Known Flow Node","Known Flow",242143.367045,646434.179110,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005532","Nodes","5532",21.000000,29.845755,"Default Known Flow Node","Known Flow",242142.045045,646437.131111,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005504","Nodes","5504",21.000000,31.914083,"Default Known Flow Node","Known Flow",242137.892044,646410.335104,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005538","Nodes","5538",21.000000,30.459095,"Default Known Flow Node","Known Flow",242109.022036,646477.018122,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005542","Nodes","5542",21.000000,33.407790,"Default Known Flow Node","Known Flow",241892.546977,646493.262126,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
