"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62503700000050","Nodes","50","21.000000","22.961015","DDS demands","Known Flow","238122.603769","665825.733321","","0.000000","","","-2.869999","-5.169999","-27.600001","","","","","-31.869926","-35.640001","","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","",""
"62503700000371","Nodes","371","21.000000","30.018070","DDS demands","Known Flow","238365.653108","665651.583378","","0.000000","","","","","-7.040000","","","","","-6.295294","-7.040000","","","","","","","D1 PROFILE","","","",""
"62503700001050","Nodes","1050","21.000000","22.674091","DDS demands","Known Flow","237990.141274","665929.964465","","0.000000","","","","","-0.639999","","","","","-0.572299","-0.639999","","","","","","","D1 PROFILE","","","",""
"62503700000049","Nodes","49","21.000000","28.242375","DDS demands","Known Flow","238495.538355","665778.196183","","0.000000","","","","","-12.579999","","","","","-11.249261","-12.579999","","","","","","","D1 PROFILE","","","",""
"62503700000374","Nodes","374","21.000000","29.458327","DDS demands","Known Flow","238470.006500","665754.500118","","0.000000","","","","","-6.249999","","","","","-5.588861","-6.249999","","","","","","","D1 PROFILE","","","",""
"62503700000149","Nodes","149","21.000000","30.217108","DDS demands","Known Flow","238450.335280","665665.559447","","0.000000","","","","","-2.630000","","","","","-2.351793","-2.630000","","","","","","","D1 PROFILE","","","",""
"62503700000233","Nodes","233","21.000000","30.517376","DDS demands","Known Flow","238328.986514","665610.451367","","0.000000","","","","","-16.500000","","","","","-14.754595","-16.500000","","","","","","","D1 PROFILE","","","",""
"62503700000370","Nodes","370","21.000000","30.286207","DDS demands","Known Flow","238381.991880","665616.829193","","0.000000","","","","","-12.819999","","","","","-11.463872","-12.819999","","","","","","","D1 PROFILE","","","",""
"62503700000375","Nodes","375","21.000000","30.233990","DDS demands","Known Flow","238500.100893","665659.432687","","0.000000","","","","","-7.129999","","","","","-6.375773","-7.129999","","","","","","","D1 PROFILE","","","",""
"62503700000251","Nodes","251","21.000000","29.458018","DDS demands","Known Flow","238557.735000","665545.208310","","0.000000","","","","","-6.210000","","","","","-5.553093","-6.210000","","","","","","","D1 PROFILE","","","",""
"62503700000028","Nodes","28","21.000000","27.098952","Default Known Flow Node","Known Flow","238735.096803","665875.893394","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700003043","Nodes","-118945","21.000000","27.108795","Default Known Flow Node","Known Flow","238736.015387","665882.145824","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
