"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504300000225","Nodes","225",21.000000,45.018022,"DDS demands","Known Flow",220296.250000,647105.000000,,0.000000,,,,,-6.350000,,,,,-5.678283,-6.350000,,"",,,,,"D1 PROFILE",,,,
"62504300000030","Nodes","30",21.000000,44.949256,"DDS demands","Known Flow",220296.250000,647026.625000,,0.000000,,,-2.470000,,-24.940000,,,,,-24.510514,-27.410000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"62504300000226","Nodes","226",21.000000,44.855183,"Default Known Flow Node","Known Flow",220244.875000,647130.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000227","Nodes","227",21.000000,44.672594,"DDS demands","Known Flow",220191.750000,647116.500000,,0.000000,,,,,-1.879999,,,,,-1.681129,-1.879999,,"",,,,,"D1 PROFILE",,,,
"62504300000121","Nodes","121",21.000000,30.212318,"DDS demands","Known Flow",220211.375000,647201.000000,,0.000000,,,,,-4.320000,,,,,-3.863021,-4.320000,,"",,,,,"D1 PROFILE",,,,
"62504300000027","Nodes","27",21.000000,30.469012,"DDS demands","Known Flow",220158.500000,647306.000000,,0.000000,,,-2.689999,,-11.929999,,,,,-13.073465,-14.619999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"62504300000181","Nodes","181",21.000000,30.294416,"DDS demands","Known Flow",220272.625000,647250.625000,,0.000000,,-5.940000,,,-5.689999,,,,,-10.399753,-11.629999,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,
"62504300000176","Nodes","176",21.000000,28.941896,"DDS demands","Known Flow",220392.625000,647359.875000,,0.000000,,,,,-11.109999,,,,,-9.934760,-11.109999,,"",,,,,"D1 PROFILE",,,,
"625043-65269","Nodes","-65269",21.000000,28.767631,"Default Known Flow Node","Known Flow",220353.125000,647371.875000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000207","Nodes","207",21.000000,29.462249,"DDS demands","Known Flow",220425.500000,647469.250000,,0.000000,,,,,-8.560000,,,,,-7.654505,-8.560000,,"",,,,,"D1 PROFILE",,,,
