"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62500300001531","Nodes","1531, P09120531, CARWOOD STREET",22.999998,28.782006,"CSEP Unmatched","Known Flow",229605.078689,675341.099752,,0.000000,,,,,,,,-14.579999,,,,,,,,,-13.037696,-14.579999,,"",,,,,,,,"DC PROFILE",,,,,,,,
"62500300001533","Nodes","1533",21.000000,34.096766,"Default Known Flow Node","Known Flow",228297.203278,675148.710924,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001532","Nodes","1532",21.000000,34.053411,"Default Known Flow Node","Known Flow",228180.453247,675193.585936,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301464058","Nodes","-1464058",21.000000,34.313623,"Default Known Flow Node","Known Flow",228162.953242,675200.460938,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002456","Nodes","-2456",21.000000,34.313623,"Default Known Flow Node","Known Flow",228162.578242,675175.710931,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002455","Nodes","-2455",21.000000,34.270240,"Default Known Flow Node","Known Flow",228259.953268,675162.835927,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002452","Nodes","-2452",21.000000,34.096766,"Default Known Flow Node","Known Flow",228299.328279,675147.710923,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001535","Nodes","1535",21.000000,34.357427,"DDS demands","Known Flow",228374.078299,675111.960914,,0.000000,,,,,,,-3.549999,,,,,,,,,,-3.174473,-3.549999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500301463340","Nodes","-1463340",21.000000,33.793821,"Default Known Flow Node","Known Flow",228383.203302,675128.460918,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001537","Nodes","1537",21.000000,34.738617,"Default Known Flow Node","Known Flow",228416.828311,675007.335885,,0.000000,,,,,,,,,-9.419999,,,,,,,,0.000000,0.000000,,"",,,,,,,,,"",,,,,,,
"62500300002445","Nodes","-2445",21.000000,34.441651,"Default Known Flow Node","Known Flow",228282.078274,675098.585910,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301463877","Nodes","-1463877",21.000000,34.313623,"Default Known Flow Node","Known Flow",228148.578238,675181.335933,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002454","Nodes","-2454",21.000000,34.443804,"Default Known Flow Node","Known Flow",228200.703252,675162.210927,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301462848","Nodes","-1462848",21.000000,34.443804,"Default Known Flow Node","Known Flow",228188.578249,675166.710929,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002451","Nodes","-2451",21.000000,34.270240,"Default Known Flow Node","Known Flow",228250.703266,675142.835922,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301463215","Nodes","-1463215",21.000000,34.270240,"Default Known Flow Node","Known Flow",228264.453269,675128.085918,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004224","Nodes","4224",21.000000,33.914242,"Default Known Flow Node","Known Flow",228369.703298,675468.461011,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002523","Nodes","-2523",21.000000,33.604962,"Default Known Flow Node","Known Flow",228487.453330,675400.710992,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301464069","Nodes","-1464069",21.000000,34.675600,"Default Known Flow Node","Known Flow",228153.953239,675400.085992,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001539","Nodes","1539",21.000000,33.735844,"DDS demands","Known Flow",228781.828410,675010.585886,,0.000000,,,,,,,-7.750000,,,,,,,,,,-6.930188,-7.750000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500301464781","Nodes","-1464781",21.000000,33.432636,"Default Known Flow Node","Known Flow",228507.578336,675441.586003,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301463696","Nodes","-1463696",21.000000,33.588197,"Default Known Flow Node","Known Flow",228506.953335,675389.460989,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004143","Nodes","4143",21.000000,34.635725,"DDS demands","Known Flow",228938.578453,675354.710980,,0.000000,,,,,,,-2.580000,,,,,,,,,,-2.307082,-2.580000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004142","Nodes","4142",21.000000,34.629766,"DDS demands","Known Flow",228928.828450,675358.960981,,0.000000,,,,,,,-3.589999,,,,,,,,,,-3.210242,-3.589999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004046","Nodes","4046",21.000000,34.545096,"DDS demands","Known Flow",228827.453423,675289.710962,,0.000000,,,,,,,-7.530000,,,,,,,,,,-6.733460,-7.530000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004047","Nodes","4047",21.000000,33.948732,"DDS demands","Known Flow",228746.453400,675246.210950,,0.000000,,,,,,,-23.270000,,,,,,,,,,-20.808450,-23.270000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
