"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505200000055","Nodes","55","21.000000","23.654733","DDS demands","Known Flow","253286.693904","637473.861239","","0.000000","","","-2.509999","","-7.499999","","","","","-8.951121","-10.010000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62505200000056","Nodes","56","21.000000","23.536816","DDS demands","Known Flow","253194.595075","637389.947628","","0.000000","","","","","-5.689999","","","","","-5.088099","-5.689999","","","","","","","D1 PROFILE","","","",""
"62505200000100","Nodes","100","21.000000","21.672326","DDS demands","Known Flow","253054.561248","637442.362323","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000047","Nodes","47","21.000000","24.333940","DDS demands","Known Flow","253047.085012","637119.440576","","0.000000","","","","","-1.029999","","","","","-0.921044","-1.029999","","","","","","","D1 PROFILE","","","",""
"62505200000199","Nodes","199","21.000000","24.258353","DDS demands","Known Flow","253046.791048","637097.885623","","0.000000","","","","","-5.929999","","","","","-5.302711","-5.929999","","","","","","","D1 PROFILE","","","",""
"62505200000165","Nodes","165","21.000000","24.197206","DDS demands","Known Flow","253045.689506","637075.908790","","0.000000","","","","","-1.370000","","","","","-1.225078","-1.370000","","","","","","","D1 PROFILE","","","",""
"62505200000216","Nodes","216","21.000000","23.791936","DDS demands","Known Flow","253007.582001","637061.194089","","0.000000","","","","","","","","-39.880001","","-35.661411","-39.880001","","","","","","","","","","I2 PROFILE",""
"62505200000215","Nodes","215","21.000000","27.395965","Default Known Flow Node","Known Flow","253495.121521","637412.578682","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000059","Nodes","59","21.000000","27.625928","DDS demands","Known Flow","253538.375368","637435.759522","","0.000000","","","","","-11.329999","","","","","-10.131488","-11.329999","","","","","","","D1 PROFILE","","","",""
"62505200000140","Nodes","140","21.000000","31.453663","DDS demands","Known Flow","253504.079467","637250.396028","","0.000000","","","","","-27.309998","","","","","-24.421090","-27.309998","","","","","","","D1 PROFILE","","","",""
