"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"625020-169909","Nodes","-169909",21.000000,32.829046,"Default Known Flow Node","Known Flow",249417.875000,636374.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169906","Nodes","-169906",21.000000,32.829046,"Default Known Flow Node","Known Flow",249414.500000,636354.500000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000296","Nodes","296",21.000000,33.245403,"Default Known Flow Node","Known Flow",249451.250000,636396.625000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000298","Nodes","298",21.000000,33.245403,"Default Known Flow Node","Known Flow",249435.375000,636386.375000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000297","Nodes","297",21.000000,33.245403,"Default Known Flow Node","Known Flow",249462.000000,636405.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000295","Nodes","Logger 9485, ''6 Louden Avenue''",21.000000,33.245403,"Val Log Post","Known Flow",249431.375000,636421.875000,,0.000000,,,,,-4.439999,,,,,,,-3.970327,-4.439999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000293","Nodes","293",21.000000,33.508372,"DDS demands","Known Flow",249480.625000,636455.875000,,0.000000,,,,,-5.019999,,,,,,,-4.488973,-5.019999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000294","Nodes","294",21.000000,33.508372,"Default Known Flow Node","Known Flow",249495.500000,636435.625000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000112","Nodes","112",21.000000,32.263132,"DDS demands","Known Flow",249381.500000,636226.875000,,0.000000,,,,,-26.899999,,,,,,,-24.054460,-26.899999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000324","Nodes","324",21.000000,31.713062,"DDS demands","Known Flow",249419.500000,636216.875000,,0.000000,,,,,-8.970000,,,,,,,-8.021135,-8.970000,,"",,,,,"D1 PROFILE",,,,,,
