"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62503900002063","Nodes","2063",21.000000,31.021257,"Default Known Flow Node","Known Flow",268835.292308,627128.674857,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002018","Nodes","2018",21.000000,31.649277,"Default Known Flow Node","Known Flow",268868.765317,626912.388798,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002064","Nodes","2064",21.000000,31.651215,"Default Known Flow Node","Known Flow",268867.588317,626908.340797,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002066","Nodes","2066",21.000000,36.310607,"Default Known Flow Node","Known Flow",268312.154166,626834.167777,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002068","Nodes","2068",21.000000,36.658887,"Default Known Flow Node","Known Flow",268402.028190,626829.908776,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002069","Nodes","2069",21.000000,36.658887,"Default Known Flow Node","Known Flow",268387.964186,626828.084775,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002070","Nodes","2070",21.000000,36.685570,"Default Known Flow Node","Known Flow",268400.863190,626846.914780,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002074","Nodes","2074",21.000000,36.831629,"Default Known Flow Node","Known Flow",268412.710193,626876.681788,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002077","Nodes","2077",21.000000,30.112307,"Default Known Flow Node","Known Flow",268687.788268,626781.304762,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002080","Nodes","2080",21.000000,36.218465,"Default Known Flow Node","Known Flow",268350.407176,626870.703787,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002081","Nodes","2081",21.000000,36.273160,"Default Known Flow Node","Known Flow",268345.620175,626841.209779,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002084","Nodes","2084",21.000000,36.557577,"Default Known Flow Node","Known Flow",268362.816180,626844.063780,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002075","Nodes","2075",21.000000,36.653380,"Default Known Flow Node","Known Flow",268394.714188,626846.544780,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002086","Nodes","2086",21.000000,37.055520,"Default Known Flow Node","Known Flow",268477.859211,626827.892775,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002087","Nodes","2087",21.000000,37.872241,"Default Known Flow Node","Known Flow",268566.090235,626582.596708,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002088","Nodes","2088",21.000000,37.872241,"Default Known Flow Node","Known Flow",268562.417234,626590.489711,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002090","Nodes","2090",21.000000,37.644060,"Default Known Flow Node","Known Flow",268564.224234,626648.320726,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002102","Nodes","2102",21.000000,30.062390,"Default Known Flow Node","Known Flow",268676.398265,626776.985761,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002048","Nodes","2048",21.000000,30.908652,"Default Known Flow Node","Known Flow",268748.326285,627141.981861,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002114","Nodes","2114",21.000000,30.715585,"Default Known Flow Node","Known Flow",268763.526289,627124.126856,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002098","Nodes","2098",21.000000,36.218465,"Default Known Flow Node","Known Flow",268329.097170,626867.728786,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
