"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003700000111","Nodes","111","21.000000","30.789123","DDS demands","Known Flow","470632.001219","205362.808091","","0.000000","","","","","","-4.309999","","","","","-3.854079","-4.309999","","","","","","","","D1 PROFILE","","","",""
"80003700000538","Nodes","538","21.000000","31.445234","DDS demands","Known Flow","470668.374908","205452.474886","","0.000000","","","","","","-9.880000","","","","","-8.834873","-9.880000","","","","","","","","D1 PROFILE","","","",""
"80003700000539","Nodes","539","21.000000","31.458011","Default Known Flow Node","Known Flow","470648.205380","205467.234791","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000540","Nodes","540","21.000000","31.812112","DDS demands","Known Flow","470680.792233","205487.548125","","0.000000","","","","","","-7.340000","","","","","-6.563559","-7.340000","","","","","","","","D1 PROFILE","","","",""
"80003700000207","Nodes","207","21.000000","30.954671","DDS demands","Known Flow","470841.898276","205347.716087","","0.000000","","","","","","-12.489999","","","","","-11.168782","-12.489999","","","","","","","","D1 PROFILE","","","",""
"80003700000710","Nodes","710","21.000000","33.000964","DDS demands","Known Flow","470987.320751","205334.914391","","0.000000","","-19.559999","","","","","","","","","-17.490900","-19.559999","","","","C2 PROFILE","","","","","","","",""
"80003700000208","Nodes","208,","21.000000","30.754121","DDS demands","Known Flow","470870.159284","205315.730078","","0.000000","","","","","","-3.660000","","","","","-3.272837","-3.660000","","","","","","","","D1 PROFILE","","","",""
"80003700000210","Nodes","210","21.000000","30.665987","DDS demands","Known Flow","470925.868574","205286.915117","","0.000000","","","","","","-23.110000","","","","","-20.665375","-23.110000","","","","","","","","D1 PROFILE","","","",""
"80003700009183","Nodes","-80912","21.000000","30.241938","Default Known Flow Node","Known Flow","470898.952292","205363.236091","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009106","Nodes","-171938","21.000000","30.241938","Default Known Flow Node","Known Flow","470887.872289","205375.768095","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
